gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x,20,1,-0.23952354962231354,-0.1419112037614715,-0.06776530052226501,0.0560497968075701,NaN,NaN,30549.094722717087,21.00564726156197,0.9954812803773682,0.4146341463414634,0.6797588002336742,0.10740265758700931,154292.4,127.42835122197057,952703.5,84,((((0)-(0))+((5)+((1)*(9))))*(((2)*(4))*((x)*((x)*(x))))),((((x)*(5))+((x)/(x)))*((x)+((x)-(x)))),SkipD|MutateNonTerminalR|ReplaceBranchR|AddTreeWithAdd|MultXD|AddTreeWithAdd|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|MultXD|AddTreeWithAdd|MultXD,AddToLeafR|DivXD|SkipD|AddTreeWithSub|AddTreeWithAdd|ReplaceBranchR|AddTreeWithMult|DivXD|DivXD|ReplaceBranchXR|AddXD|DivXD|MultXD|AddXD|SubXD,MutateNonTerminalR,DivXD,0,0,1,1,1
1,x*x,20,1,-0.17867401917908032,-0.04282351939448967,-0.017146731011136528,0.09344659538636141,7742.212197319995,115.96873811658003,70372.70427712417,15.290413562057138,0.9986034550295488,0.540766550522648,0.7781314247967402,1.6371819384235153,332000.37734611257,121.56666666666666,3082607.5,65.9,((((x)*((5)*(x)))+(((4)-(3))+((2)/(5))))/(((1)*(x))*((x)-((x)*((x)+(x)))))),(((x)+((1)*(2)))+((5)+((4)+(x)))),AddTreeWithMult|AddXD|AddTreeWithMult|ReplaceBranchXR|AddXD|AddTreeWithDiv|AddTreeWithMult|ReplaceBranchR|MultXD|SubXD|AddTreeWithDiv|MutateNonTerminalR|MultXD|AddTreeWithAdd|AddXD,AddXD|MutateNonTerminalR|SkipD|ReplaceBranchR|AddTreeWithSub|MutateNonTerminalR|AddToLeafR|ReplaceBranchR|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithAdd|AddRandomSubTreeR|ReplaceBranchR|AddXD,AddTreeWithMult,ReplaceBranchR,1,0,2,2,1
2,x*x,20,1,-0.08949870443118345,-0.0205769349963867,0.06013224283526892,0.12312595935274386,11766.825056349204,288.0139490612469,52844.07666666667,11.031424832881257,0.9973179182684655,0.6787456445993032,0.6707288159598109,1.6546963905224992,339624.71,114.96698639634057,1605096.5,46.1,((((6)*(9))+((3)*((5)*(2))))+(((8)*(1))*((x)*((x)*(x))))),(((x)*((9)+(3)))-((x)+(x))),SkipD|MutateNonTerminalR|ReplaceBranchR|AddTreeWithAdd|MultXD|AddTreeWithAdd|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|MultXD|AddTreeWithAdd|MultXD,ReplaceBranchXR|DivXD|SkipD|AddTreeWithSub|ReplaceBranchXR|DivXD|ReplaceBranchXR|SubXD|SubXD|ReplaceBranchXR|ReplaceBranchR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd|AddXD,MutateNonTerminalR,ReplaceBranchXR,0,1,3,3,1
3,x*x,20,1,-0.011343221101239141,0.007398033937868067,0.09861353165464072,0.0904808362369338,42545.217941915915,28.817927282060353,345659.5528888889,15.716,0.9993014220661346,0.6167247386759582,0.3520627431299807,0.19547056734540352,637755.9299999999,121.95992803237145,6162519.3,55,((((4)+((3)*(7)))+((x)+((2)*(x))))*(((x)+(0))+((7)+((x)*((x)*(x)))))),(((2)+((6)-(4)))+((x)*((9)+(x)))),ReplaceBranchXR|MultXD|AddTreeWithMult|SkipD|AddXD|AddXD|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddTreeWithMult|AddXD|AddTreeWithAdd|MultXD|AddTreeWithAdd|MultXD,ReplaceBranchXR|DivXD|SkipD|AddTreeWithSub|ReplaceBranchXR|DivXD|ReplaceBranchXR|SubXD|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd|AddXD,MultXD,ReplaceBranchXR,2,2,4,4,1
4,x*x,20,1,0.06989949196405237,-0.007847400022221073,0.1986316844049426,0.07994425087108015,1267550.0694,41.255427082625836,10686882.094,17.228,0.9999787248281204,0.6167247386759582,0.7620295954484227,0.29600070187771144,28870811.55,128.5729234250764,202348541.5,55,((((x)*((7)*(5)))*(((8)+(2))*((x)*(1))))+(((5)+(9))+((1)+((x)*((x)*(x)))))),((((x)-(3))*((8)+(8)))-((6)*((7)+(x)))),ReplaceBranchXR|MultXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddTreeWithAdd|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddTreeWithMult|AddXD|MutateNonTerminalR|MultXD|AddTreeWithAdd|MultXD,ReplaceBranchXR|DivXD|SkipD|AddTreeWithSub|ReplaceBranchXR|DivXD|ReplaceBranchXR|SubXD|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd|AddXD,MultXD,ReplaceBranchXR,4,4,5,5,1
5,x*x,20,1,0.06280908171967577,-0.02405229167848694,0.1991950878565968,0.0874425087108014,843093.9169999999,30.139120236365493,5776827.4520000005,16.152,0.9999646922262989,0.6153310104529617,0.9243296252616433,0.21789648818978025,21459263.2,130.01,121927823.5,55.2,((((x)*((6)-(6)))*((9)*((9)*(6))))+(((1)+(1))*((x)*((8)+((8)*(x)))))),(((x)*((9)+(9)))+((4)+(x))),ReplaceBranchXR|MultXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddTreeWithAdd|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|MultXD|AddTreeWithAdd|MultXD,ReplaceBranchXR|DivXD|SkipD|AddTreeWithSub|ReplaceBranchXR|DivXD|ReplaceBranchXR|SubXD|SubXD|ReplaceBranchXR|ReplaceBranchR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd|AddXD,MultXD,ReplaceBranchXR,5,5,6,6,1
6,x*x,20,1,0.08958445943150639,-0.001417836577551735,0.19853074605170437,0.08830662020905924,160145.0198,29.554888709986866,1033568.7060000001,16.028,0.999627676078188,0.5121951219512195,0.7570421182304584,0.19289999910263148,3044316.31,117.82402260342856,11562512.5,70,((((4)+((0)+(1)))+((3)*((5)*(2))))*(((4)*(x))*((x)*((x)*(x))))),(((7)*((x)+(4)))-((4)+((7)+(x)))),ReplaceBranchXR|MultXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddTreeWithAdd|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|MultXD|AddTreeWithAdd|MultXD,ReplaceBranchXR|DivXD|SkipD|AddTreeWithSub|ReplaceBranchXR|DivXD|ReplaceBranchXR|SubXD|SubXD|ReplaceBranchXR|ReplaceBranchR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd|AddXD,MultXD,ReplaceBranchXR,5,6,7,7,1
7,x*x,20,1,0.08791061151109578,-0.0015651381458687105,0.19944115611780497,0.11434146341463416,1019249.7283999999,28.31305346913532,8898494.92,12.292,0.999982191060987,0.6515679442508711,0.10041681937848317,0.24657420372443892,25225841.139999997,125.88390871477468,241732536.5,50,((((x)*(5))+((9)*((x)*(7))))*(((0)+(4))*((x)*((x)*(x))))),(((3)+((2)*(x)))*((2)+(x))),ReplaceBranchXR|MultXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddTreeWithAdd|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|MultXD|AddTreeWithAdd|MultXD,ReplaceBranchXR|DivXD|SkipD|AddTreeWithSub|ReplaceBranchXR|DivXD|ReplaceBranchXR|SubXD|SubXD|ReplaceBranchXR|ReplaceBranchR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd|AddXD,MultXD,ReplaceBranchXR,7,7,8,8,1
8,x*x,20,1,0.11445221955007068,-0.005240787681685458,0.19978362197114904,0.103120358698656,815129.5611999999,27.238739827275317,6533444.433999999,13.902228526742867,0.9999709120553426,0.7804878048780488,0.6007828372903404,0.2486626338188042,20878539.29,114.51798869828572,147999456.5,31.5,((((2)*((3)*(4)))+((6)*((x)*(7))))-(((3)*(x))*((x)*((x)*(x))))),(((x)*((x)+(0)))+((2)+(x))),ReplaceBranchXR|MultXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddTreeWithAdd|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|MultXD|AddTreeWithAdd|MultXD,ReplaceBranchXR|DivXD|SkipD|AddTreeWithSub|ReplaceBranchXR|DivXD|ReplaceBranchXR|SubXD|SubXD|ReplaceBranchXR|ReplaceBranchR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd|AddXD,MultXD,ReplaceBranchXR,6,8,9,9,1
9,x*x,20,1,0.11139188411102802,-0.019462195819131414,0.19938207458600818,0.057449477351916384,646599.9442,36.495293712550215,5344186.725999999,20.456,0.9999654127125266,0.30313588850174217,0.7254754953685327,0.16387430563275254,16652922.919999998,133.68821473257134,124467696.5,100,((((7)*((3)+(4)))*((8)*((4)*(1))))+(((5)*(6))+((0)*((x)*((x)*(x)))))),(((7)+((6)*(6)))+((2)+(x))),ReplaceBranchXR|MultXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddTreeWithAdd|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|MultXD|AddTreeWithAdd|MultXD,ReplaceBranchXR|DivXD|SkipD|AddTreeWithSub|ReplaceBranchXR|DivXD|ReplaceBranchXR|SubXD|SubXD|ReplaceBranchXR|ReplaceBranchR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd|AddXD,MultXD,ReplaceBranchXR,8,6,10,10,1
10,x*x,20,1,0.07426152745121212,-0.0014372554267468962,0.1979324663987673,0.09951881877413209,235935.1358,28.65266445423461,2070533.1860000002,14.419049505912044,0.9999400601772429,0.6856228653386721,0.8053473003271863,0.12072438498997888,7365069.68,122.27000000000001,71822034.2,45.11311882390056,((((1)+((3)-(9)))*((7)+((6)*(x))))*(((x)+(x))*((x)*((9)+((8)*(x)))))),(((((x)-(2))+((0)*(8)))-(((2)*(x))*((9)+(2))))*(((x)/((x)/(x)))-((x)-((2)*((8)+(x)))))),ReplaceBranchXR|MultXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddTreeWithAdd|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|MultXD|AddTreeWithAdd|MultXD,ReplaceBranchXR|DivXD|SkipD|AddTreeWithSub|ReplaceBranchXR|DivXD|ReplaceBranchXR|SubXD|SubXD|ReplaceBranchXR|ReplaceBranchR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd|AddXD,MultXD,ReplaceBranchXR,8,7,11,11,1
