gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x,20,1,-0.24638893067080445,-0.18845967036098585,-0.115382924768194,0.07131959809496395,NaN,NaN,1617.542772300954,18.465637673372676,0.9357601713062098,0.25226480836236936,0.823779092709703,1.6256083214158903,11298.710000000001,123.84822016406967,67014.5,107.3,((((x)*(3))*((2)-((9)-(1))))+(((9)*(7))*((3)*((x)*(4))))),((6)*((4)*(6))),MultXD|MultXD|ReplaceBranchXR|ReplaceBranchXR|MultXD|AddTreeWithMult|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|SkipD,AddTreeWithAdd|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithAdd|SubXD|AddTreeWithAdd|MutateTerminalR|DivXD|AddToLeafR|AddXD|AddXD|ReplaceBranchXR|ReplaceBranchR|AddToLeafR,MultXD,AddTreeWithAdd,0,0,1,1,2
1,x*x,20,1,-0.15883929120327142,-0.0765627090940078,0.008698150517645508,0.08178750078764781,5036.451248261841,15723.985486741094,33186.873999999996,16.968000000000004,0.9942461631731989,0.6585365853658537,0.9107863398881728,0.2547900104782898,115198.11000000002,120.65733269471757,748196.4,49,((((x)*(7))-((x)*(4)))*((x)*((x)*(9)))),((((x)+(1))*((5)/((4)-(2))))+((2)*((x)*((x)/(x))))),MultXD|MultXD|ReplaceBranchXR|ReplaceBranchXR|MultXD|AddTreeWithMult|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|SkipD,DivXD|MultXD|AddTreeWithAdd|AddToLeafR|SkipD|ReplaceBranchR|MutateTerminalR|AddTreeWithAdd|AddTreeWithDiv|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithSub|MultXD|ReplaceBranchXR|DivXD,MultXD,DivXD,0,1,2,2,2
2,x*x,20,1,-0.14939410939600942,-0.09893398542750953,0.05348161172905001,0.11056996874111573,3069.7499471187357,526.7639079289388,22436.030804520688,12.833759313828585,0.9943886605322104,0.3205574912891986,0.8050494342048544,0.13777765387838042,113500.26000000001,149.5045046291428,767196.5,97.5,((((7)*((4)*(2)))+((2)*((9)+(7))))-(((2)*(6))*((3)*((5)*(x))))),(((9)+(x))*((5)-(x))),MultXD|MultXD|ReplaceBranchXR|ReplaceBranchXR|MultXD|AddTreeWithMult|AddTreeWithAdd|SkipD|AddToLeafR|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|SkipD,SubXD|DivXD|AddXD|DivXD|SubXD|SubXD|AddTreeWithMult|ReplaceBranchXR|AddTreeWithSub|DivXD|SubXD|ReplaceBranchR|AddRandomSubTreeR|ReplaceBranchR|SubXD,MultXD,SubXD,2,0,3,3,2
3,x*x,20,1,-0.059963579798854666,-0.10096593031095073,0.18078403313682465,0.1146306620209059,21325.248199999995,20540.144206596095,190462.86800000002,12.250499999999999,0.9993094136021554,0.6341463414634146,0.7881507133279552,0.34036500542038634,625415.1399999999,128.67983047428578,6233832.6,52.5,((((x)*(x))*((0)-((4)*(4))))*(((9)*(7))*((1)-((x)*(3))))),(((x)-((6)*(x)))+((x)*((x)/(x)))),MultXD|MultXD|ReplaceBranchXR|ReplaceBranchXR|MultXD|AddTreeWithMult|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|SkipD,DivXD|MultXD|AddTreeWithAdd|AddToLeafR|SkipD|ReplaceBranchR|AddXD|AddTreeWithAdd|MutateNonTerminalR|MultXD|ReplaceBranchXR|AddXD|MultXD|ReplaceBranchXR|DivXD,MultXD,MultXD,2,3,4,4,2
4,x*x,20,1,-0.07492238070955942,-0.09584560105178182,0.1509084325884665,0.12473170731707317,5476.828999999998,32094.738151569338,41768.62,10.800999999999998,0.9953000156666144,0.6167247386759582,0.7806681737226763,0.24308050490548488,94964.95,106.08195479314288,915960.5,55,((((x)*((9)-(4)))-((2)-((1)+(8))))*(((9)*(7))*((9)+((3)*(x))))),(((x)*((9)+(x)))*((x)/(x))),MultXD|MultXD|ReplaceBranchXR|ReplaceBranchXR|MultXD|AddTreeWithMult|AddTreeWithAdd|SkipD|AddToLeafR|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|SkipD,DivXD|MultXD|AddXD|DivXD|SubXD|ReplaceBranchR|MutateTerminalR|AddTreeWithAdd|AddTreeWithDiv|MultXD|ReplaceBranchXR|AddXD|MultXD|ReplaceBranchXR|DivXD,MultXD,DivXD,2,4,5,5,2
5,x*x,20,1,-0.04683779263695811,-0.043063212249635135,0.1900475252389333,0.17482926829268294,34071.065800000004,29619.30121984176,270232.716,3.612,0.9993569821026685,1,0.9246123366057284,0.4854328359641151,898552.8,124.95444444444445,6694992.5,0,((((x)-((0)*(x)))*((8)-((1)-(4))))*(((9)*(9))+((7)*((9)*((4)*(3)))))),(((x)*(x))*((x)/(x))),MultXD|MultXD|ReplaceBranchXR|ReplaceBranchXR|MultXD|AddTreeWithMult|AddTreeWithAdd|SkipD|AddToLeafR|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|SkipD,DivXD|MultXD|AddXD|DivXD|SubXD|ReplaceBranchR|MutateTerminalR|AddTreeWithAdd|AddTreeWithDiv|MultXD|ReplaceBranchXR|AddXD|MultXD|ReplaceBranchXR|DivXD,MultXD,DivXD,2,3,6,6,2
6,x*x,20,1,-0.04715858653551019,-0.02782609059076633,0.1916097481226059,0.18815331010452963,50851.06859999999,347.04895277271623,358870.908,1.7,0.99950747812382,0.9547038327526133,0.9189058422714049,0.43254311944760226,922677.6900000001,121.53592088800004,8740728.5,6.5,((((6)*((6)*(9)))+((5)*((0)+(8))))*(((9)*(9))*((8)-((x)*(6))))),((((x)+(0))-((5)/(x)))*((x)+((x)*((x)/(x))))),MultXD|MultXD|ReplaceBranchXR|ReplaceBranchXR|MultXD|AddTreeWithMult|AddTreeWithAdd|SkipD|AddToLeafR|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|SkipD,DivXD|MultXD|AddXD|DivXD|SubXD|ReplaceBranchR|MutateTerminalR|AddTreeWithAdd|AddTreeWithDiv|MultXD|ReplaceBranchXR|AddXD|MultXD|ReplaceBranchXR|DivXD,MultXD,DivXD,6,3,7,7,2
7,x*x,20,1,-0.057682172694266315,-0.05203713413847621,0.17467287590912906,0.17385365853658538,28668.6796,600.9878154710062,207664.94199999998,3.752,0.9991688228842657,0.926829268292683,0.9432526325512569,0.48901184531018915,852352.54,97.68206945228685,5179401.5,10.5,((((x)*((5)-(1)))-((4)*((7)*(3))))+(((x)*(3))-((1)*((3)*((9)*(x)))))),(((x)+((0)*(x)))+((x)*((x)/(x)))),MultXD|MultXD|ReplaceBranchXR|ReplaceBranchXR|MultXD|AddTreeWithMult|AddTreeWithAdd|SkipD|AddToLeafR|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|SkipD,DivXD|MultXD|AddXD|DivXD|SubXD|ReplaceBranchR|MutateTerminalR|AddTreeWithAdd|MutateNonTerminalR|MultXD|ReplaceBranchXR|AddXD|MultXD|ReplaceBranchXR|DivXD,MultXD,DivXD,7,6,8,8,2
8,x*x,20,1,-0.05544958776258649,-0.006952002952623345,0.1841077604988691,0.1436794425087108,75099.699,737.8292626211542,715365.7679999999,8.082,0.9998667068781517,0.7804878048780488,0.7340301867750805,0.17030167270059968,3272026.2399999998,122.47796700791862,32297240.4,31.5,((((x)*((0)+(6)))*((4)*((4)-(9))))+(((6)*(9))*((x)-((5)*((x)*(x)))))),(((x)+((2)*(x)))+((x)*((x)/(x)))),MultXD|MultXD|ReplaceBranchXR|ReplaceBranchXR|MultXD|AddTreeWithMult|AddTreeWithAdd|SkipD|AddToLeafR|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|SkipD,DivXD|MultXD|AddXD|DivXD|SubXD|ReplaceBranchR|MutateTerminalR|AddTreeWithAdd|AddTreeWithDiv|MultXD|ReplaceBranchXR|AddXD|MultXD|ReplaceBranchXR|DivXD,MultXD,DivXD,8,8,9,9,2
9,x*x,20,1,-0.03971844520700191,-0.011776723314246626,0.18153963978796064,0.15365853658536585,26009.422000000006,84.99764604905307,202205.88599999997,6.65,0.998640843428478,0.6341463414634146,0.9747857125981062,0.345988475587182,428836.5,123.96,3167405.5,52.5,((((6)*(7))*((1)-((x)*(9))))*(((x)*(9))*((9)-((6)-(4))))),(((x)+((4)*(x)))+((x)*((x)/(x)))),MultXD|MultXD|ReplaceBranchXR|ReplaceBranchXR|MultXD|AddTreeWithMult|AddTreeWithAdd|SkipD|AddToLeafR|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|SkipD,DivXD|MultXD|AddXD|DivXD|SubXD|ReplaceBranchR|MutateTerminalR|AddTreeWithAdd|AddTreeWithDiv|MultXD|ReplaceBranchXR|AddXD|MultXD|ReplaceBranchXR|DivXD,MultXD,DivXD,9,8,10,10,2
10,x*x,20,1,-0.058140239335757044,-0.014611008579918892,0.1945678927203061,0.16747386759581878,17497.1118,191.14938884599061,131692.54,4.6675,0.997918841590005,0.926829268292683,0.7857503588439289,0.32268412302304206,279824.24,108.70407911199996,2068559.5,10.5,((((6)-(2))*((9)*((1)-(x))))+(((0)*(6))*((8)*((9)*(x))))),(((x)+((0)*(x)))+((x)*((x)/(x)))),MultXD|MultXD|ReplaceBranchXR|ReplaceBranchXR|MultXD|AddTreeWithMult|AddTreeWithAdd|SkipD|AddToLeafR|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|SkipD,DivXD|MultXD|AddXD|DivXD|SubXD|ReplaceBranchR|MutateTerminalR|AddTreeWithAdd|AddTreeWithDiv|MultXD|ReplaceBranchXR|AddXD|MultXD|ReplaceBranchXR|DivXD,MultXD,DivXD,9,10,11,11,2
