gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x,20,1,-0.2178850984870554,-0.1772326641903144,-0.07153484056120074,0.08233816871254517,NaN,NaN,1356.6382814797573,16.884472789749772,0.9035596675552767,0.8710801393728222,0.872132671687799,2.5071439916303233,11079.32,123.7938775510204,44639,18.5,((((x)*(1))*((3)*((8)*(0))))+((7)+((6)*((x)+(x))))),(((((1)/(1))*((7)/((9)+(0))))-(((3)+(3))*((3)*((3)/(6)))))*((((x)-(x))+((0)+(8)))+(((x)*(2))+((x)/((1)-(x)))))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,AddXD|AddTreeWithDiv|ReplaceBranchXR|AddXD|AddTreeWithDiv|MutateTerminalR|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithDiv|AddToLeafR|SubXD|AddTreeWithMult|AddTreeWithAdd|AddToLeafR|AddRandomSubTreeR,AddToLeafR,AddTreeWithDiv,0,0,1,1,3
1,x*x,20,1,-0.09265406323054788,-0.1606434743572917,0.12625156821920253,0.06026217477825369,221506.52061397035,608363471.2503704,2134080.7756954795,21.49,0.9998730545349461,0.4104529616724739,0.8698485887048442,2.4652595508598947,3479452.9200000004,129.20403308121186,33912200,84.6,((((x)*((2)-(9)))*(((5)*(5))+((x)+(7))))+(((1)+((2)*(x)))*((6)+((8)*((x)+(x)))))),(((((6)-(6))-((x)*(x)))-(((9)-(8))*((1)*((6)-(9)))))+((((6)*(8))*((8)-(0)))*(((8)/(8))*((x)-((x)+(x)))))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,SubXD|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|AddTreeWithMult|SubXD|AddTreeWithMult|ReplaceBranchR|AddTreeWithSub|SkipD|AddXD,AddToLeafR,AddTreeWithSub,0,0,2,2,3
2,x*x,20,1,0.02604677182166323,-0.1322166501334089,0.19857532745247752,0.0627654861130247,163474.60160000002,555539.369577059,1129073.872,19.693152742780953,0.9997740284048132,0.29515341298821923,0.921878671491547,2.1406674047334184,2661510.87,133.52952961134957,19051067,101.14548523619054,((((2)+((4)+(2)))*(((x)*(8))*((9)*(2))))+(((4)+((9)-(0)))*((x)*((x)*((x)+(x)))))),(((((0)+(4))+((7)-(7)))-(((1)-(6))*((4)+((3)*(x)))))+(((0)*((x)*(3)))-(((9)-(6))/((4)/((x)+(x)))))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,SubXD|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithDiv|AddTreeWithAdd|AddTreeWithSub|AddTreeWithMult|ReplaceBranchR|AddTreeWithSub|SkipD|AddXD,AddToLeafR,AddTreeWithSub,0,2,3,3,3
3,x*x,20,1,-0.00068707227434475,-0.10553521325057832,0.19633537425515626,0.08226702378865473,66294.96740000001,2155.78593666476,502777.9660000001,16.94829910760464,0.9996687220265378,0.6812555447631863,0.7035821176874423,1.619096574120503,1384185.16,132.8109829407597,12995129,45.73982932648276,((((9)*((x)+(6)))*(((4)*(2))+((1)*(6))))*(((x)*(5))*((6)+((1)*((x)+(x)))))),(((((x)*(6))*((x)-(7)))*(((x)-(3))+((6)-((1)-(0)))))*((((9)*(2))-((x)/(1)))-(((3)+(x))/((x)-((x)+(x)))))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|DivXD|MultXD|AddXD|AddToLeafR,SubXD|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|AddTreeWithMult|AddXD|DivXD|SubXD|AddTreeWithSub|SkipD|AddXD,AddToLeafR,AddTreeWithSub,2,3,4,4,3
4,x*x,20,1,-0.07087821428911276,-0.10899865203760171,0.19449350014293817,0.06705420229653215,158045.16682616936,87811.92527889393,1419329.5939999998,19.322748012114303,0.9998414196177702,0.4730313588850175,0.9440178724948919,1.6136605656701852,3218323.15,133.49311682920623,27147115.8,75.61999999999999,((((x)*((x)-(9)))*(((1)-(x))*((6)+(x))))+(((6)*(2))+((9)+((x)*((x)+(x)))))),(((((x)-(5))-((4)*(9)))*(((3)+(3))-((5)-((8)-(7)))))+(((7)-((6)*(6)))+(((0)-(x))/((5)-((x)+(x)))))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,SubXD|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|AddTreeWithMult|SubXD|AddTreeWithMult|ReplaceBranchR|AddTreeWithSub|SkipD|ReplaceBranchR,AddToLeafR,AddTreeWithSub,3,3,5,5,3
5,x*x,20,1,0.017542530038915715,-0.07241064081840193,0.1993923560382853,0.049749128919860636,612341.7444,39894.268840698176,5465707.98,21.93,0.9999801234601378,0.47944250871080135,0.9343360639954056,0.18398215225873127,22253308.34,139.05219053968048,216586993,74.7,((((8)*((2)-(7)))*(((7)+(8))*((3)+(4))))*(((x)*(x))+((7)*((x)*((x)+(x)))))),(((6)*(x))+((3)+(x))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,SubXD|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|AddTreeWithMult|SubXD|AddTreeWithMult|ReplaceBranchR|AddToLeafR|SkipD|AddXD,AddToLeafR,SubXD,2,5,6,6,3
6,x*x,20,1,0.03179228283123507,-0.09684111639625911,0.19742603747641013,0.0615226480836237,114513.078,33893.58362718648,863564.422,19.871499999999997,0.9996126181908199,0.3205574912891986,0.8524445780453405,1.5909204839477813,1400075.41,146.1256499606345,11113067,97.5,((((x)+(x))*((x)*((9)-(0))))*(((7)*(8))*((5)*((x)+(x))))),((((2)+(0))+((x)*((7)-(3))))-(((8)*(2))-((x)-((3)-(x))))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,SubXD|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithMult|MutateNonTerminalR|SubXD|AddTreeWithMult|ReplaceBranchR|AddTreeWithSub|SkipD|ReplaceBranchR,AddToLeafR,ReplaceBranchR,6,6,7,7,3
7,x*x,20,1,-0.013776844361193821,-0.07980566083499589,0.19862796638984087,0.05245280415729225,117132.31999999998,511.2814464048144,1106186.2079999999,21.173022603428567,0.9998301469479438,0.0780487804878048,0.7772561715361844,1.5784251644495015,2570751.13,146.11481481481485,25345438,132.3,((((x)*((1)*(x)))*((x)*((6)+(5))))-(((3)*(x))*((x)*((x)+(x))))),((7)+(7)),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,SubXD|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithMult|MutateNonTerminalR|SubXD|AddTreeWithMult|ReplaceBranchR|AddTreeWithSub|SkipD|ReplaceBranchR,AddToLeafR,ReplaceBranchR,6,7,8,8,3
8,x*x,20,1,0.0015172349654721817,-0.06924786689557162,0.19795106602278012,0.10457899844196084,366388.31959999993,500.11070319134205,3451245.798,13.692913723578622,0.9999715163555914,0.6181184668989548,0.8248772222313528,1.6060718358387138,15201916.75,132.8644801484301,151139367.5,54.8,((((x)*((8)+(9)))*(((3)*(7))*((x)*(4))))*(((6)*(1))+((7)*((x)+((0)-(9)))))),((((4)*(8))-((x)*(1)))-((4)/((1)-((x)+(x))))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithMult|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,SubXD|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|AddTreeWithMult|SubXD|AddTreeWithMult|ReplaceBranchR|AddToLeafR|SkipD|AddXD,AddToLeafR,SubXD,6,8,9,9,3
9,x*x,20,1,0.00517182870985051,-0.13585059716464942,0.1950219693103938,0.09684763816107518,206837.29020000005,606.6335041305554,1953645.4160000002,14.802363923885713,0.9999469040690124,0.5241853746938778,0.7719822397513664,2.118692799289644,8220979.420000002,140.37092816011648,81079659.4,68.27939873142853,((((x)*((7)-(8)))*((7)+((4)*(8))))*(((x)*(7))*((x)-((4)*((x)+(x)))))),((((1)-((x)+(x)))*((x)*((8)+(4))))+(((x)-(4))-((x)/((x)-((x)+(x)))))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,SubXD|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|AddTreeWithMult|SubXD|AddTreeWithMult|ReplaceBranchR|AddToLeafR|SkipD|AddXD,AddToLeafR,SubXD,9,5,10,10,3
10,x*x,20,1,-0.01129560898434256,-0.1098974283156876,0.1957237669952579,0.07575142170809154,1044707.7212,339.51803547090975,10117583.010000002,17.829670984888864,0.9999905712083701,0.6167247386759582,0.8603532417350477,1.63402437321155,45671729,127.1489140038095,456580245.8,55,((((x)+((x)*(8)))*(((3)*(6))*((x)*(2))))*(((5)+(8))*((3)*((x)*((x)+(x)))))),(((x)*((2)*(5)))-((x)+(x))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,SubXD|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|AddTreeWithMult|SubXD|AddTreeWithMult|ReplaceBranchR|AddToLeafR|SkipD|AddXD,AddToLeafR,ReplaceBranchR,10,5,11,11,3
