gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x,20,1,-0.2719703773874198,-0.17221366199198485,-0.10872768482904414,0.08940963943178129,NaN,NaN,503.96893904578616,21.31064126984127,0.5778997940974605,0.5804878048780487,2.1174350007284417,0.19887208021975902,1662.9229591836736,127.33167536638094,10199,60.2,((((4)*((2)*(1)))+(((0)-(4))/((2)-(0))))*(((2)*((x)*(6)))-((0)/((9)*((x)+(x)))))),(((x)+((3)/(1)))/((8)+(x))),ReplaceBranchXR|MultXD|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|DivXD|MutateNonTerminalR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchR|MultXD|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithDiv|AddXD,ReplaceBranchXR|DivXD|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR|AddTreeWithDiv|AddXD|ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|MutateNonTerminalR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithDiv,AddTreeWithDiv,ReplaceBranchXR,0,0,1,1,4
1,x*x,20,1,-0.18934318646876402,-0.06979055210735081,-0.09520471444915589,0.13401889408860126,91.20488230983212,126.6537972002423,556.4270937638858,9.468288698285718,0.583756345177665,0.6076655052264809,0.4910308394520053,0.1528788143942468,1165.5103980008894,116.14484722514325,10342.5,56.3,((((9)*(x))*((8)*(7)))-((6)+((x)*((x)+(x))))),((((x)-((x)-(8)))*((x)+((3)*(x))))-(((x)+(x))/((x)+((x)+(x))))),MutateTerminalR|DivXD|DivXD|ReplaceBranchR|SkipD|ReplaceBranchR|AddTreeWithSub|AddXD|SkipD|SkipD|MultXD|SkipD|AddTreeWithMult|AddXD|AddToLeafR,AddTreeWithAdd|ReplaceBranchXR|MultXD|ReplaceBranchR|SkipD|MutateTerminalR|SubXD|AddXD|ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|DivXD|AddRandomSubTreeR|AddXD|AddXD,SkipD,ReplaceBranchXR,0,1,2,2,4
2,x*x,20,1,-0.23106287976095047,-0.052751113299294855,-0.13533474351652758,0.09068961139342015,NaN,NaN,285.1648941275443,15.686040765044208,0.24400737553779964,0.5756097560975609,0.4825892958741231,0.15474735447919055,1893.23,103.58,5694.5,60.9,((((9)*(7))-((9)*(7)))+((x)*((8)+((7)+(x))))),(((x)*((7)+(1)))+((x)+(x))),AddXD|SkipD|AddTreeWithAdd|ReplaceBranchR|SkipD|ReplaceBranchR|AddTreeWithSub|AddXD|SkipD|SkipD|MultXD|SkipD|AddTreeWithMult|AddXD|AddToLeafR,AddTreeWithAdd|ReplaceBranchXR|MultXD|ReplaceBranchR|SkipD|MutateTerminalR|SubXD|AddXD|ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchR|AddXD|AddTreeWithMult|AddXD,SkipD,ReplaceBranchXR,2,2,3,3,4
3,x*x,20,1,-0.2449760735102638,0.01265843106794597,-0.09755395917519963,0.06845752882589999,103.00585409454351,30.141437449854926,545.6187863959269,18.87634461348335,0.59,0.3902439024390244,1.4426635398215273,0.07791302279795184,1728.8000000000002,103.98000000000002,10500,87.5,((((5)+((8)*(2)))*((8)*((5)-(2))))-(((2)-(x))-((x)*((x)+(x))))),(((x)*((5)*(4)))+((x)+(x))),MutateTerminalR|DivXD|DivXD|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithAdd|SubXD|SubXD|AddTreeWithSub|SkipD|MultXD|SkipD|AddTreeWithMult|AddXD|AddToLeafR,AddTreeWithAdd|ReplaceBranchXR|MultXD|ReplaceBranchR|SkipD|MutateTerminalR|SubXD|AddXD|ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchXR|ReplaceBranchR|AddXD|AddTreeWithMult|AddXD,DivXD,ReplaceBranchXR,3,2,4,4,4
4,x*x,20,1,-0.18135097089455787,-0.03167442035632712,-0.10909690253864461,0.09371987246736115,389.46362966173206,55.31196830277859,3473.337475521712,15.251198300933673,0.9735233339073532,0.5024390243902439,0.6904030274238977,2.258782519447899,16995.260000000002,92.8125,162596,71.4,((((x)*(8))-((7)+((7)-(5))))*(((6)*(x))*((7)*((9)+(x))))),((((x)*(3))+((8)+(9)))+((x)+((x)+((x)+(x))))),AddXD|SkipD|AddTreeWithAdd|AddToLeafR|SkipD|AddTreeWithSub|MutateNonTerminalR|ReplaceBranchR|ReplaceBranchXR|SkipD|AddToLeafR|SkipD|AddTreeWithMult|AddXD|AddTreeWithSub,AddTreeWithSub|SubXD|MutateTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithDiv|AddXD|AddXD|ReplaceBranchXR|ReplaceBranchXR|AddXD|SkipD|AddRandomSubTreeR|AddXD|AddXD,SkipD,AddXD,1,4,5,5,4
5,x*x,20,1,-0.17662208334341106,0.00781287853353242,-0.07317321109810355,0.09312713801015436,150.3789985843491,71.4055758561626,1043.36,15.336255695542848,0.8689537609205199,0.9512195121951219,0.5777776778492439,0.29193360795948164,3457.2,115.77000000000001,32851,7,((((x)*(1))-((5)*((7)*(7))))+(((7)+(8))-((7)*((x)+(x))))),(((x)*((x)-(0)))+((x)*((0)+(7)))),AddXD|SkipD|AddTreeWithAdd|AddToLeafR|SkipD|AddTreeWithSub|MutateNonTerminalR|ReplaceBranchR|ReplaceBranchXR|SkipD|AddToLeafR|SkipD|AddTreeWithMult|AddXD|AddTreeWithSub,AddTreeWithAdd|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithDiv|AddXD|AddXD|ReplaceBranchXR|ReplaceBranchXR|AddXD|SkipD|AddTreeWithAdd|AddToLeafR|AddTreeWithMult,SkipD,ReplaceBranchXR,1,5,6,6,4
6,x*x,20,1,-0.20506417103282154,0.007966496323928816,-0.10172755854220171,0.11232055749128919,261.2493596286712,8225.984939572492,1583.08233815633,12.582,0.9274507490857615,0.1672473867595819,0.7913484135242392,0.008984655218574408,9301.170000000002,122.24539555999986,59339,119.5,((((1)-(8))*((9)*((4)-(6))))-(((0)*(x))*((8)*((2)+(x))))),((((x)*(4))-((x)+(x)))/((x)+((x)+(x)))),AddXD|SkipD|AddTreeWithAdd|AddToLeafR|SkipD|AddTreeWithSub|MutateNonTerminalR|ReplaceBranchR|ReplaceBranchXR|SkipD|AddToLeafR|SkipD|AddTreeWithMult|AddXD|AddTreeWithSub,AddTreeWithAdd|ReplaceBranchXR|MultXD|ReplaceBranchR|SkipD|MutateTerminalR|SubXD|ReplaceBranchXR|SubXD|AddXD|ReplaceBranchXR|DivXD|AddRandomSubTreeR|AddXD|AddXD,SkipD,ReplaceBranchXR,6,4,7,7,4
7,x*x,20,1,-0.216486364951467,0.014991397282350303,-0.11408793651944467,0.12996515679442508,232.5253444444445,77.5176,2014.914,10.05,0.9524453895225208,0.648780487804878,0.6059810726349169,0.2179947318111845,9205.32,115.96,90527.5,50.4,((((x)*(x))*((7)*((6)*(6))))-((9)*((5)+((x)+(x))))),(((7)+((0)+(4)))*((x)*((3)+(x)))),AddXD|SkipD|AddTreeWithAdd|AddToLeafR|SkipD|AddTreeWithSub|MutateNonTerminalR|ReplaceBranchR|ReplaceBranchXR|SkipD|AddToLeafR|SkipD|AddTreeWithMult|AddXD|AddTreeWithSub,AddTreeWithAdd|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithDiv|AddXD|AddXD|ReplaceBranchXR|ReplaceBranchXR|AddXD|SkipD|AddTreeWithAdd|AddToLeafR|AddTreeWithMult,SkipD,ReplaceBranchXR,6,6,8,8,4
8,x*x,20,1,-0.17879030599834003,-0.004544575272189435,-0.07299331679073041,0.14469686411149824,99.02775555555556,696.8936944444445,623.964,7.936000000000002,0.5906627365218218,0.8641114982578397,0.4931228702038181,0.240876187375454,1173.8600000000001,106.95,10517,19.5,((((5)*(1))*((4)*((9)*(6))))*(((9)-(4))-((8)+((x)+(x))))),(((x)*((x)+(5)))+((4)+((x)*(1)))),AddXD|SkipD|AddTreeWithAdd|AddToLeafR|SkipD|AddTreeWithSub|MutateNonTerminalR|ReplaceBranchR|ReplaceBranchXR|SkipD|AddToLeafR|SkipD|AddTreeWithMult|AddXD|AddTreeWithSub,AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithDiv|AddXD|AddXD|ReplaceBranchXR|ReplaceBranchXR|AddXD|SkipD|AddTreeWithAdd|AddToLeafR|AddTreeWithMult,SkipD,ReplaceBranchXR,6,8,9,9,4
9,x*x,20,1,-0.18774904218077976,-0.016263025914402585,-0.08108902807957458,0.13778397212543553,95.80642222222222,71.68485797526814,594.22,8.927999999999999,0.47982116964717253,0.6341463414634146,0.44960246415547006,1.680517227022647,1079.3799999999999,102.28900987451827,8276,52.5,((((8)-(0))*((x)*((x)+(3))))*(((1)*(6))+((9)*((1)+(x))))),(((x)*((7)*(0)))+((x)+((5)*(x)))),AddXD|SkipD|AddTreeWithAdd|AddToLeafR|SkipD|AddTreeWithSub|MutateNonTerminalR|ReplaceBranchR|ReplaceBranchXR|SkipD|AddToLeafR|SkipD|AddTreeWithMult|AddXD|AddTreeWithSub,AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithDiv|AddXD|AddXD|ReplaceBranchXR|ReplaceBranchXR|AddXD|SkipD|AddTreeWithAdd|AddToLeafR|AddTreeWithMult,SkipD,ReplaceBranchXR,9,9,10,10,4
10,x*x,20,1,-0.18086425036653658,0.000763788861777886,-0.09251058188490652,0.13820209059233451,213.1576076735122,101.25530000000002,1770.5240000000003,8.868,0.9416253772993907,0.8989547038327527,0.5993666172744748,0.29652873405998875,7562.080383675608,113.03000000000002,73747.8,14.5,((((x)*(x))+((8)-((2)+(x))))*((x)+((7)-((x)*(x))))),((((x)*(x))+((4)*(1)))+((0)*((0)+(x)))),AddXD|DivXD|SkipD|AddTreeWithSub|SkipD|AddTreeWithSub|MutateNonTerminalR|SubXD|AddTreeWithSub|AddTreeWithAdd|AddTreeWithMult|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchXR,AddTreeWithAdd|ReplaceBranchXR|MutateTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithDiv|AddXD|AddXD|ReplaceBranchXR|ReplaceBranchXR|AddXD|SkipD|AddTreeWithAdd|AddToLeafR|AddTreeWithMult,AddTreeWithSub,ReplaceBranchXR,10,10,11,11,4
