A,P,AFinal,PFinal,AGen,PGen,count,run
ReplaceBranchXR,ReplaceBranchXR,ReplaceBranchXR,ReplaceBranchXR,0,0,0,1
MultXD,MultXD,MultXD,DivXD,0,0,1,1
AddTreeWithMult,AddTreeWithMult,AddTreeWithMult,SkipD,0,0,2,1
AddTreeWithAdd,AddTreeWithAdd,AddTreeWithAdd,AddTreeWithSub,0,0,3,1
MultXD,MultXD,SkipD,ReplaceBranchXR,0,0,4,1
AddTreeWithAdd,AddTreeWithAdd,AddTreeWithAdd,DivXD,0,0,5,1
ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,ReplaceBranchXR,0,0,6,1
AddToLeafR,AddToLeafR,AddToLeafR,SubXD,0,0,7,1
MutateNonTerminalR,MutateNonTerminalR,MutateNonTerminalR,SubXD,0,0,8,1
AddToLeafR,AddToLeafR,AddToLeafR,ReplaceBranchXR,0,0,9,1
MutateNonTerminalR,MutateNonTerminalR,MutateNonTerminalR,ReplaceBranchR,0,0,10,1
MutateNonTerminalR,MutateNonTerminalR,MutateNonTerminalR,AddRandomSubTreeR,0,0,11,1
MultXD,MultXD,MultXD,MutateTerminalR,0,0,12,1
AddTreeWithAdd,AddTreeWithAdd,AddTreeWithAdd,AddTreeWithAdd,0,0,13,1
MultXD,MultXD,MultXD,AddXD,0,0,14,1
