gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x*3*x+1,25,-10,-0.04360196599659702,-0.029999508203602178,-0.03839997796270509,-0.019997777338125747,NaN,NaN,8451.2444,NaN,-0.9599989246405923,0.00004240854001984565,0.0000006788678761953196,1.1546879168510786,211278.56,122024.91,211283.88,211269.24,((6)-(x)),(((6)*(8))+((8)+(x))),SkipD|SubXD|DivXD|AddTreeWithSub|ReplaceBranchXR|AddToLeafR|AddTreeWithAdd|SubXD|AddXD|SubXD|AddToLeafR|DeleteNonTerminalR|SkipD|AddRandomSubTreeR|MutateNonTerminalR|DeleteNonTerminalR|AddXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR,DivXD|ReplaceBranchXR|DeleteTerminalR|MutateNonTerminalR|AddToLeafR|MutateTerminalR|AddXD|DeleteMaliciousR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithSub|MutateTerminalR|AddTreeWithDiv|ReplaceBranchR|AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithMult|MutateNonTerminalR,SubXD,MutateNonTerminalR,0,0,1,1,1
1,x*x*x*x*3*x+1,25,-10,-0.038400009636583424,-0.010152328215771542,-0.038399991594021535,0.000001207886095207538,8451.0771,7591.861900000001,8451.172400000001,8450.8728,-0.9599989700783139,0,0.0000005989299879698982,1,211279.17,166650.40000000002,211283.64,211278.2,(((x)-((5)-(7)))+((8)-(x))),(0),DeleteNonTerminalR|MutateTerminalR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddToLeafR|AddTreeWithAdd|SubXD|AddXD|AddToLeafR|ReplaceBranchR|MutateTerminalR|MutateTerminalR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|SkipD|MutateNonTerminalR|DeleteNonTerminalR|AddRandomSubTreeR,SubXD|ReplaceBranchXR|DeleteNonTerminalR|ReplaceBranchR|AddToLeafR|FellTreeD|AddRandomSubTreeR|AddToLeafR|MultXD|DivXD|AddToLeafR|MultXD|MutateTerminalR|AddTreeWithDiv|ReplaceBranchR|AddToLeafR|ReplaceBranchR|SkipD|AddToLeafR|DeleteNonTerminalR,MutateTerminalR,AddToLeafR,1,1,2,2,1
2,x*x*x*x*3*x+1,25,-10,-0.04100001310120969,0.000000819779760175746,-0.03839999015516035,0.000003326419857801564,7922.863300000001,8450.9548,8451.18,8450.4252,-0.959998894348778,0.0001499444807842083,0.0000007021064649536956,0.00007451095802099895,211280.69,211270.13,211284.04,211246.52,((0)+((4)-(x))),((5)+((0)*(x))),DeleteNonTerminalR|MutateTerminalR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddToLeafR|AddTreeWithAdd|SubXD|AddXD|AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|SkipD|AddRandomSubTreeR|MutateNonTerminalR|DeleteNonTerminalR|AddXD|MutateNonTerminalR|DeleteNonTerminalR|AddRandomSubTreeR,SubXD|ReplaceBranchXR|DeleteNonTerminalR|ReplaceBranchR|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|AddToLeafR|MultXD|DivXD|AddToLeafR|MultXD|MutateTerminalR|AddTreeWithDiv|ReplaceBranchR|AddToLeafR|ReplaceBranchR|SkipD|AddToLeafR|DeleteNonTerminalR,DeleteNonTerminalR,AddToLeafR,2,2,3,3,1
3,x*x*x*x*3*x+1,25,-10,-0.038400039227899516,-0.014997752720764616,-0.03839996713338149,0.000008080341464478128,8450.9208,7111.819200000001,8451.3016,8449.4208,-0.959997576654856,0,0.0000016280558623749333,1.1547005383792515,211278.7,122022.6,211291,211278.2,(((0)+(1))-((3)*(x))),(0),DeleteNonTerminalR|MutateTerminalR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddToLeafR|AddTreeWithAdd|SubXD|AddXD|AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|SkipD|AddRandomSubTreeR|MutateNonTerminalR|DeleteNonTerminalR|AddXD|MutateNonTerminalR|DeleteNonTerminalR|AddRandomSubTreeR,SubXD|ReplaceBranchXR|DeleteNonTerminalR|ReplaceBranchR|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|AddToLeafR|MultXD|DivXD|AddTreeWithSub|AddTreeWithSub|DeleteTerminalR|AddXD|AddXD|AddTreeWithDiv|ReplaceBranchR|SkipD|AddToLeafR|DeleteNonTerminalR,DeleteNonTerminalR,AddToLeafR,3,3,4,4,1
4,x*x*x*x*3*x+1,25,-10,-0.03840004592996343,0.0000023604045366069108,-0.038399990230889886,0.0000065808966566388,8450.885400000001,8450.6293,8451.179600000001,8449.7376,-0.96,0.000533893227034391,0.00000005713273619156999,0.00027503183473524465,211277.75,211239.69,211278.2,211165.4,((0)+((5)*(0))),((((8)-(6))-((x)-(4)))+((x)*((3)*(x)))),DeleteNonTerminalR|MutateTerminalR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddToLeafR|AddTreeWithAdd|SubXD|AddXD|AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|SkipD|AddRandomSubTreeR|MutateNonTerminalR|DeleteNonTerminalR|AddXD|MutateNonTerminalR|DeleteNonTerminalR|AddRandomSubTreeR,DivXD|ReplaceBranchXR|DeleteTerminalR|ReplaceBranchR|AddToLeafR|FellTreeD|ReplaceBranchXR|SubXD|MultXD|MutateNonTerminalR|AddToLeafR|MultXD|MutateTerminalR|AddTreeWithDiv|ReplaceBranchR|AddToLeafR|DeleteNonTerminalR|MutateNonTerminalR|AddToLeafR|MutateNonTerminalR,DeleteNonTerminalR,AddToLeafR,4,4,5,5,1
5,x*x*x*x*3*x+1,25,-10,-0.038400050587329884,0.0000018928108585248431,-0.03839999416882575,0.00004289888876372688,8450.8608,8450.7322,8451.158800000001,8442.064400000001,-0.959999606206414,0.003988296000249973,0.0000007277230122120155,0.0019760951601091063,211276.19,211060.33,211280.28,210435.56,((0)-((2)*(4))),((((9)+(6))-((x)*(4)))+((9)-((0)*(x)))),DeleteNonTerminalR|MutateTerminalR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddToLeafR|AddTreeWithAdd|SubXD|AddXD|AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|SkipD|AddRandomSubTreeR|MutateNonTerminalR|DeleteNonTerminalR|AddXD|MutateNonTerminalR|DeleteNonTerminalR|AddRandomSubTreeR,DivXD|ReplaceBranchXR|DeleteTerminalR|ReplaceBranchR|AddToLeafR|FellTreeD|ReplaceBranchXR|SubXD|MultXD|MutateNonTerminalR|AddToLeafR|MultXD|MutateTerminalR|AddTreeWithDiv|ReplaceBranchR|AddToLeafR|DeleteNonTerminalR|MutateNonTerminalR|AddToLeafR|MutateNonTerminalR,DeleteNonTerminalR,AddToLeafR,5,5,6,6,1
6,x*x*x*x*3*x+1,25,-10,-0.03840004193523042,-0.0000011368141055966533,-0.038400000757295355,0.000001058320262102017,8450.906500000001,8451.3683,8451.124,8450.904400000001,-0.9600000833024893,0.0000632341623509436,0.00000005112912191549469,0.00003118177620130801,211277.47,211272.78000000003,211277.76,211264.84,((0)+((1)+(2))),(((0)+(x))+((x)+(8))),DeleteNonTerminalR|MutateTerminalR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddToLeafR|AddTreeWithAdd|SubXD|AddXD|AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|SkipD|AddRandomSubTreeR|MutateNonTerminalR|DeleteNonTerminalR|AddXD|AddRandomSubTreeR|DeleteNonTerminalR|AddRandomSubTreeR,MutateNonTerminalR|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|AddToLeafR|MutateTerminalR|ReplaceBranchXR|SubXD|MultXD|MutateNonTerminalR|AddToLeafR|MultXD|DeleteTerminalR|AddXD|AddXD|AddTreeWithDiv|DeleteNonTerminalR|MutateNonTerminalR|AddToLeafR|DeleteNonTerminalR,DeleteNonTerminalR,MutateNonTerminalR,6,6,7,7,1
7,x*x*x*x*3*x+1,25,-10,-0.0384000160357292,0.0000005112132737389434,-0.03839998886775824,0.00000389060489913492,8451.0433,8451.02,8451.1868,8450.306,-0.9599988489110566,0.00011927401880559206,0.0000007709146473970387,0.000048696481286031166,211278.69,211265.5,211284.28,211253,((9)-((7)-(x))),(((0)*((7)+(7)))+((x)*(x))),DeleteNonTerminalR|MutateTerminalR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddToLeafR|AddTreeWithAdd|SubXD|AddXD|AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|SkipD|AddRandomSubTreeR|MutateNonTerminalR|DeleteNonTerminalR|AddXD|MutateNonTerminalR|DeleteNonTerminalR|AddRandomSubTreeR,SubXD|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|AddToLeafR|MutateTerminalR|ReplaceBranchXR|SubXD|MultXD|MutateNonTerminalR|AddToLeafR|MultXD|DeleteTerminalR|AddXD|AddXD|AddTreeWithDiv|DeleteNonTerminalR|MutateNonTerminalR|AddToLeafR|DeleteNonTerminalR,DeleteNonTerminalR,MutateNonTerminalR,7,7,8,8,1
8,x*x*x*x*3*x+1,25,-10,-0.03840004038277493,-0.004999809010401368,-0.03840000068156582,0.0000013281067332103301,8450.9147,8004.809650000001,8451.1244,8450.8474,-0.96,0.00003947402050957274,0.00000018106592570822596,1.0000022251136549,211277.26,166649.695,211278.2,211269.86,((0)*((3)-(x))),(((0)*((x)+(x)))+((9)*((9)/(2)))),DeleteNonTerminalR|MutateTerminalR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddToLeafR|AddTreeWithAdd|SubXD|AddXD|AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|AddRandomSubTreeR|AddXD|DeleteNonTerminalR|AddXD|MutateNonTerminalR|DeleteNonTerminalR|AddRandomSubTreeR,SubXD|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|AddToLeafR|MutateTerminalR|ReplaceBranchXR|SubXD|MultXD|MutateNonTerminalR|AddToLeafR|MultXD|DeleteTerminalR|AddXD|AddXD|AddTreeWithDiv|DeleteNonTerminalR|MutateNonTerminalR|AddToLeafR|DeleteNonTerminalR,DeleteNonTerminalR,DeleteNonTerminalR,8,8,9,9,1
9,x*x*x*x*3*x+1,25,-10,-0.03840003801622695,0.000012915827785982107,-0.038399969935374305,0.0001073011792035353,8450.9272,8448.39925,8451.2868,8428.4576,-0.959999250277596,0.0053499130530268,0.0000008314715631996328,0.002665333707995735,211277.09,210992.52500000002,211282.16,210147.88,((7)*((7)-(x))),((((x)+(x))-((0)*(0)))-((0)*((x)*((x)+(x))))),DeleteNonTerminalR|MutateTerminalR|FellTreeD|AddTreeWithSub|DeleteTerminalR|AddToLeafR|AddTreeWithAdd|SubXD|AddXD|AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|SkipD|AddRandomSubTreeR|MutateNonTerminalR|DeleteNonTerminalR|AddXD|MutateNonTerminalR|DeleteNonTerminalR|AddRandomSubTreeR,SubXD|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|AddToLeafR|MutateTerminalR|ReplaceBranchXR|SubXD|MultXD|MutateNonTerminalR|AddToLeafR|MultXD|DeleteTerminalR|AddXD|AddXD|AddTreeWithDiv|DeleteNonTerminalR|MutateNonTerminalR|AddToLeafR|DeleteNonTerminalR,DeleteNonTerminalR,DeleteNonTerminalR,9,9,10,10,1
10,x*x*x*x*3*x+1,25,-10,-0.03840005128782809,-0.0000020140044617503375,-0.03839997728113928,0.000002343829131452125,8450.857100000001,8451.553976190475,8451.248,8450.6328,-0.9599988489110566,0.00006058362859972047,0.0000006751547547237522,0.000030291814299860236,211280.3,211275,211284.28,211265.4,((7)-((x)+(5))),(((0)+(x))+((x)+(0))),DeleteNonTerminalR|MutateTerminalR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddToLeafR|AddTreeWithAdd|SubXD|AddXD|AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|SkipD|AddRandomSubTreeR|MutateNonTerminalR|DeleteNonTerminalR|AddXD|MutateNonTerminalR|MutateTerminalR|AddRandomSubTreeR,SubXD|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|AddToLeafR|MutateTerminalR|ReplaceBranchXR|SubXD|MultXD|MutateNonTerminalR|AddToLeafR|MultXD|DeleteTerminalR|AddXD|AddXD|AddTreeWithDiv|DeleteNonTerminalR|MutateNonTerminalR|AddToLeafR|DeleteNonTerminalR,DeleteNonTerminalR,MutateNonTerminalR,10,10,11,11,1
