gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x*3*x+1,25,-10,-0.056599959825481286,-0.03499224781468114,-0.04879973267473881,-0.019961237837126593,NaN,NaN,6339.758000000001,NaN,-0.9599745548759883,0,0.000014522900623316267,1,211297.72,77394.8,211412.6,211278.2,(((x)*(7))*((0)-(3))),(((x)*((9)-(8)))*((0)/((2)*(6)))),MultXD|AddXD|AddToLeafR|AddTreeWithAdd|MultXD|AddTreeWithSub|MutateTerminalR|ReplaceBranchR|AddTreeWithMult|AddXD|DivXD|DeleteTerminalR|AddTreeWithAdd|SkipD|SkipD|FellTreeD|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR,AddToLeafR|DeleteTerminalR|FellTreeD|AddTreeWithDiv|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|DeleteNonTerminalR|MultXD|FellTreeD|SkipD|AddTreeWithMult|MutateNonTerminalR|ReplaceBranchXR|MutateNonTerminalR|AddTreeWithMult|DivXD|DeleteMaliciousR|AddTreeWithSub|AddTreeWithMult,AddTreeWithMult,AddTreeWithMult,0,0,1,1,3
1,x*x*x*x*3*x+1,25,-10,-0.03840039816696659,-0.000002491845611126396,-0.03839927602563823,0.00002063251201496614,8449.0249,8451.6585,8454.952,8446.7688,-0.9599240432756432,0.0010416597642351,0.000039161504634582615,0.0005573466444017523,211379.49000000002,211232.62,211679.4,211058.12,(((9)-(x))*((8)*(8))),(((5)*((x)+(3)))*((5)*(x))),MultXD|AddXD|AddToLeafR|MutateTerminalR|DeleteNonTerminalR|DivXD|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|DivXD|DeleteTerminalR|AddTreeWithAdd|SkipD|SkipD|FellTreeD|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR,AddTreeWithAdd|AddToLeafR|AddXD|AddTreeWithDiv|AddRandomSubTreeR|FellTreeD|MutateTerminalR|AddXD|DivXD|SubXD|FellTreeD|AddTreeWithAdd|SkipD|AddTreeWithDiv|DeleteNonTerminalR|SkipD|MultXD|AddTreeWithMult|ReplaceBranchR|AddTreeWithMult,SkipD,AddXD,1,1,2,2,3
2,x*x*x*x*3*x+1,25,-10,-0.03840001658476833,0.000004257897001624733,-0.0383990420971023,0.000026268682713126964,8451.0404,8450.2284,8456.1876,8445.578,-0.9599031419237763,0.001249915987546355,0.00004994323993870489,0.0006027433443490042,211394.62,211201.22999999998,211789.8,211014.12,(((2)-(x))*((x)*(x))),(((x)*((2)*(3)))*((7)/((4)*(x)))),MultXD|AddXD|AddToLeafR|MutateTerminalR|DeleteNonTerminalR|DivXD|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|DivXD|DeleteTerminalR|AddTreeWithAdd|SkipD|SkipD|FellTreeD|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR,AddTreeWithAdd|AddToLeafR|AddXD|AddTreeWithDiv|AddRandomSubTreeR|FellTreeD|MutateTerminalR|AddXD|DivXD|DeleteNonTerminalR|MutateTerminalR|AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|SkipD|MultXD|AddTreeWithMult|ReplaceBranchR|AddTreeWithMult,AddXD,AddTreeWithMult,2,2,3,3,3
3,x*x*x*x*3*x+1,25,-10,-0.038400183984907105,0.0001639966631190878,-0.03839968375345871,0.00041500542886109695,8450.1562,8416.4791,8452.7984,8363.4464,-0.959971298505951,0.029148298310000858,0.000016713172837699496,0.01504983972443513,211298.92,208520.96,211429.8,205119.8,(((8)*(2))-((x)*(3))),((((x)*(2))*((8)*(9)))*((8)*((1)+(x)))),MultXD|AddXD|AddToLeafR|MutateTerminalR|DeleteNonTerminalR|DivXD|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|DivXD|DeleteTerminalR|AddTreeWithAdd|SkipD|SkipD|FellTreeD|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR,ReplaceBranchR|DeleteNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|SkipD|DeleteNonTerminalR|MutateNonTerminalR|SubXD|AddTreeWithMult|SubXD|FellTreeD|AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|SkipD|MultXD|AddTreeWithMult|AddRandomSubTreeR|AddXD,DivXD,AddTreeWithMult,3,3,4,4,3
4,x*x*x*x*3*x+1,25,-10,-0.03840020681736213,0.00007621382474018092,-0.03839988284640819,0.00026220594457923644,8450.035600000001,8435.0296,8451.746799999999,8395.729599999999,-0.9599964482847734,0.016848307113559384,0.0000020831404510782636,0.008798892196489277,211281.18,210460.91999999998,211296.96,207718.52,(((x)-(1))*((5)-(8))),(((x)*((0)+(7)))*((9)*((2)*(5)))),MultXD|AddXD|AddToLeafR|MutateTerminalR|DeleteNonTerminalR|DivXD|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|DivXD|DeleteTerminalR|AddTreeWithAdd|SkipD|SkipD|FellTreeD|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR,AddTreeWithAdd|AddToLeafR|AddXD|AddTreeWithDiv|AddRandomSubTreeR|FellTreeD|MutateTerminalR|AddXD|DivXD|DeleteNonTerminalR|MutateTerminalR|AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|SkipD|MultXD|AddTreeWithMult|ReplaceBranchR|AddTreeWithMult,AddTreeWithMult,MutateTerminalR,4,4,5,5,3
5,x*x*x*x*3*x+1,25,-10,-0.03840009030747138,0.00014324006381135406,-0.03840000908754429,0.0005248889852336904,8450.651000000002,8420.8645,8451.080000000002,8340.230399999999,-0.96,0.019462112039954963,0.0000004808825520008497,0.008631800884879162,211276.93,209775.54,211278.2,207166.28,(((0)*(5))*((x)+(6))),(((x)*((6)*(4)))*((4)+((3)*(x)))),MultXD|AddXD|AddToLeafR|MutateTerminalR|DeleteNonTerminalR|DivXD|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|DivXD|DeleteTerminalR|AddTreeWithAdd|SkipD|SkipD|FellTreeD|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR,AddTreeWithAdd|AddToLeafR|AddXD|AddTreeWithDiv|AddRandomSubTreeR|FellTreeD|MutateTerminalR|AddXD|AddTreeWithMult|SubXD|FellTreeD|AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|SkipD|MultXD|AddTreeWithMult|ReplaceBranchR|SkipD,AddTreeWithMult,AddTreeWithMult,5,5,6,6,3
6,x*x*x*x*3*x+1,25,-10,-0.03840026836654231,0.00013052165721717473,-0.038399783943634504,0.0011768862097462022,8449.710500000001,8423.586000000001,8452.269199999999,8202.4776,-0.9599849676871538,0.057762703392967185,0.000008296845762296364,0.028870024811815175,211293.27000000002,208223.61,211357.6,199074.2,(((x)+(9))*((0)-(9))),(((8)*((5)*(7)))+((0)*((9)*(x)))),MultXD|AddXD|AddToLeafR|MutateTerminalR|DeleteNonTerminalR|DivXD|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|DivXD|DeleteTerminalR|AddTreeWithAdd|SkipD|SkipD|FellTreeD|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR,AddTreeWithAdd|AddToLeafR|AddXD|AddTreeWithDiv|AddRandomSubTreeR|FellTreeD|MutateTerminalR|AddXD|AddTreeWithMult|SubXD|FellTreeD|AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|SkipD|MultXD|AddTreeWithMult|ReplaceBranchR|AddTreeWithMult,AddTreeWithMult,AddTreeWithMult,6,6,7,7,3
7,x*x*x*x*3*x+1,25,-10,-0.03840007866405526,0.00024154491443842028,-0.03840001658476833,0.001615564691482608,8450.7125,8400.0966,8451.0404,8109.7944,-0.96,0.07204642977836817,0.0000005967876623704995,0.03497817445662118,211275.61,207115.84,211278.2,196056.36,(((x)-(1))*((1)*(0))),(((x)*((7)*(7)))*((7)+((7)*(x)))),MultXD|AddXD|AddToLeafR|MutateTerminalR|DeleteNonTerminalR|DivXD|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|DivXD|DeleteTerminalR|AddTreeWithAdd|SkipD|SkipD|FellTreeD|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR,AddTreeWithAdd|AddToLeafR|AddXD|ReplaceBranchXR|SkipD|DeleteNonTerminalR|MutateNonTerminalR|SubXD|AddXD|SubXD|FellTreeD|AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|SkipD|MultXD|AddTreeWithMult|ReplaceBranchR|AddTreeWithMult,AddXD,AddTreeWithMult,7,7,8,8,3
8,x*x*x*x*3*x+1,25,-10,-0.038400291615509785,0.000669200730961782,-0.0383999258607845,0.0051586297119153805,8449.5877,8309.744299999998,8451.5196,7361.222000000001,-0.9599929874449895,0.2565432685435601,0.000009010948171531133,0.1270976790152027,211263.94,197323.12,211315.24,157076.2,(((x)-(2))*((x)-(8))),((((x)*(9))*((8)+(3)))*((x)*((x)+(x)))),MultXD|AddXD|AddToLeafR|MutateTerminalR|DeleteNonTerminalR|DivXD|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|DivXD|DeleteTerminalR|AddTreeWithAdd|SkipD|SkipD|FellTreeD|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR,AddTreeWithAdd|AddToLeafR|AddXD|ReplaceBranchXR|SkipD|DeleteNonTerminalR|MutateNonTerminalR|SubXD|AddXD|SubXD|FellTreeD|AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|SkipD|MultXD|AddTreeWithMult|AddRandomSubTreeR|AddXD,AddXD,AddXD,8,8,9,9,3
9,x*x*x*x*3*x+1,25,-10,-0.03840015937280798,0.00001331156828446318,-0.038399936765837646,0.00022771871399889198,8450.2862,8448.346800000001,8451.462,8403.016,-0.9600009087544289,0.007836492359363257,0.00000020011090989259273,0.003921559183690869,211272.63,210865.24,211273.4,209622.52,((x)-(6)),(((8)*(7))*((5)*(x))),MultXD|AddXD|AddToLeafR|MutateTerminalR|DeleteNonTerminalR|DivXD|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|DivXD|DeleteTerminalR|AddTreeWithAdd|SkipD|SkipD|FellTreeD|AddTreeWithMult|AddRandomSubTreeR|FellTreeD|ReplaceBranchXR,AddTreeWithAdd|AddToLeafR|AddXD|ReplaceBranchXR|SkipD|DeleteNonTerminalR|MutateNonTerminalR|SubXD|AddXD|SubXD|FellTreeD|AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|SkipD|MultXD|AddTreeWithMult|ReplaceBranchR|AddTreeWithMult,AddTreeWithMult,AddTreeWithMult,9,9,10,10,3
10,x*x*x*x*3*x+1,25,-10,-0.03840023998689879,0.000018387081839254756,-0.038399933282279,0.0003980950235282231,8449.8604,8447.3119,8451.4804,8367.019199999999,-0.9599901248685382,0.005201483162957754,0.000005402916726876784,0.0024519677489745224,211287.57,210920.02000000002,211330.36,210179.24,(((8)-(x))-((4)*(9))),((((3)*(x))*((5)+(9)))+((7)*((x)+(x)))),MultXD|AddXD|AddToLeafR|MutateTerminalR|DeleteNonTerminalR|DivXD|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|DivXD|DeleteTerminalR|AddTreeWithAdd|SkipD|SkipD|FellTreeD|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR,AddTreeWithAdd|AddToLeafR|AddXD|ReplaceBranchXR|SkipD|DeleteNonTerminalR|MutateNonTerminalR|SubXD|AddXD|SubXD|FellTreeD|AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|SkipD|MultXD|AddTreeWithMult|AddRandomSubTreeR|AddXD,DivXD,AddXD,10,10,11,11,3
