gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x*3*x+1,25,-10,-0.048799996951886186,-0.024998251039130736,-0.04879997273736713,0.000006274939982883251,NaN,NaN,6338.49,8449.802241975307,-0.9599976372384846,0.00041575515126513575,0.0000012351635860028146,0.00020771741271333286,211280.95,211256.18,211290.68,211190.36,((((x)+((x)*(x)))*((6)*((0)-(0))))+(((8)-(8))+((2)-((x)*(x))))),(((x)*(9))+((5)-(0))),ReplaceBranchXR|DivXD|AddTreeWithSub|AddTreeWithSub|SkipD|SkipD|MutateNonTerminalR|DeleteMaliciousR|DeleteTerminalR|MutateNonTerminalR|MutateNonTerminalR|SubXD|MultXD|MutateTerminalR|DeleteMaliciousR|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithSub|DeleteNonTerminalR,SubXD|AddRandomSubTreeR|AddRandomSubTreeR|MutateTerminalR|SubXD|SkipD|SubXD|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithMult|DeleteMaliciousR|AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchXR|DeleteNonTerminalR|DeleteMaliciousR|ReplaceBranchXR|AddTreeWithSub|AddTreeWithAdd|DeleteMaliciousR,AddTreeWithSub,SubXD,0,0,1,1,4
1,x*x*x*x*3*x+1,25,-10,-0.046203779471805415,-0.009999805105679369,-0.03839964937224948,0.000003954975004522751,6846.5785,7558.53083125,8452.98,8450.2924,-0.96,0.0000015145907150240057,0,1.1547009585250207,211278.2,122022.523125,211278.2,211277.88,((0)*((5)-(7))),(((1)+((7)-(5)))/((3)/((2)/(1)))),ReplaceBranchXR|DivXD|AddTreeWithSub|AddTreeWithSub|SkipD|SkipD|MutateNonTerminalR|DeleteMaliciousR|DeleteTerminalR|MutateNonTerminalR|MutateNonTerminalR|SubXD|MultXD|MutateTerminalR|DeleteMaliciousR|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithSub|DeleteNonTerminalR,SubXD|ReplaceBranchR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|DeleteNonTerminalR|AddXD|SubXD|DeleteNonTerminalR|AddTreeWithMult|DeleteMaliciousR|AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchXR|DeleteNonTerminalR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithAdd|AddTreeWithSub,AddTreeWithSub,DeleteNonTerminalR,1,1,2,2,4
2,x*x*x*x*3*x+1,25,-10,-0.046199918251422493,-0.010000992871181138,-0.03839923414720496,0.0000002688398519119397,NaN,NaN,8455.1732,8451.0712,-0.9599329566420008,0.0000075729535749822775,0.00003235044526371572,0.000010606552576920224,211377.99923076923,211278.91999999998,211632.32,211276.6,((((x)+(0))*((x)-((8)*(x))))+(((0)-(x))-((3)*((8)-(9))))),(((6)*((4)+(7)))-((2)+(1))),ReplaceBranchXR|DivXD|AddTreeWithSub|AddTreeWithSub|SkipD|SkipD|MutateNonTerminalR|DeleteMaliciousR|DeleteTerminalR|MutateNonTerminalR|MutateNonTerminalR|SubXD|MultXD|MutateTerminalR|DeleteMaliciousR|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithSub|DeleteNonTerminalR,AddTreeWithAdd|SubXD|DivXD|AddTreeWithDiv|DivXD|AddRandomSubTreeR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithAdd|ReplaceBranchR|MutateNonTerminalR|AddXD|DeleteTerminalR|ReplaceBranchXR|DeleteNonTerminalR|DeleteMaliciousR|ReplaceBranchXR|AddTreeWithSub|AddTreeWithAdd|AddToLeafR,AddTreeWithSub,AddTreeWithAdd,2,2,3,3,4
3,x*x*x*x*3*x+1,25,-10,-0.04359993491046402,-0.000000006478061516104617,-0.038399782656232395,0.0000034740924525115834,7395.080800000001,8451.1294,8452.276000000002,8450.394,-0.9599867473312438,0.000034078291087351375,0.000006685062032445936,0.000017350434131391434,211295.25,211276.40000000002,211348.2,211271,((((x)+((3)-(x)))*(((0)-(6))*((0)*(2))))+(((1)/((8)-(3)))-((0)-((x)*((x)+(7)))))),(((9)+(x))-((0)+(3))),ReplaceBranchXR|DivXD|AddTreeWithSub|AddTreeWithSub|SkipD|SkipD|MutateNonTerminalR|DeleteMaliciousR|DeleteTerminalR|MutateNonTerminalR|SubXD|SubXD|MultXD|MutateTerminalR|DeleteMaliciousR|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithSub|DeleteNonTerminalR,SubXD|AddRandomSubTreeR|AddRandomSubTreeR|MutateTerminalR|SubXD|SkipD|SubXD|MutateNonTerminalR|AddRandomSubTreeR|SkipD|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|ReplaceBranchXR|AddTreeWithSub|AddTreeWithAdd|DeleteMaliciousR,AddTreeWithSub,AddRandomSubTreeR,3,3,4,4,4
4,x*x*x*x*3*x+1,25,-10,-0.05139996066323928,0.00000018885452344677557,-0.038399823020074955,0.0000014009964113682777,5810.3582750000005,8451.0881,8452.0628,8450.832,-0.9599904580784956,0.00004865622671907861,0.00000477730489305599,0.000012965917982950128,211290.75,211276.61000000002,211328.6,211267.92,(((0)-(x))-((x)*(x))),(((x)+(x))+((0)-(9))),ReplaceBranchXR|DivXD|AddTreeWithSub|AddTreeWithSub|SkipD|SkipD|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|MutateNonTerminalR|MutateNonTerminalR|SubXD|MultXD|MutateTerminalR|DeleteMaliciousR|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithSub|DeleteNonTerminalR,SubXD|FellTreeD|AddRandomSubTreeR|MutateTerminalR|SubXD|SubXD|SubXD|MutateNonTerminalR|AddRandomSubTreeR|SkipD|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchXR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|AddTreeWithAdd|DeleteMaliciousR,AddTreeWithSub,SubXD,4,4,5,5,4
5,x*x*x*x*3*x+1,25,-10,-0.043600040561280265,-0.0000017710071072111534,-0.03839996364982284,0.0000012457508630831384,7394.522757142858,8451.5023,8451.32,8450.8648,-0.9599963649822839,0.00003294234805115225,0.00000181750885802634,0.00003608833334438344,211283,211276.9,211297.4,211271.24,(((0)-(x))*((2)+(1))),(((x)+(7))-((0)+(1))),ReplaceBranchXR|DivXD|AddTreeWithSub|AddTreeWithSub|SkipD|SkipD|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|MutateNonTerminalR|MutateNonTerminalR|SubXD|MultXD|MutateTerminalR|DeleteMaliciousR|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithSub|DeleteNonTerminalR,SubXD|AddRandomSubTreeR|AddRandomSubTreeR|MutateTerminalR|SubXD|SubXD|SubXD|MutateNonTerminalR|AddRandomSubTreeR|SkipD|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchXR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|AddTreeWithAdd|DeleteMaliciousR,ReplaceBranchXR,SubXD,5,5,6,6,4
6,x*x*x*x*3*x+1,25,-10,-0.040999897197155216,-0.0000000761195999965846,-0.03839963877011447,0.0000024915017261607668,7923.4755,8451.144100000001,8453.036,8450.6016,-0.959985535658672,0.00009276868129322296,0.000006068609236461297,0.00004719032757823328,211310,211272.08000000002,211354.6,211258.6,(((x)*((0)-(2)))*((4)-((x)*(x)))),(((x)+(2))-((0)*(3))),ReplaceBranchXR|DivXD|AddTreeWithSub|AddTreeWithSub|SkipD|SkipD|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|MultXD|MutateNonTerminalR|SubXD|MultXD|MutateTerminalR|DeleteMaliciousR|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithSub|DeleteNonTerminalR,SubXD|AddRandomSubTreeR|AddRandomSubTreeR|MutateTerminalR|SubXD|SubXD|SubXD|MutateNonTerminalR|DeleteMaliciousR|SkipD|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchXR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|AddTreeWithAdd|DeleteMaliciousR,ReplaceBranchXR,SubXD,6,6,7,7,4
7,x*x*x*x*3*x+1,25,-10,-0.04360002129893193,-0.0000006123445420094749,-0.038399952290392475,0.0000013252668756198323,7394.6245,8451.2574,8451.38,8450.848,-0.9599952290392477,0.00003351031956925181,0.000002385480376121407,0.000026381595680153323,211284.5,211277.92,211303.4,211271.12,((((4)+((4)*(3)))*((x)-((8)-(9))))+(((0)*(0))*((x)-((x)*(x))))),(((x)-(0))-((9)+(0))),ReplaceBranchXR|DivXD|AddTreeWithSub|AddTreeWithSub|SkipD|SkipD|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|MultXD|MutateNonTerminalR|SubXD|MultXD|MutateTerminalR|DeleteMaliciousR|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithSub|DeleteNonTerminalR,SubXD|AddRandomSubTreeR|AddRandomSubTreeR|MutateTerminalR|SubXD|SubXD|SubXD|MutateNonTerminalR|AddRandomSubTreeR|SkipD|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchXR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|AddTreeWithAdd|DeleteMaliciousR,AddTreeWithSub,SubXD,7,7,8,8,4
8,x*x*x*x*3*x+1,25,-10,-0.04360000293451951,0.000000034125093452173996,-0.03839999962135232,0.0000019424625919776505,7394.721500000001,8451.120799999999,8451.13,8450.7176,-0.9599999621352321,0.000034078291087351375,0.000000018932383938352615,0.000013217461849384465,211278.25,211273.44,211278.4,211271,((0)-(1)),(((7)-(0))+((5)+(x))),ReplaceBranchXR|DivXD|AddTreeWithSub|AddTreeWithSub|SkipD|SkipD|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|MutateNonTerminalR|MutateNonTerminalR|SubXD|MultXD|MutateTerminalR|DeleteMaliciousR|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithSub|DeleteNonTerminalR,SubXD|AddRandomSubTreeR|AddRandomSubTreeR|MutateTerminalR|SubXD|SubXD|SubXD|MutateNonTerminalR|AddRandomSubTreeR|SkipD|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchXR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|AddTreeWithAdd|DeleteMaliciousR,AddTreeWithSub,SubXD,8,8,9,9,4
9,x*x*x*x*3*x+1,25,-10,-0.051399815731107135,0.00000009137213279272536,-0.038399246642578364,0.0000011738078041201868,5811.1238,8451.1087,8455.1072,8450.88,-0.96,0.000031806405014815366,0.00000020825622332187876,0.000027701836297138722,211277.65000000002,211276.16,211278.2,211271.48,((0)*((6)-(6))),(((x)-(2))+((0)-(4))),ReplaceBranchXR|DivXD|AddTreeWithSub|AddTreeWithSub|SkipD|SkipD|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|MutateNonTerminalR|MutateNonTerminalR|SubXD|MultXD|MutateTerminalR|MultXD|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithSub|DeleteNonTerminalR,SubXD|AddRandomSubTreeR|AddRandomSubTreeR|MutateTerminalR|SubXD|SubXD|SubXD|MutateNonTerminalR|AddRandomSubTreeR|SkipD|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchXR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|AddTreeWithAdd|DeleteMaliciousR,AddTreeWithSub,SubXD,9,9,10,10,4
