gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x*3*x+1,25,-10,-0.04546224738756768,-0.030007699453824536,-0.03646659208569554,-0.02000026504634998,10763.3176,5775.091000000001,18663.301599999995,6666.071999999999,-0.7814932311994328,-2,0.09829208084895037,0,581369.78,32767,1154142.92,32767,((((x)*((1)*(5)))*((x)*((x)*(3))))*(((x)+(7))-((2)+((x)*(x))))),(((((4)-(x))*((7)-(0)))*(((0)+(7))*((2)*((1)-(0)))))+((((9)*(1))+((3)-(9)))*(((x)+(x))/((x)/((x)+(x)))))),AddToLeafR|AddXD|AddTreeWithMult|MultXD|MutateTerminalR,SubXD|AddTreeWithAdd|MutateNonTerminalR|AddXD|AddXD|DeleteTerminalR|AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MultXD|AddXD|DivXD|AddToLeafR|DivXD|MutateTerminalR|AddToLeafR|AddXD|DeleteMaliciousR|AddTreeWithSub|AddTreeWithMult,AddXD,AddXD,0,0,1,1,0
1,x*x*x*x*3*x+1,25,-10,-0.033227902111353125,0.00002341963223744869,-0.019863470398041767,0.00011549322173324198,58000.08560000001,8446.180001799992,195280.92040000003,8426.7268,0.7048712458495252,0.005660404149599972,0.8045872411578872,0.0027539701026257674,4859417.100000001,210767.70571428572,17897120.92,210082.28,((((9)*(x))*((x)*((x)*(3))))*((9)*((x)+((1)*(x))))),((((2)+((8)*(5)))*((4)*((x)+(5))))+(((5)-(x))+((6)+((x)-(x))))),AddRandomSubTreeR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,DeleteMaliciousR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|AddTreeWithMult|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddTreeWithMult,1,1,2,2,0
2,x*x*x*x*3*x+1,25,-10,-0.03028831628610072,-0.01516102657448867,-0.014799630401206472,0.000011083693713515247,51518.008799999996,7148.445382142858,133992.54799999998,8448.786257142858,0.12135610780848137,0.00006932633303927492,0.5401373418793666,1.0000346631665196,1667740.9200000002,77391.13821428572,6011485.48,211263.55285714287,((((4)*(x))*((x)*((x)*(4))))*((7)*((8)+((1)*(x))))),(((((x)+(2))*((4)+(3)))*(((3)*(4))+((5)+(7))))*(((x)*((0)-(x)))+(((5)-(x))/((6)*((6)+(8)))))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,DeleteMaliciousR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddTreeWithAdd|AddToLeafR|SubXD|DivXD|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddTreeWithAdd,2,2,3,3,0
3,x*x*x*x*3*x+1,25,-10,-0.026086043698515925,-0.005098549373803639,-0.00039339959813718627,0.0038181090145599527,115111.519,95345.21252,375674.7928,7644.4448,0.7729419214653287,0.000006437010538783149,0.8387225950803696,0.00006087454272919718,6236485.46,211291.56,23262572.44,211276.84,((((x)*(x))*((x)*((5)*(7))))*((9)*((x)+((1)*(x))))),((((3)*((0)+(3)))-(((0)*(5))*((3)*(9))))-(((5)+(8))+((9)*((1)-((7)+(0)))))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,DeleteMaliciousR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|AddTreeWithMult|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddTreeWithMult,3,3,4,4,0
4,x*x*x*x*3*x+1,25,-10,-0.031364430633016395,-0.005242550816552999,-0.011883191283692605,0.0006421356161821623,55045.118599999994,8071.696885714286,186241.4376,8315.458742857143,0.5603804194307491,0.000001920284656740161,0.7623760505936705,0.9994375757230386,3145042.34,166829.64857142855,12014831.08,211277.79428571425,((((5)*(7))*((9)*((x)*(x))))*((6)*((x)+((1)*(x))))),((((4)-(x))-((9)/((7)*(1))))+((x)-((7)+((2)*(0))))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,DeleteMaliciousR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|AddTreeWithMult|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddTreeWithMult,4,4,5,5,0
5,x*x*x*x*3*x+1,25,-10,-0.03031377071557785,-0.006463967186663575,-0.02095719982468612,0.0008775368302958753,51162.22720000001,8802.59425952381,100583.21359999999,8265.7236,-0.10523329335444917,0.0002196156536737973,0.33256368886409804,0.9999152331559753,2658805.46,166677.3142857143,4726117.48,211231.8,((((x)*(x))*((7)*((x)*(3))))*((8)*((4)+((6)*(x))))),((((4)+((6)+(5)))+((1)*((7)*(x))))+(((7)*(5))*((1)-((3)+(3))))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,DeleteMaliciousR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|AddTreeWithMult|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddTreeWithMult,5,5,6,6,0
6,x*x*x*x*3*x+1,25,-10,-0.026777260974825055,-0.02374584162367922,-0.00044263602570039027,0.000025344242770885876,103357.5928,22249.69902888889,343002.9376,8445.773315555556,0.751443589064082,-0.000027072576086250028,0.8141692007073499,1.1546758364556662,5825791.34,122027.12,21250528.12,211283.92,((((x)*(x))*((4)*((x)*(9))))*((8)*((x)+((1)*(x))))),((((4)-(0))-((5)-((x)+(8))))+((3)+((4)-((3)+(6))))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,DeleteMaliciousR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|AddTreeWithMult|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddTreeWithMult,6,6,7,7,0
7,x*x*x*x*3*x+1,25,-10,-0.023739323878849018,-0.004509035974152692,-0.006870288938722431,0.0000028587987037131985,199956.091,20784.9619,604111.6776,8450.524,0.9002448788123028,-0.000019878607967263425,0.867364782027376,0.014439038104791621,16587808.94,213138.88,52949211.4,211282.4,((((x)*(8))*((x)*((x)*(x))))*((7)*((x)+((2)*(x))))),(((((6)-(6))*((8)+(9)))*(((x)*(1))+((2)-((5)*(4)))))+(((x)*((1)*(1)))+(((2)-(1))-((x)+((x)-(x)))))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,DeleteMaliciousR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|AddTreeWithMult|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddTreeWithMult,7,7,8,8,0
8,x*x*x*x*3*x+1,25,-10,-0.02025929141817154,-0.007742582273646394,0.0026617645802917245,0.00010022236084934786,124908.72880000001,1107699.00465,286717.0168,8429.9532,0.49789512840699074,0.00003275302421173981,0.8350205730486585,1.0000053958597603,5183843.68,166648.69,10519625.08,211271.28,((((x)*(x))*((6)*((8)*(x))))*((3)*((x)+((1)*(x))))),(((0)+((9)+(0)))+((x)-((4)-(0)))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,DeleteMaliciousR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|AddTreeWithMult|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddTreeWithMult,8,8,9,9,0
9,x*x*x*x*3*x+1,25,-10,-0.023643473560022624,-0.006775901085175761,0.0016466768174062086,0.000040318406442055206,115079.7326,9199.591600000002,334717.0568,8442.609600000002,0.6606331602952054,0.003695222696899165,0.7113025883628027,1.0006230525758129,4915531.32,166453.42,15564145.88,210497.48,((((x)*(8))*((x)*((x)*(x))))*((9)*((3)+((1)*(x))))),((((3)*(x))-((0)/((6)+(2))))+(((5)+(x))*((x)*((x)-(x))))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,DeleteMaliciousR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|AddTreeWithMult|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddTreeWithMult,9,9,10,10,0
10,x*x*x*x*3*x+1,25,-10,-0.023384633212668975,-0.0020079290184174307,0.00043527366400710534,-0.00000011359326846936856,132906.15159999998,9174.273112500001,390152.2024,8451.152,0.7999998097672253,0.0000015145907150240057,0.8326952454823179,0.00002638656169484022,8710845.959999999,211283.7,26409749.88,211277.88,((((x)*(x))*((6)*((x)*(x))))*((9)*((6)+((1)*(x))))),((((2)*(7))-((7)+(x)))+((x)-((4)+(1)))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,DeleteMaliciousR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|AddTreeWithMult|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddTreeWithMult,10,10,11,11,0
