gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x*3*x+1,25,-10,-0.054000863354572305,-0.009999594826196147,-0.03839997463060552,0.0000024101126072725952,NaN,NaN,8451.261999999999,8450.618799999998,-0.96,0,0,1,211278.2,166650.40000000002,211278.2,211278.2,((0)*(x)),(0),DeleteTerminalR|DeleteNonTerminalR|AddToLeafR|MultXD|DeleteNonTerminalR,AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MutateNonTerminalR|ReplaceBranchXR|DeleteNonTerminalR|DeleteTerminalR|AddToLeafR|MutateNonTerminalR|AddTreeWithAdd|DeleteMaliciousR|DeleteTerminalR|AddTreeWithDiv|AddRandomSubTreeR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|MultXD|MutateNonTerminalR|DeleteNonTerminalR,DeleteNonTerminalR,MutateNonTerminalR,0,0,1,1,1
1,x*x*x*x*3*x+1,25,-10,-0.038400531999988635,0.00001007809003611998,-0.0384,0.000039996554306125164,8448.318000000001,8448.998725000001,8451.128,8442.6776,-0.96,0.0036350177159782692,0,0.001801354486689667,211278.2,211081.0125,211278.2,210510.2,((((7)+(0))*((0)*(3)))*((x)+((1)*(x)))),((((x)*(3))*((6)-(0)))+((x)-((x)*(x)))),DeleteTerminalR|DeleteNonTerminalR|AddToLeafR|MultXD|DeleteNonTerminalR,AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MutateNonTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|DeleteTerminalR|AddTreeWithDiv|AddRandomSubTreeR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|MultXD|MutateNonTerminalR|DeleteTerminalR,DeleteNonTerminalR,ReplaceBranchR,1,1,2,2,1
2,x*x*x*x*3*x+1,25,-10,-0.04100000009466192,0.00000015146136541519264,-0.0384,0.0000012116725719944094,7922.932000000001,8451.096000000001,8451.128,8450.872,-0.96,0.00006058362859972047,0,0.000029002204153813268,211278.2,211273.4,211278.2,211265.4,(((0)*((3)*(0)))+((1)*(x))),(((x)-(0))-((0)+(x))),DeleteTerminalR|DeleteNonTerminalR|AddToLeafR|MultXD|DeleteNonTerminalR,AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MutateNonTerminalR|ReplaceBranchR|SubXD|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|DeleteTerminalR|AddTreeWithDiv|AddRandomSubTreeR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|MultXD|MutateNonTerminalR|DeleteNonTerminalR,DeleteNonTerminalR,ReplaceBranchR,2,2,3,3,1
3,x*x*x*x*3*x+1,25,-10,-0.0384,0.000003549821988261062,-0.0384,0.000022491672117618846,8451.128,8450.378,8451.128,8446.376,-0.96,0.0007724412646454373,0,0.0003814393802132247,211278.2,211235.8,211278.2,211115,((((4)-(1))*((x)*(0)))*((3)*((0)*(x)))),(((6)/((3)*(x)))+((9)+((0)*(x)))),DeleteTerminalR|DeleteNonTerminalR|AddTreeWithSub|MultXD|DeleteNonTerminalR,AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MutateNonTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|DeleteTerminalR|AddTreeWithDiv|AddRandomSubTreeR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|MultXD|MutateNonTerminalR|DeleteNonTerminalR,DeleteNonTerminalR,ReplaceBranchR,3,3,4,4,1
4,x*x*x*x*3*x+1,25,-10,-0.0384,0.0000011927447758873593,-0.0384,0.000007754704460756231,8451.128,8450.876,8451.128,8449.489599999999,-0.96,0.00026808255655346347,0,0.00012978062881427113,211278.2,211262.44,211278.2,211221.56,(((0)*((3)*(x)))+((1)*(x))),(((9)+(0))-((0)*(x))),DeleteTerminalR|DeleteNonTerminalR|AddToLeafR|MultXD|DeleteNonTerminalR,AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MutateNonTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|DeleteTerminalR|AddTreeWithDiv|AddRandomSubTreeR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|MultXD|MutateNonTerminalR|DeleteNonTerminalR,DeleteNonTerminalR,ReplaceBranchR,4,4,5,5,1
5,x*x*x*x*3*x+1,25,-10,-0.0384,-0.005000454310697892,-0.0384,0.0000006058362859985822,8451.128,8004.945999999999,8451.128,8451,-0.96,0,0,0.9999949516191603,211278.2,166652,211278.2,211278.2,((((x)*(x))*((0)*(x)))*((3)*((0)*(x)))),(0),DeleteTerminalR|DeleteNonTerminalR|AddToLeafR|MultXD|DeleteNonTerminalR,AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MutateNonTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|DeleteTerminalR|AddTreeWithDiv|AddRandomSubTreeR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|MultXD|MutateNonTerminalR|DeleteNonTerminalR,DeleteNonTerminalR,ReplaceBranchR,5,5,6,6,1
6,x*x*x*x*3*x+1,25,-10,-0.0384,0.0000005244316228978248,-0.0384,0.000004195416280528335,8451.128,8451.0172,8451.128,8450.2416,-0.96,0.00017947899972648766,0,0.00008091226316252481,211278.2,211265.52,211278.2,211240.28,((0)*(x)),(((x)*(5))-((0)+(x))),DeleteTerminalR|DeleteNonTerminalR|AddToLeafR|MultXD|DeleteNonTerminalR,AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MutateNonTerminalR|AddXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|AddTreeWithSub|DeleteMaliciousR|AddRandomSubTreeR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|AddXD|MutateNonTerminalR|DeleteNonTerminalR,DeleteNonTerminalR,AddTreeWithSub,6,6,7,7,1
7,x*x*x*x*3*x+1,25,-10,-0.0384,0.000000000004587831782889191,-0.0384,0.0000012116725719971644,8451.128,8451.128,8451.128,8450.872,-0.96,0.00003029181429992911,0,0.000015145907149964555,211278.2,211276.6,211278.2,211271.8,(((0)*((x)-(0)))*((0)*(x))),((0)+(x)),DeleteTerminalR|DeleteNonTerminalR|AddTreeWithSub|MultXD|DeleteNonTerminalR,AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MutateNonTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|MultXD|MutateNonTerminalR|DeleteNonTerminalR,DeleteNonTerminalR,ReplaceBranchXR,7,7,8,8,1
8,x*x*x*x*3*x+1,25,-10,-0.0384,0.00000007100332151253055,-0.0384,0.000001779644090116014,8451.128,8451.113000000001,8451.128,8450.752,-0.96,0.0000889822045058007,0,0.00004449110225290036,211278.2,211273.5,211278.2,211259.4,(0),(((0)+(x))*((x)-(x))),DeleteTerminalR|MultXD|AddToLeafR|MultXD|DeleteNonTerminalR,AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MutateNonTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|MultXD|MutateNonTerminalR|DeleteNonTerminalR,MultXD,ReplaceBranchR,8,8,9,9,1
9,x*x*x*x*3*x+1,25,-10,-0.0384,-0.0000006057491297107455,-0.0384,0,8451.128,8451.256000000001,8451.128,8451.128,-0.96,0,0,0,211278.2,211278.2,211278.2,211278.2,(0),((4)*((0)*(x))),DeleteTerminalR|DeleteNonTerminalR|AddTreeWithSub|MultXD|DeleteNonTerminalR,AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MutateNonTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|MultXD|MutateNonTerminalR|DeleteNonTerminalR,DeleteNonTerminalR,ReplaceBranchR,9,9,10,10,1
10,x*x*x*x*3*x+1,25,-10,-0.0384,0.0000000000022939158914445954,-0.0384,0.0000006058362859985822,8451.128,8451.128,8451.128,8451,-0.96,0.00003029181429992911,0,0.00002473278821251163,211278.2,211278.2,211278.2,211271.8,(0),((0)+(x)),DeleteTerminalR|DeleteNonTerminalR|AddToLeafR|MultXD|DeleteNonTerminalR,AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MutateNonTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|DeleteNonTerminalR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|MultXD|MutateNonTerminalR|DeleteNonTerminalR,DeleteNonTerminalR,ReplaceBranchXR,10,10,11,11,1
