gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x*3*x+1,25,-10,-0.04881192622807275,-0.04999549503006672,-0.04877822094281378,-0.019981732142738816,6275.352199999999,3987.3962,6453.382,6662.1564,-0.9587786340474312,-2,0.0006125582437928493,0,212876.32,32767,217729.4,32767,((((x)*(6))*((5)+(9)))*((3)-((7)+((7)+(1))))),((((x)+(7))/((x)+(9)))+((3)/((x)+(x)))),AddTreeWithAdd|MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|MutateTerminalR,SkipD|MultXD|AddTreeWithSub|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|AddTreeWithSub|AddTreeWithSub|MutateNonTerminalR|MultXD|AddTreeWithMult|ReplaceBranchXR|DivXD|AddXD|AddTreeWithMult|DivXD|AddXD|ReplaceBranchR|AddTreeWithAdd|ReplaceBranchXR,MutateTerminalR,ReplaceBranchXR,0,0,1,1,2
1,x*x*x*x*3*x+1,25,-10,-0.0384270023125907,-0.019820745574504382,-0.038389504189263256,0.0014957870712643342,8308.503,6628.146525000001,8506.566400000002,8135.100799999999,-0.96,0.000015903202507476557,0.00000006815658215586495,1.1547002651141507,211278.02000000002,122022.65,211278.2,211274.84,((0)*(8)),(((7)+(3))*((6)*(2))),FellTreeD|DeleteTerminalR|MutateTerminalR|ReplaceBranchR|DeleteMaliciousR,FellTreeD|ReplaceBranchR|DivXD|AddRandomSubTreeR|AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|DeleteTerminalR|DivXD|ReplaceBranchR|MutateTerminalR|SubXD|DeleteNonTerminalR|AddToLeafR|AddXD|AddTreeWithDiv|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|ReplaceBranchR,MutateTerminalR,ReplaceBranchR,1,1,2,2,2
2,x*x*x*x*3*x+1,25,-10,-0.03840003892498138,-0.00999848950599156,-0.038396937194656144,0.000011904683019832468,8450.9224,7558.2529,8467.3056,8448.612799999999,-0.9596939012165003,0.00026808255655346347,0.00015348376868467558,1.1546904829790547,211678.99,122024.43999999999,212895,211221.56,((((x)*(x))*((0)-(1)))*((3)*((x)-((1)-(x))))),((6)+((3)*(x))),SubXD|MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|DeleteMaliciousR,FellTreeD|ReplaceBranchR|DivXD|AddRandomSubTreeR|AddTreeWithAdd|DeleteMaliciousR|AddTreeWithSub|MutateNonTerminalR|DivXD|ReplaceBranchR|ReplaceBranchXR|SubXD|DeleteNonTerminalR|AddToLeafR|AddXD|AddTreeWithDiv|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|ReplaceBranchR,SubXD,ReplaceBranchR,2,2,3,3,2
3,x*x*x*x*3*x+1,25,-10,-0.0410857298418231,0.000004330046333343296,-0.0383997063965899,0.000037137764331581405,7470.111333333334,8450.2154,8452.6788,8443.2816,-0.9599987883274281,0.0034373636276720447,0.0000005818867509389469,0.0016979776178858306,211280.04,211089.8,211284.6,210551.96,((0)-(x)),(((5)*(8))*((3)*(x))),FellTreeD|DeleteTerminalR|MutateTerminalR|ReplaceBranchR|DeleteMaliciousR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddTreeWithSub|MutateNonTerminalR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,3,3,4,4,2
4,x*x*x*x*3*x+1,25,-10,-0.038399999053380804,-0.005000577257339679,-0.0383999938659076,0.0000010848255996156259,8451.133,8004.972,8451.1604,8450.898799999999,-0.9599997122277641,0.000008708896611319158,0.00000015660946115114173,1.0000006626717841,211278.5,166650.19,211279.72,211276.36,((0)-(6)),((9)*(4)),FellTreeD|DeleteTerminalR|MutateTerminalR|ReplaceBranchR|DeleteMaliciousR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddTreeWithSub|MutateNonTerminalR|DivXD|ReplaceBranchR|MutateTerminalR|AddTreeWithSub|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|ReplaceBranchR|ReplaceBranchR,DeleteMaliciousR,ReplaceBranchR,4,4,5,5,2
5,x*x*x*x*3*x+1,25,-10,-0.04880000204469747,0.000003925702916857225,-0.048799999999999996,0.00002210545148529599,6338.3352,8450.2988,6338.346000000001,8446.4576,-0.96,0.0021416312709972465,0.00000005713273619770166,0.0012203845812204074,211277.99,211201.59,211278.2,210825.72,((0)*(4)),(((6)*(x))*((3)*(x))),FellTreeD|DeleteTerminalR|MutateTerminalR|ReplaceBranchR|DeleteMaliciousR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddTreeWithSub|MutateNonTerminalR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|ReplaceBranchR,DeleteTerminalR,ReplaceBranchR,5,5,6,6,2
6,x*x*x*x*3*x+1,25,-10,-0.03840000380540917,-0.009991328491257534,-0.03839999485039157,0.000034604611360758163,8451.1079,7556.7399,8451.155200000001,8443.816799999999,-0.9599997652384391,0.00000208256223312357,0.00000016058709501760307,1.0000006626334739,211278.5,166650.19,211279.44,211277.76,((0)-(5)),((9)-(6)),FellTreeD|DeleteTerminalR|AddXD|AddTreeWithMult|DeleteMaliciousR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddTreeWithSub|DeleteTerminalR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|ReplaceBranchR,FellTreeD,ReplaceBranchR,6,6,7,7,2
7,x*x*x*x*3*x+1,25,-10,-0.038399998296085446,0.0000031769622457116605,-0.03839998788327428,0.000024922590215178654,8451.136999999999,8450.4568,8451.192,8445.8624,-0.9599987883274281,0.0008883074543422942,0.0000006184681784635003,0.0004444159515849659,211279.78000000003,211231.36000000002,211284.6,211090.52,((0)-(x)),(((6)+(3))*((8)*(x))),FellTreeD|DeleteTerminalR|MutateTerminalR|ReplaceBranchR|DeleteMaliciousR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddTreeWithSub|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,7,7,8,8,2
8,x*x*x*x*3*x+1,25,-10,-0.038400215696650204,-0.004996484625157224,-0.03839999833395021,0.000029428497592274513,8449.9887,8004.1073,8451.1368,8444.9104,-0.9599999621352321,0.000012116725719916543,0.00000005117583656775921,0.9999871285422117,211278.14,166654.48,211278.4,211275.64,((0)-(1)),((6)*(9)),FellTreeD|DeleteTerminalR|MutateTerminalR|ReplaceBranchR|MultXD,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddTreeWithSub|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|ReplaceBranchR,FellTreeD,ReplaceBranchR,8,8,9,9,2
9,x*x*x*x*3*x+1,25,-10,-0.03840000149565834,0.000020733706169178152,-0.03839999848540929,0.0001376232853176547,8451.1201,8446.7484,8451.136,8422.0512,-0.9599997652384391,0.002617212755504453,0.0000001575222888130502,0.0011268238778957558,211278.76,211017.97,211279.44,210725.24,((0)-(5)),(((2)+((0)*(4)))+((7)*((x)*(x)))),FellTreeD|DeleteTerminalR|MutateTerminalR|ReplaceBranchR|DeleteMaliciousR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddTreeWithSub|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|ReplaceBranchR,DeleteTerminalR,ReplaceBranchR,9,9,10,10,2
10,x*x*x*x*3*x+1,25,-10,-0.03840000001893238,0.0000007549337619666483,-0.03839999477466203,0.000006062149336753409,8451.1279,8450.9685,8451.1556,8449.8472,-0.9599995531957392,0.00026808255655346347,0.00000026090079861246464,0.0001357000493260248,211278.55,211263.95,211280.56,211221.56,((0)-(9)),(((9)+(0))+((0)*(x))),FellTreeD|AddTreeWithMult|MutateTerminalR|ReplaceBranchR|DeleteMaliciousR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddTreeWithSub|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|ReplaceBranchR,MutateTerminalR,ReplaceBranchR,10,10,11,11,2
