gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x*3*x+1,25,-10,-0.040162866932702726,-0.0049993692981068795,-0.03489157712753453,0.0000024479572431055485,12344.63169047619,8004.71675,26982.459733333337,8450.6108,-0.6693475780590078,0,0.5843730608122971,0.9999888149711302,537923.9490476191,166653.945,1746491.2133333334,211278.2,((((x)*(x))*((7)*((x)*(x))))*(((x)/(6))*((x)+((x)+(x))))),(((x)-((3)-(1)))-((2)-(x))),SkipD|AddXD|AddTreeWithMult|MutateTerminalR|AddTreeWithDiv,AddTreeWithAdd|MutateTerminalR|SubXD|DeleteMaliciousR|MutateTerminalR|SubXD|AddRandomSubTreeR|MutateTerminalR|AddToLeafR|SkipD|AddToLeafR|DivXD|ReplaceBranchXR|DeleteNonTerminalR|SubXD|SubXD|AddToLeafR|ReplaceBranchR|AddToLeafR|AddTreeWithSub,SkipD,AddToLeafR,0,0,1,1,3
1,x*x*x*x*3*x+1,25,-10,-0.03634935297631275,-0.0013996394191526265,-0.031930704445607735,0.0006732507199683273,19282.5533,9303.6441,42621.656,8308.884799999998,-0.5790732560197881,0.06724195870657744,0.1688674826184425,0.03358676539898077,943173.62,207715.66,2223316.12,197071.44,((((x)*(x))*((0)-((9)*(x))))*(((3)*(x))+((1)*((x)+(x))))),((((x)*(6))+((0)+((9)*(9))))+(((x)*(7))*((9)+((x)+(x))))),AddToLeafR|DeleteTerminalR|MultXD|AddXD|MutateTerminalR,ReplaceBranchR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|SkipD|DeleteTerminalR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,DeleteTerminalR,ReplaceBranchXR,1,1,2,2,3
2,x*x*x*x*3*x+1,25,-10,-0.03861587308108456,0.000006636351108585185,-0.03834428229699041,0.00004074628353590639,7310.8961,8449.7273,8745.4264,8442.5192,-0.96,0.003983373580426214,0.0001855676544006979,0.001961458816846572,210788.12,211058.22,211278.2,210436.6,((((2)*(0))*((x)*((9)*(0))))*((3)*((0)+((1)*(x))))),(((((7)*(3))*((9)+(1)))*(((0)*(x))+((3)+(7))))+(((1)*((3)-(2)))+(((3)-(x))-((x)+((x)+(x)))))),AddRandomSubTreeR|DeleteTerminalR|MultXD|AddToLeafR|DeleteTerminalR,ReplaceBranchR|MutateTerminalR|SubXD|DeleteMaliciousR|MutateTerminalR|SubXD|AddRandomSubTreeR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,DeleteTerminalR,MutateTerminalR,2,2,3,3,3
3,x*x*x*x*3*x+1,25,-10,-0.026109743012867934,-0.0000013866935380063865,-0.02049790750758581,0.000010085280923448108,147112.4458,8451.4224,317109.3264,8448.997200000002,0.8300319361064151,0.000209013518668767,0.7119316155737108,0.0001370713855093151,14077180.64,211266.97999999998,31076161.48,211234.04,((((x)*((x)*(x)))*((x)*((3)*(2))))*(((6)+(8))+((1)*((9)*(9))))),(((x)*(5))+((x)+(x))),AddToLeafR|AddToLeafR|MultXD|AddToLeafR|MutateTerminalR,ReplaceBranchR|MutateNonTerminalR|AddTreeWithSub|DeleteMaliciousR|MutateTerminalR|SubXD|AddRandomSubTreeR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,AddToLeafR,AddTreeWithSub,3,3,4,4,3
4,x*x*x*x*3*x+1,25,-10,-0.031669984215873165,0.000002206133318951578,-0.004043677612365428,0.00000605836285996516,124732.7052,8450.6619,354381.1684,8449.848,0.6519395321482893,0.000278684691558356,0.7367431683108663,0.00011977695803482953,5533916.66,211256.97,15175394.76,211219.32,((((x)*(7))*((3)*((x)*(9))))*(((4)*(3))*((x)+((2)*(x))))),(((x)*((8)-(7)))-((9)+((x)+(x)))),SkipD|AddToLeafR|MultXD|AddToLeafR|MutateTerminalR,ReplaceBranchR|MutateTerminalR|SubXD|DeleteMaliciousR|MutateTerminalR|SubXD|AddRandomSubTreeR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,AddToLeafR,MutateTerminalR,4,4,5,5,3
5,x*x*x*x*3*x+1,25,-10,-0.024195908894004133,0.0013705597643296871,0.00496611579445142,0.010932887538799556,105653.07459999999,8161.558600000001,326215.3064,6141.2472,0.5709934766248987,0.5465101463378617,0.640734480187694,0.27323071455130377,4443109.88,182404.06,12312062.2,95812.52,((((x)*(x))*((x)*((x)*(3))))*(((3)*(x))+((2)+((8)*(x))))),(((((1)+(1))+((x)*(8)))*(((x)+(9))-((7)*(x))))*(((3)*((9)+(0)))-((2)*((9)+((x)+(x)))))),SkipD|AddToLeafR|MultXD|AddToLeafR|MutateTerminalR,ReplaceBranchR|MutateNonTerminalR|AddTreeWithSub|DeleteMaliciousR|MutateTerminalR|SubXD|AddRandomSubTreeR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,AddToLeafR,ReplaceBranchXR,5,5,6,6,3
6,x*x*x*x*3*x+1,25,-10,-0.020796020693429406,-0.00023422310742253258,0.008436856480912464,0.0006541555162813797,146884.7576,8510.370899999998,437408.1352,8312.919199999998,0.7880280844296613,0.005429997037082007,0.8171537336793712,0.00270831008980799,6895113.66,210988.68,24918183.08,210130.96,((((x)*(x))*((0)+((4)*(x))))*(((x)*(7))*((x)+((1)*(x))))),((((4)-(0))+((1)+((x)*(3))))*(((7)*(9))-((0)+((x)+(x))))),SkipD|AddXD|MultXD|AddToLeafR|MutateTerminalR,ReplaceBranchR|MutateNonTerminalR|AddTreeWithSub|DeleteMaliciousR|MutateTerminalR|SubXD|AddRandomSubTreeR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,AddXD,AddTreeWithSub,6,6,7,7,3
7,x*x*x*x*3*x+1,25,-10,-0.018641228390358214,0.00001152056447885014,0.0035496478533289357,0.00007941377766376672,198827.6168,8448.694,513896.2528,8434.3496,0.851456894227243,0.003747097428887704,0.8863686469426976,0.001833622075936679,13195081.100000001,211067.4,35558398.84,210486.52,((((8)*(5))*((x)*((4)*(x))))*(((x)*(3))*((x)+((1)*(x))))),((((x)+((8)-(4)))-(((0)-(8))*((x)*(1))))*(((x)+((5)-(x)))-((3)-((x)+((x)+(x)))))),SkipD|AddToLeafR|MultXD|AddToLeafR|MutateTerminalR,ReplaceBranchR|MutateNonTerminalR|AddTreeWithSub|DeleteMaliciousR|MutateTerminalR|SubXD|AddRandomSubTreeR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,AddToLeafR,AddTreeWithSub,7,7,8,8,3
8,x*x*x*x*3*x+1,25,-10,-0.015377670150528206,-0.0001727805289600158,0.010822433563931404,0.0002718254888578209,316702.5031999999,8493.0929,941088.2864,8393.6972,0.9190128195960683,0.026849149604644556,0.8838153080612533,0.013398951450448345,21124448.38,209851.86000000002,65219643.08,205605.56,((((x)*(x))*((x)*((x)*(9))))+(((8)*(8))*((x)+((1)*(x))))),(((((x)+(x))-((7)+(1)))-(((1)*(x))*((6)-(5))))*(((x)*((6)-(5)))-(((1)-(0))+((x)+((x)+(x)))))),SkipD|AddToLeafR|MultXD|AddToLeafR|MutateTerminalR,ReplaceBranchR|MutateNonTerminalR|AddTreeWithSub|DeleteMaliciousR|MutateTerminalR|SubXD|AddRandomSubTreeR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,AddToLeafR,MutateTerminalR,8,8,9,9,3
9,x*x*x*x*3*x+1,25,-10,-0.02182041034783628,0.000027346408668762556,0.0005335578977756994,0.00009942152100879578,264886.2616,8445.3503,864759.3056000001,8430.1224,0.9207302344986226,0.00894971653488152,0.8816016073642933,0.004423870838129262,18066996.34,210789.06,66632655.8,209387.32,((((x)*(x))*((x)*((x)*(1))))-(((7)*(x))+((x)*((x)*(x))))),((((x)+((2)*(x)))+(((x)-(3))*((x)-(6))))+(((x)+(0))*((0)-((x)+((x)+(x)))))),SkipD|AddToLeafR|MultXD|AddToLeafR|MutateTerminalR,ReplaceBranchR|MutateNonTerminalR|AddTreeWithSub|DeleteMaliciousR|MutateTerminalR|SubXD|AddRandomSubTreeR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,AddToLeafR,MutateTerminalR,9,9,10,10,3
10,x*x*x*x*3*x+1,25,-10,-0.015514664034542545,-0.00007927726954776785,0.019233392465778355,0.0010079203628202101,256865.58360000004,8472.3221,822465.6424000001,8238.1764,0.8344369287447846,0.08573246080286571,0.7907229435589671,0.04303620422035231,10036939.76,206802.71,31902977.88,193164.8,((((8)*(x))*((x)*((x)*(x))))*(((3)*(9))+((9)+((1)*(x))))),((((x)*((8)*(8)))*((9)*((7)-(x))))+(((0)-(8))+((9)-((0)+((x)+(x)))))),SkipD|AddToLeafR|MultXD|AddToLeafR|MutateTerminalR,ReplaceBranchR|MutateNonTerminalR|AddTreeWithSub|DeleteMaliciousR|MutateTerminalR|SubXD|AddRandomSubTreeR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,AddToLeafR,ReplaceBranchXR,10,10,11,11,3
