gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x*3*x+1,25,-10,-0.05920552748745493,-0.04999150088754752,-0.059199887541639414,-0.019964409957989978,NaN,NaN,NaN,NaN,-0.96,0.0035596668279075467,0,1.0005731601747199,211278.2,NaN,211278.2,210526.12,(0),(((6)*((5)*(x)))-((0)/((9)*(x)))),AddTreeWithAdd|ReplaceBranchXR|FellTreeD|DeleteNonTerminalR|SkipD,MutateNonTerminalR|DivXD|AddXD|AddTreeWithAdd|ReplaceBranchXR|SubXD|MultXD|MultXD|AddTreeWithAdd|MultXD|MutateTerminalR|DeleteMaliciousR|MutateNonTerminalR|MultXD|DeleteTerminalR|SubXD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR,ReplaceBranchXR,MultXD,0,0,1,1,4
1,x*x*x*x*3*x+1,25,-10,-0.0384,-0.014944919195787838,-0.0384,0.00031780467650608177,8451.128,7100.656637499999,8451.128,8383.9828,-0.96,0.015891180443604786,0,1.0026905640818997,211278.2,165806.535,211278.2,207920.74,(0),((((x)+(6))-((x)*((x)*(x))))-((9)/((7)-((3)*(x))))),AddTreeWithAdd|AddTreeWithDiv|FellTreeD|DeleteNonTerminalR|SkipD,MutateNonTerminalR|DivXD|AddXD|AddTreeWithAdd|ReplaceBranchXR|SubXD|MultXD|AddToLeafR|SubXD|DeleteNonTerminalR|AddToLeafR|MultXD|ReplaceBranchXR|MultXD|DeleteTerminalR|SubXD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR,DeleteNonTerminalR,MultXD,1,1,2,2,4
2,x*x*x*x*3*x+1,25,-10,-0.0384,-0.004976419569573793,-0.0384,0.00009547979868073824,8451.128,7999.867979722223,8451.128,8430.9552,-0.96,-0.00000047330937430259966,0,0.9999904552544273,211278.2,166653.425,211278.2,211278.3,(0),((0)-((2)/(4))),AddTreeWithAdd|DeleteNonTerminalR|FellTreeD|DeleteNonTerminalR|SkipD,AddXD|DivXD|AddXD|AddTreeWithAdd|ReplaceBranchXR|SubXD|MultXD|AddToLeafR|SubXD|DeleteNonTerminalR|AddToLeafR|MultXD|ReplaceBranchXR|AddXD|ReplaceBranchXR|FellTreeD|AddTreeWithAdd|DeleteNonTerminalR|SubXD|AddTreeWithDiv,DeleteNonTerminalR,AddXD,2,2,3,3,4
3,x*x*x*x*3*x+1,25,-10,-0.0384,-0.014994473056024409,-0.0384,0.000055238565851032706,8451.128,7111.128205952381,8451.128,8439.457295238097,-0.96,-0.000000631079066447089,0,1.1546833231710611,211278.2,122025.75,211278.2,211278.33333333337,(0),((0)-((6)/(9))),AddTreeWithAdd|DeleteNonTerminalR|FellTreeD|DeleteNonTerminalR|SkipD,AddXD|DivXD|AddXD|AddTreeWithAdd|ReplaceBranchXR|SubXD|MultXD|AddToLeafR|SubXD|DeleteNonTerminalR|AddToLeafR|MultXD|ReplaceBranchXR|AddXD|ReplaceBranchXR|FellTreeD|AddTreeWithAdd|DeleteNonTerminalR|SubXD|AddTreeWithDiv,DeleteNonTerminalR,AddXD,3,3,4,4,4
4,x*x*x*x*3*x+1,25,-10,-0.0384,-0.009831832576830169,-0.0384,0.0009834733360586975,8451.128,7523.042019047618,8451.128,8243.341523809524,-0.96,0.04749972852313749,0,1.0081373287977293,211278.2,164150.64571428573,211278.2,201242.54285714286,(0),((((2)-(1))+((x)/((7)*(x))))-(((x)*(x))*((x)-((x)*(x))))),AddTreeWithAdd|DeleteNonTerminalR|FellTreeD|DeleteNonTerminalR|SkipD,MutateNonTerminalR|DivXD|AddXD|AddTreeWithAdd|ReplaceBranchXR|SubXD|MultXD|AddToLeafR|SubXD|DeleteNonTerminalR|AddToLeafR|MultXD|ReplaceBranchXR|MultXD|DeleteTerminalR|SubXD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR,DeleteNonTerminalR,MultXD,4,4,5,5,4
5,x*x*x*x*3*x+1,25,-10,-0.0384,-0.00983962113160771,-0.0384,0.0011672546749577953,8451.128,7524.687458333334,8451.128,8204.512533333333,-0.96,0.05567256820627979,0,1.010114708810973,211278.2,163547.2275,211278.2,199515.8,(0),((((x)*(2))-((x)*(7)))*((3)*((x)-((x)*(x))))),SkipD|MultXD|FellTreeD|DeleteNonTerminalR|SkipD,MutateNonTerminalR|DivXD|AddXD|AddTreeWithAdd|ReplaceBranchXR|SubXD|MultXD|AddToLeafR|SubXD|DeleteNonTerminalR|AddToLeafR|MultXD|ReplaceBranchXR|MultXD|DeleteTerminalR|SubXD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR,SkipD,MultXD,5,5,6,6,4
6,x*x*x*x*3*x+1,25,-10,-0.0384,-0.009988916715061713,-0.0384,0.000057933094848403656,8451.128,7556.230901587302,8451.128,8438.888,-0.96,0.0025312597324287003,0,1.0004228033623175,211278.2,166516.57444444444,211278.2,210743.4,(0),((((x)+(6))*((x)*(6)))/((8)-((7)*((0)*(x))))),AddTreeWithAdd|DeleteNonTerminalR|FellTreeD|DeleteNonTerminalR|SkipD,MutateNonTerminalR|DivXD|AddXD|AddTreeWithAdd|ReplaceBranchXR|SubXD|MultXD|AddToLeafR|SubXD|DeleteNonTerminalR|AddToLeafR|MultXD|ReplaceBranchXR|MultXD|DeleteTerminalR|SubXD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR,DeleteNonTerminalR,MultXD,6,6,7,7,4
7,x*x*x*x*3*x+1,25,-10,-0.0384,-0.025522659836646536,-0.0384,0.002416340161928681,8451.128,6416.6987,8451.128,7940.608,-0.96,0.12029731415735277,0,1.0001045067593344,211278.2,77383.76000000001,211278.2,185862,(0),((((x)-((4)+(7)))-(((3)+(8))-((x)*(x))))*(((5)-((x)*(x)))*((7)/((6)-((x)*(x)))))),AddTreeWithAdd|DeleteNonTerminalR|FellTreeD|DeleteNonTerminalR|SkipD,MutateNonTerminalR|DivXD|AddXD|AddTreeWithAdd|ReplaceBranchXR|SubXD|MultXD|AddToLeafR|SubXD|DeleteNonTerminalR|AddToLeafR|MultXD|ReplaceBranchXR|MultXD|DeleteTerminalR|SubXD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR,DeleteNonTerminalR,MultXD,7,7,8,8,4
8,x*x*x*x*3*x+1,25,-10,-0.0384,-0.006291177373699224,-0.0384,0.004567374201408385,8451.128,9387.388661666666,8451.128,7486.141399999999,-0.96,0.0008300430427749973,0,1.0000486302585274,211278.2,166634.992,211278.2,211102.83,(0),(((x)*((7)-(4)))/((8)*((4)*(x)))),DeleteNonTerminalR|DeleteNonTerminalR|FellTreeD|DeleteNonTerminalR|SkipD,MutateNonTerminalR|DivXD|AddXD|MutateTerminalR|ReplaceBranchXR|SubXD|MultXD|AddToLeafR|SubXD|DeleteNonTerminalR|AddToLeafR|MultXD|ReplaceBranchXR|MultXD|DeleteTerminalR|SubXD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR,DeleteNonTerminalR,MultXD,8,8,9,9,4
9,x*x*x*x*3*x+1,25,-10,-0.0384,0.00007094830913686171,-0.0384,0.0002865186595998397,8451.128,8436.138213333334,8451.128,8390.592853333334,-0.96,0.026541536230429905,0,0.013304049147060024,211278.2,209886.77704761905,211278.2,205670.552,(0),((((x)+(0))-((0)*((4)+(6))))*((x)-((9)/((5)*(x))))),AddTreeWithAdd|DeleteNonTerminalR|FellTreeD|DeleteNonTerminalR|SkipD,MutateNonTerminalR|DivXD|AddXD|MutateTerminalR|ReplaceBranchXR|SubXD|MultXD|AddToLeafR|SubXD|DeleteNonTerminalR|AddToLeafR|MultXD|ReplaceBranchXR|MultXD|DeleteTerminalR|SubXD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR,DeleteNonTerminalR,MultXD,9,9,10,10,4
10,x*x*x*x*3*x+1,25,-10,-0.0384,-0.01003113224657082,-0.0384,0.00003963147483586658,8451.128,7565.281205555557,8451.128,8442.754733333333,-0.96,0.00026792478668721754,0,1.0000452615265678,211278.2,166636.05833333335,211278.2,211221.59333333335,(0),(((x)*((9)+(7)))-((8)/(6))),AddTreeWithAdd|DeleteNonTerminalR|FellTreeD|DeleteNonTerminalR|SkipD,MutateNonTerminalR|DivXD|AddXD|MutateTerminalR|ReplaceBranchXR|SubXD|MultXD|AddToLeafR|SubXD|DeleteNonTerminalR|AddToLeafR|MultXD|ReplaceBranchXR|MultXD|DeleteTerminalR|SubXD|ReplaceBranchXR|AddXD|AddTreeWithDiv|AddRandomSubTreeR,DeleteNonTerminalR,ReplaceBranchXR,10,10,11,11,4
