gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x*3*x+1,25,-10,-0.048802921983116726,-0.0249980836786691,-0.038400189323839366,0.000010786410208596955,NaN,NaN,8450.128,8448.849066666668,-0.96,0.000009150652236614848,0,0.9999905510003869,211278.2,166653.395,211278.2,211276.26666666663,(0),(((x)/(3))+((1)-(2))),AddToLeafR|ReplaceBranchR|MultXD|ReplaceBranchXR|DeleteNonTerminalR,MutateNonTerminalR|ReplaceBranchR|SubXD|ReplaceBranchR|AddTreeWithDiv,AddToLeafR,ReplaceBranchR,0,0,1,1,2
1,x*x*x*x*3*x+1,25,-10,-0.04359985052567342,-0.0000017986727564461302,-0.03837336561935874,0.000003852582361393487,7395.526516666666,8451.508179166667,8591.8096,8450.314033333334,-0.958253131652958,0.00000347093705520595,0.0008864468168009055,0.000002497902507446573,213487.41999999998,211277.85041666665,220505.08,211277.46666666667,((((3)/(5))*((x)*((x)*(8))))*((6)*((2)-((4)*(6))))),((9)-((2)/(3))),AddTreeWithMult|DeleteMaliciousR|ReplaceBranchR|AddTreeWithDiv|AddTreeWithSub,DeleteTerminalR|FellTreeD|MultXD|ReplaceBranchR|AddTreeWithDiv,ReplaceBranchR,AddTreeWithDiv,1,1,2,2,2
2,x*x*x*x*3*x+1,25,-10,-0.04326966198933106,-0.004922216701766696,-0.037078646707786905,0.0002976040031353853,NaN,NaN,15430.45662857143,8388.250761904761,-0.8448817909277909,0.02748982147708566,0.05755910453610452,0.013296111947503934,363290.5,209667.69333333333,819327.4,205470.2,((((9)*((4)/(6)))*((x)*((x)*(x))))*(((3)*(1))-((7)+((0)*(x))))),((((9)+((6)*(8)))-((2)*((x)*(6))))-(((5)*(3))*((8)-((7)-(7))))),AddTreeWithMult|DeleteMaliciousR|MultXD|AddTreeWithDiv|AddTreeWithSub,ReplaceBranchXR|ReplaceBranchR|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub,AddTreeWithMult,AddTreeWithSub,2,2,3,3,2
3,x*x*x*x*3*x+1,25,-10,-0.034568021690764845,-0.015052361843120561,-0.023028326937659237,0.000006474875306588496,30345.80697619048,7123.499696296296,96260.98133333333,8449.76,0.29681175353941414,0.0002934519510294957,0.6281479278443552,1,2038365.26,166650.40000000002,7511438.12,211216.2,((((x)*((x)-(8)))*((x)*((6)*(x))))*(((3)*(x))+((1)/((6)*(x))))),((((x)*(2))-((x)*(2)))-((7)+((2)*((4)-(4))))),DeleteNonTerminalR|DeleteMaliciousR|MultXD|AddTreeWithDiv|AddTreeWithSub,MutateNonTerminalR|ReplaceBranchR|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub,DeleteNonTerminalR,AddTreeWithSub,3,3,4,4,2
4,x*x*x*x*3*x+1,25,-10,-0.05140410098154944,-0.013702718119184294,-0.03841640392619778,0.0052188062942603655,NaN,NaN,8364.4832,7348.508000000001,-0.96,0.0014282590442365056,0,1.00022347519235,211278.2,166579.65600000002,211278.2,210976.44,((((x)*((x)*(x)))*((5)*((x)-(7))))*(((0)*(x))+((1)*((x)/(3))))),((((2)-(0))-((5)-((5)*(x))))-(((0)*(3))*((x)+((1)*(x))))),AddTreeWithMult|DeleteMaliciousR|MultXD|AddTreeWithDiv|AddTreeWithSub,MutateNonTerminalR|ReplaceBranchR|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub,AddTreeWithMult,AddTreeWithSub,4,4,5,5,2
5,x*x*x*x*3*x+1,25,-10,-0.03899908537435071,-0.02980917968391282,-0.019996341497402873,0.0021904998863379313,NaN,NaN,213898.60773333334,7988.323599999999,0.7358025032919078,0.21950830705676214,1.132817563914584,1.0368578378213895,5103751.369999999,156927.29,19992449.08,164900.88,((((x)*((x)*(x)))*((9)/((2)*(x))))*(((7)-(2))*((x)+((1)*(x))))),((((8)-((1)-(5)))-(((7)*(x))*((x)*(6))))/(((7)-((6)*(3)))+((x)*((2)+((0)+(3)))))),AddTreeWithSub|DeleteMaliciousR|MultXD|AddTreeWithDiv|AddTreeWithSub,MutateNonTerminalR|ReplaceBranchR|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub,AddTreeWithSub,AddTreeWithSub,5,5,6,6,2
6,x*x*x*x*3*x+1,25,-10,-0.047855580531577166,-0.015000056318319086,-0.04451050688618134,0.0000010886120764024972,11326.727133333334,7112.305899999999,28995.255600000004,8450.898000000001,-0.5310506886181348,0.0000513067604704395,0.216501548908423,1,762935.6133333333,77394.8,2476969.16,211267.36,((((2)-((7)*(8)))/((6)*((x)*(x))))*(((9)*(6))*((x)+((1)*(x))))),(((x)-(4))-((3)-(x))),AddTreeWithMult|DeleteMaliciousR|MultXD|SkipD|AddTreeWithSub,MutateNonTerminalR|ReplaceBranchR|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub,SkipD,AddTreeWithSub,6,6,7,7,2
7,x*x*x*x*3*x+1,25,-10,-0.05532272692802403,-0.0000001504997189998972,-0.03485926261099241,0.0000006153024779678266,11500.25838888889,8451.1598,27153.143555555558,8450.998,-0.6192595818109856,0.0000037864767875600144,0.7478602591846659,0.000006270548544377513,762682.4888888889,211278.46000000002,2011053.7555555555,211277.4,((((6)*((5)*(x)))*((x)*((x)*(x))))/(((9)*(0))-((8)+((1)/((3)*(x)))))),(((2)-(7))-((9)-(6))),AddTreeWithMult|AddTreeWithDiv|MultXD|AddTreeWithDiv|AddTreeWithSub,MutateNonTerminalR|FellTreeD|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub,AddTreeWithDiv,AddTreeWithSub,7,7,8,8,2
8,x*x*x*x*3*x+1,25,-10,-0.04614401600354414,0.00000009513833901389266,-0.03779924546877056,0.0000013214803988315837,7162.246450000001,8451.1079,11624.286399999999,8450.8488,-0.8999245468770559,0.00005660782797288577,0.5307686346783239,0.00002262003963564346,237787.61,211272.74,528594.04,211266.24,((((x)*((7)/(2)))*((4)*((6)*(9))))-(((4)*(3))*((x)+((1)*(x))))),(((2)-(5))-((x)-(x))),AddTreeWithMult|DeleteMaliciousR|MultXD|AddTreeWithDiv|AddTreeWithSub,MutateNonTerminalR|FellTreeD|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub,DeleteMaliciousR,AddTreeWithSub,8,8,9,9,2
9,x*x*x*x*3*x+1,25,-10,-0.05206037684910227,-0.00000006720020754004386,-0.03064150739640909,0.0000009295800513263541,15526.957200000003,8451.1422,49431.13680000001,8450.9316,-0.18415073964090947,0.000033131671890426934,0.8831647235695926,0.000022220144016251514,1130139.32,211277.49000000002,4309279.08,211271.2,((((x)*((x)*(x)))*((5)-((x)*(3))))*(((6)*(4))+((x)/((2)*(x))))),(((1)-(2))-((x)-(8))),AddTreeWithMult|DeleteMaliciousR|MultXD|AddTreeWithDiv|AddTreeWithSub,MutateNonTerminalR|FellTreeD|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub,AddTreeWithSub,AddTreeWithSub,9,9,10,10,2
10,x*x*x*x*3*x+1,25,-10,-0.046246399034280135,-0.0000001897903523802038,-0.03826665467615684,0.0000001268469723815386,6621.46388888889,8451.168099999999,9155.452,8451.101200000001,-0.96,0.0000030291814300480114,0.0052254477745455885,0.000003695039441627756,197477.91,211277.99,211278.2,211277.56,((((6)*((0)*(x)))*((x)*((x)*(3))))*(((x)+(0))-((7)/((3)*(x))))),(((4)-(1))-((2)-(1))),AddTreeWithMult|MutateNonTerminalR|MultXD|AddRandomSubTreeR|AddTreeWithSub,MutateNonTerminalR|FellTreeD|AddTreeWithSub|AddTreeWithAdd|AddTreeWithSub,AddTreeWithSub,AddTreeWithSub,10,10,11,11,2
