gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x*3*x+1,25,-10,-0.0380571422134418,-0.0199996663167331,-0.0367864185135996,-0.019998758035613705,10262.0874,6665.945500000001,16973.992799999996,6665.753600000001,-0.8074738084667514,-2,0.07626349965962062,0,412684.12,32767,1016914.68,32767,((((8)*(8))*((x)*((x)*(x))))*(((3)*(0))+((1)*((x)+(x))))),(((6)+((4)-(6)))-((6)/(x))),MultXD|AddXD|DeleteMaliciousR|AddTreeWithMult|DeleteMaliciousR,MutateTerminalR|AddTreeWithSub|AddTreeWithSub|MutateTerminalR|DivXD,DeleteMaliciousR,MutateTerminalR,0,0,1,1,4
1,x*x*x*x*3*x+1,25,-10,-0.03791195873497597,-0.007603091931014546,-0.03644126737164553,0.00028103230716657155,11028.94,5008319.5627,18797.0656,8391.752,-0.798452376061515,0.00012040996184179118,0.08088220416062315,0.000059946831890334625,423742.37999999995,211271.72000000003,1064565.48,211252.76,((((x)*(x))*((x)-((8)*(x))))*(((3)*(x))-((6)*((x)+(x))))),((4)*(x)),MultXD|AddXD|DeleteMaliciousR|AddRandomSubTreeR|AddTreeWithSub,AddTreeWithAdd|FellTreeD|DeleteNonTerminalR|MutateTerminalR|FellTreeD,MultXD,FellTreeD,1,1,2,2,4
2,x*x*x*x*3*x+1,25,-10,-0.038314025829451405,0.0000012698901126500758,-0.037656043794390526,0.000006637693808450132,8905.2397,8450.859699999999,12380.6712,8449.7256,-0.8856031677664804,0.00023854803761118413,0.03553683594422327,0.00011992101417319162,327121.53,211265.78,604238.92,211227.8,((((x)*(5))-((x)*((x)*(x))))*(((7)*(8))*((2)-((5)+(x))))),((8)*(x)),AddTreeWithMult|AddXD|DeleteMaliciousR|AddRandomSubTreeR|AddTreeWithSub,AddTreeWithAdd|FellTreeD|DeleteNonTerminalR|MultXD|ReplaceBranchR,AddRandomSubTreeR,AddTreeWithAdd,2,2,3,3,4
3,x*x*x*x*3*x+1,25,-10,-0.038422641484071714,0.000000172284886221215,-0.03840003703174298,0.0000006929252521090188,8331.536699999999,8451.0916,8450.9324,8450.981600000001,-0.96,0.0000312384334967158,0,0.000016018013929935755,211278.2,211276.61,211278.2,211271.6,((7)*(0)),((1)+(x)),AddRandomSubTreeR|SkipD|DeleteMaliciousR|AddTreeWithMult|DeleteMaliciousR,AddTreeWithAdd|FellTreeD|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR,DeleteMaliciousR,AddTreeWithAdd,3,3,4,4,4
4,x*x*x*x*3*x+1,25,-10,-0.038400002158291764,0.00000025132741469180146,-0.038399995531957394,0.0000010299216861970387,8451.116600000001,8451.0749,8451.151600000001,8450.910399999999,-0.96,0.00003029181429992911,0,0.000013671138982310412,211278.2,211276.02000000002,211278.2,211271.8,((x)*(0)),((x)+(0)),AddRandomSubTreeR|FellTreeD|DeleteMaliciousR|AddTreeWithMult|DeleteMaliciousR,AddTreeWithAdd|FellTreeD|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR,DeleteMaliciousR,AddTreeWithAdd,4,4,5,5,4
5,x*x*x*x*3*x+1,25,-10,-0.0384,0.0000005149609747332439,-0.0384,0.000001912170777678548,8451.128,8451.019199999999,8451.128,8450.724,-0.96,0.00011927401880559206,0,0.0000604298934712703,211278.2,211272.1,211278.2,211253,((8)*(0)),((x)*(x)),AddRandomSubTreeR|FellTreeD|DeleteMaliciousR|AddTreeWithMult|DeleteMaliciousR,AddTreeWithAdd|FellTreeD|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR,DeleteMaliciousR,MutateTerminalR,5,5,6,6,4
6,x*x*x*x*3*x+1,25,-10,-0.0384,0.00000019169219643119357,-0.0384,0.0000007440426887421121,8451.128,8451.0875,8451.128,8450.9708,-0.96,0.0000312384334967158,0,0.000013537206146867359,211278.2,211275.72,211278.2,211271.6,((x)*(0)),((1)+(x)),AddRandomSubTreeR|FellTreeD|DeleteMaliciousR|AddTreeWithMult|DeleteMaliciousR,AddTreeWithAdd|FellTreeD|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR,DeleteMaliciousR,DeleteNonTerminalR,6,6,7,7,4
7,x*x*x*x*3*x+1,25,-10,-0.0384,0.0000009063882256379482,-0.0384,0.000005967487417067852,8451.128,8450.9365,8451.128,8449.8672,-0.96,0.00026808255655346347,0,0.00013402456064552862,211278.2,211264.02000000002,211278.2,211221.56,((x)*(0)),((9)*(x)),AddRandomSubTreeR|FellTreeD|DeleteMaliciousR|AddTreeWithMult|DeleteMaliciousR,AddTreeWithAdd|FellTreeD|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR,DeleteMaliciousR,MutateTerminalR,7,7,8,8,4
8,x*x*x*x*3*x+1,25,-10,-0.03840000838704608,0.0000001893241422503203,-0.03839999379017807,0.0000007383629735597389,8451.0837,8451.088,8451.1608,8450.972,-0.9599995531957392,0.00003351031956925181,0.000000244640785026227,0.000019752074226889107,211278.69,211274.72,211280.56,211271.12,((0)-(9)),((9)+(x)),AddRandomSubTreeR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR,AddTreeWithAdd|FellTreeD|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR,DeleteMaliciousR,ReplaceBranchR,8,8,9,9,4
9,x*x*x*x*3*x+1,25,-10,-0.03840000255587183,0.0000014241885906533753,-0.03839999568341646,0.000005126889570246059,8451.1145,8450.8271,8451.150800000001,8450.044800000001,-0.959999606206414,0.00026808255655346347,0.0000002244798534659407,0.00013120387941421632,211278.8,211263.09999999998,211280.28,211221.56,((0)-(8)),((9)*(x)),AddRandomSubTreeR|FellTreeD|DeleteMaliciousR|ReplaceBranchXR|DeleteMaliciousR,AddTreeWithAdd|FellTreeD|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR,DeleteMaliciousR,AddTreeWithAdd,9,9,10,10,4
10,x*x*x*x*3*x+1,25,-10,-0.03840000842491085,0.0000006299751293734931,-0.03839999348725993,0.000002247273973369689,8451.0835,8450.9949,8451.1624,8450.653199999999,-0.9599998712597893,0.0001499444807842083,0.00000009902921803295812,0.00007390218728066905,211278.22,211269.93,211278.88,211246.52,((0)-(3)),((x)*(5)),AddRandomSubTreeR|FellTreeD|DeleteMaliciousR|ReplaceBranchXR|DeleteMaliciousR,AddTreeWithAdd|FellTreeD|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR,DeleteMaliciousR,AddTreeWithAdd,10,10,11,11,4
