gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x*3*x+1,25,-10,-0.05659823962907673,-0.034997403293131044,-0.04879263659005046,-0.019992392968133956,NaN,NaN,NaN,NaN,-0.9592643329979146,0,0.0003644087191311154,1,212287,77394.8,215163.96,211278.2,((((5)-(x))+((0)+((0)*(1))))*(((x)*(3))*((x)-((x)*(x))))),((((2)*(x))*((0)*((0)-(0))))+(((0)*(6))/((9)/((3)-(1))))),MutateTerminalR|AddTreeWithMult|MultXD|MutateTerminalR|DeleteTerminalR|AddToLeafR|FellTreeD|AddToLeafR|AddTreeWithMult|AddToLeafR|SkipD|MultXD|DeleteMaliciousR|AddTreeWithAdd|MultXD|ReplaceBranchXR|SubXD|AddRandomSubTreeR|SkipD|MultXD,ReplaceBranchR|FellTreeD|AddTreeWithMult|ReplaceBranchR|SkipD|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR|AddToLeafR|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR|AddToLeafR|DeleteMaliciousR|DeleteMaliciousR|DeleteTerminalR|DivXD|AddTreeWithDiv|DeleteTerminalR|AddTreeWithSub,MultXD,AddTreeWithMult,0,0,1,1,0
1,x*x*x*x*3*x+1,25,-10,-0.03445673598479109,0.00000478976003387675,-0.022508369812728225,0.00002306721658931282,37507.297399999996,8450.1164,125302.1088,8446.2544,0.5370756760671207,0.0016721081493499984,0.7484582637593351,0.0009365614044727064,3011584.1399999997,211190.22,11409975.08,210924.92,((((7)-(0))*((9)*((x)*(5))))*(((6)*(x))*((x)-((x)*(x))))),((((9)*(3))+((0)*(2)))+((4)*((2)-((5)*(x))))),MutateTerminalR|AddTreeWithMult|MultXD|MutateTerminalR|DeleteTerminalR|AddToLeafR|FellTreeD|AddToLeafR|AddTreeWithMult|AddToLeafR|SkipD|MultXD|DeleteMaliciousR|AddTreeWithAdd|MultXD|ReplaceBranchXR|SubXD|SubXD|SkipD|MultXD,SubXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR|AddXD|DivXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|SubXD|AddTreeWithSub|ReplaceBranchR|SkipD|AddRandomSubTreeR|MutateTerminalR|MultXD|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd,MultXD,ReplaceBranchR,1,1,2,2,0
2,x*x*x*x*3*x+1,25,-10,-0.034265958184222685,-0.004998857919727435,-0.021811390184843255,0.00003703931593510759,51694.682799999995,8004.6173,181702.3464,8443.3024,0.698794460691472,0.00003029181429992911,0.829276373087162,0.9993140199361018,4543429.279999999,166869.2,17536048.68,211271.8,((((7)*(1))*((9)*((x)*(x))))*(((4)*(x))*((x)-((x)*(x))))),(((2)+(3))-((4)*(x))),MutateTerminalR|AddTreeWithMult|MultXD|MutateTerminalR|DeleteTerminalR|AddToLeafR|FellTreeD|AddToLeafR|AddTreeWithMult|AddToLeafR|SkipD|MultXD|DeleteMaliciousR|AddTreeWithAdd|MultXD|ReplaceBranchXR|SubXD|SubXD|SkipD|MultXD,SubXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR|AddXD|DivXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|SubXD|AddTreeWithSub|ReplaceBranchR|SkipD|AddRandomSubTreeR|MutateTerminalR|MultXD|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd,MultXD,ReplaceBranchR,1,2,3,3,0
3,x*x*x*x*3*x+1,25,-10,-0.03711611823652416,-0.0050193817182038305,-0.034460452995150465,0.000017349636640223923,15232.533699999998,8008.969638250432,29259.638,8447.4624,-0.5665916123859442,0.00006058362859972047,0.1856412408882121,0.9985501480997538,905806.13,167113.43,2289243.6,211265.4,((((8)*(6))*((x)+((5)*(x))))*(((7)-(x))*((x)-((x)*(x))))),(((8)-((3)+(0)))+((0)-((3)*(x)))),MutateTerminalR|AddTreeWithMult|MultXD|MutateTerminalR|DeleteTerminalR|AddToLeafR|FellTreeD|AddToLeafR|AddTreeWithMult|AddToLeafR|SkipD|MultXD|DeleteMaliciousR|AddTreeWithAdd|MultXD|ReplaceBranchXR|SubXD|SubXD|SkipD|MultXD,SubXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR|AddXD|DivXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|SubXD|AddTreeWithSub|ReplaceBranchR|SkipD|AddRandomSubTreeR|MutateTerminalR|MultXD|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd,MultXD,ReplaceBranchR,1,3,4,4,0
4,x*x*x*x*3*x+1,25,-10,-0.03844351456988937,-0.024995685632025682,-0.038392215306643086,-0.01997739473357876,8221.286,6218.826477777778,8492.2464,6661.24,-0.95924538546807,-2,0.00046671432847641736,0,211776.92,32767,215264.04,32767,((((0)-(9))*((x)-((9)*(x))))+((4)*((x)-((x)*(x))))),(((8)+((2)+(x)))*((6)*((x)/(x)))),MutateTerminalR|AddTreeWithMult|MultXD|MutateTerminalR|DeleteTerminalR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|AddToLeafR|SkipD|MultXD|DeleteMaliciousR|AddTreeWithAdd|MultXD|ReplaceBranchXR|SubXD|AddRandomSubTreeR|SkipD|AddToLeafR,SubXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR|AddXD|DivXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|SubXD|AddTreeWithSub|ReplaceBranchR|SkipD|AddRandomSubTreeR|MutateTerminalR|MultXD|AddRandomSubTreeR|MutateTerminalR|DivXD,AddToLeafR,ReplaceBranchR,4,4,5,5,0
5,x*x*x*x*3*x+1,25,-10,-0.02369656291457118,-0.01001311949462435,0.000832572608328811,0.000049154148416641035,4364884689.5515995,7561.369299999999,14129197187.465603,8440.7428,0.9999962586883864,0.000017985764740600128,1.1321507037871477,0.9995294502438853,436206143650.22,166799.85,1411792319227,211274.4,(((((x)+(0))*((6)*((x)*(4))))*(((3)*(x))-((3)*((x)*(1)))))*((((9)*(x))+((9)*(3)))*(((6)+(1))*((x)*((x)-((x)*(x))))))),(((9)+((1)-(9)))*((9)+((8)*(5)))),MutateTerminalR|AddTreeWithMult|MultXD|MutateTerminalR|DeleteTerminalR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|AddToLeafR|SkipD|MultXD|DeleteMaliciousR|AddTreeWithAdd|MultXD|ReplaceBranchXR|SubXD|AddRandomSubTreeR|SkipD|AddToLeafR,SubXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR|AddXD|DivXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|SubXD|AddTreeWithSub|ReplaceBranchR|SkipD|AddRandomSubTreeR|MutateTerminalR|MultXD|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd,AddToLeafR,ReplaceBranchR,4,4,6,6,0
6,x*x*x*x*3*x+1,25,-10,-0.019088022759565757,-0.005057867506064215,0.01973198401880837,0.000015486690060784346,1716227645.3086,8017.386622222222,6828080711.24,8447.855999999998,0.9999922606550465,0.0006815658217459255,1.138948140250707,1.0001423179041828,171540519623.88,166605.31,682480885887.08,211134.2,(((((x)*(4))*((x)*((9)*(x))))+(((1)*(4))*((9)*((8)+(1)))))-((((7)*(7))+((0)*(5)))+(((9)*(3))*((x)*((x)-((x)*(x))))))),(((8)+(9))+((6)*(x))),MutateTerminalR|AddTreeWithMult|MultXD|MutateTerminalR|DeleteTerminalR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|AddToLeafR|SkipD|MultXD|DeleteMaliciousR|AddTreeWithAdd|MultXD|ReplaceBranchXR|SubXD|AddRandomSubTreeR|SkipD|AddToLeafR,SubXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR|AddXD|DivXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|SubXD|AddTreeWithDiv|ReplaceBranchR|SkipD|AddRandomSubTreeR|MutateTerminalR|MultXD|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd,AddToLeafR,ReplaceBranchR,4,5,7,7,0
7,x*x*x*x*3*x+1,25,-10,-0.019548667340592123,-0.02499308223523632,0.01746042277907308,0.00004674405594140971,167382097.1071,6218.276999999999,456986776.4884,8441.252,0.9998724536574167,0.003486209178230398,1.1314952071747926,1.1556903394407527,15666083369.68,121841.66,41412045951.48,210541.64,(((((x)-(1))*((4)+((0)*(6))))+(((6)*(3))*((7)*((5)+(8)))))*((((0)+(4))*((x)+(0)))*(((x)*(x))*((x)-((x)*(x)))))),((((0)+(9))+((5)+(0)))*((9)-((x)*(x)))),MutateTerminalR|AddTreeWithMult|MultXD|MutateTerminalR|DeleteTerminalR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|AddToLeafR|SkipD|MultXD|DeleteMaliciousR|AddTreeWithAdd|MultXD|ReplaceBranchXR|SubXD|AddRandomSubTreeR|SkipD|MultXD,SubXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR|AddXD|DivXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|SubXD|AddTreeWithSub|ReplaceBranchR|SkipD|AddRandomSubTreeR|MutateTerminalR|MultXD|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd,MultXD,ReplaceBranchR,7,7,8,8,0
8,x*x*x*x*3*x+1,25,-10,-0.04339329880177157,-0.0149778349813769,-0.02717230538504123,0.00012460537812230578,NaN,NaN,NaN,8424.8016,0.9997522831973115,0.010256808321918722,0.9798758386806377,1.0019052647276088,5330797059.92,166049.95,21322554395.48,209111.16,(((((9)*(8))*((6)*((2)*(4))))*(((1)*(x))*((6)-((0)*(9)))))*((((8)*(3))*((0)+(x)))*(((6)+(1))*((x)*((x)-(x)))))),(((x)*((9)+(8)))*((2)*((3)+(8)))),MutateTerminalR|AddTreeWithMult|SkipD|MutateTerminalR|DeleteTerminalR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|AddToLeafR|SkipD|MultXD|DeleteMaliciousR|AddTreeWithAdd|MultXD|ReplaceBranchXR|SubXD|AddXD|SkipD|AddToLeafR,SubXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR|AddXD|DivXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|SubXD|AddTreeWithSub|ReplaceBranchR|SkipD|AddRandomSubTreeR|MutateTerminalR|MultXD|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd,AddToLeafR,ReplaceBranchR,8,8,9,9,0
9,x*x*x*x*3*x+1,25,-10,-0.029533361636179277,-0.009992558825739935,-0.0192015579641054,0.00004375277404905697,375763.085,7557.003068333333,1321270.5968,8441.884,0.959830950920704,0.00097691101116927,1.0308000234835637,1.1549667765882015,36942499.42,121973.9,131493155.08,211071.8,(((((x)-(0))*((x)*(1)))*(((7)+(0))*((1)+((0)*(3)))))*((((x)*(2))+((5)*(1)))+(((x)*(x))*((x)-((x)+(x)))))),(((4)+((4)-(2)))+((3)*((9)*(x)))),MutateTerminalR|AddTreeWithMult|SkipD|MutateTerminalR|DeleteTerminalR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|AddToLeafR|SkipD|MultXD|DeleteMaliciousR|AddTreeWithAdd|MultXD|ReplaceBranchXR|SubXD|AddXD|SkipD|AddToLeafR,SubXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR|AddXD|DivXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|SubXD|AddTreeWithSub|ReplaceBranchR|SkipD|AddRandomSubTreeR|MutateTerminalR|MultXD|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd,AddToLeafR,ReplaceBranchR,8,9,10,10,0
10,x*x*x*x*3*x+1,25,-10,-0.03321217212987374,-0.01647710591722185,-0.017605023626477128,0.000023729850027122735,2540420.3483,7765.172697502417,10136558.645200001,8446.1144,0.9947825498515416,0.0013313252384770356,0.9774045622437091,1.0002696913598033,253249175.99,166564.98,1012363290.44,210996.92,(((((x)*(4))+((x)+(0)))*(((9)*(0))+((8)*((x)*(3)))))*((((7)-(6))+((1)+(6)))*(((9)*(x))+((x)*((x)-(x)))))),((((7)+(7))+((5)*(3)))+((9)+((6)+((1)*(x))))),MutateTerminalR|AddTreeWithMult|MultXD|MutateTerminalR|DeleteTerminalR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|AddToLeafR|SkipD|MultXD|DeleteMaliciousR|AddXD|MultXD|ReplaceBranchXR|SubXD|AddRandomSubTreeR|SkipD|AddToLeafR,SubXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR|AddXD|DivXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|AddXD|AddTreeWithSub|ReplaceBranchR|SkipD|AddRandomSubTreeR|MutateTerminalR|MultXD|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd,AddToLeafR,ReplaceBranchR,10,10,11,11,0
11,x*x*x*x*3*x+1,25,-10,-0.028846821250415357,-0.019992384696551718,-0.00637064218664311,0.000031249792927052995,11215441.7944,6664.407057738094,44803753.5792,8444.525599999999,0.9988190347880315,0.0005463886004329946,0.9794125730874333,1.1548873569550064,1118302082.2099998,121988.42000000001,4472574591.08,211162.76,(((((x)*(x))*((x)*(3)))*(((3)*(5))*((6)*((9)*(9)))))+((((0)-(x))*((8)*(4)))-(((1)*(x))+((x)*((x)-(x)))))),(((3)*((x)+(4)))+((9)+((2)*(6)))),MutateTerminalR|AddTreeWithMult|MultXD|MutateTerminalR|DeleteTerminalR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|AddToLeafR|SkipD|MultXD|DeleteMaliciousR|AddXD|MultXD|ReplaceBranchXR|SubXD|AddRandomSubTreeR|SkipD|AddToLeafR,SubXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR|AddXD|DivXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|AddXD|AddTreeWithSub|ReplaceBranchR|SkipD|AddRandomSubTreeR|MutateTerminalR|MultXD|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd,AddToLeafR,ReplaceBranchR,10,11,12,12,0
12,x*x*x*x*3*x+1,25,-10,-0.028615313689367487,-0.02001860778981905,-0.01879659680043412,0.00007451786317755561,305770624.18410003,6670.01454,1212137299.8828,8435.384000000002,0.9999564242210127,0.0021204270009873238,1.130204075838914,1.1549192645720912,30576430208.440002,121982.58,121213094125.96,210830.2,(((((x)+(3))*((x)*(9)))*(((5)+(9))*((3)*((x)*(x)))))+((((6)*(0))+((6)*(3)))*(((x)*(x))+((x)*((x)-(x)))))),((((9)*(7))+((1)+(7)))+((7)-((5)*(x)))),MutateTerminalR|AddTreeWithMult|MultXD|MutateTerminalR|DeleteTerminalR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|AddToLeafR|SkipD|MultXD|DeleteMaliciousR|AddXD|MultXD|ReplaceBranchXR|SubXD|AddRandomSubTreeR|SkipD|AddToLeafR,SubXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR|AddXD|DivXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|AddXD|AddTreeWithSub|ReplaceBranchR|SkipD|AddRandomSubTreeR|MutateTerminalR|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd,AddToLeafR,ReplaceBranchR,10,11,13,13,0
13,x*x*x*x*3*x+1,25,-10,-0.03335374257266667,-0.01496774300014392,-0.018830497836811996,0.0001093383037151985,4271282.7874,7105.478800000001,17056526.5768,8428.0272,0.9969021129176923,0.0032402775108837816,0.9678734764073861,1.0007922290884648,426500931.78,166399.41,1705018569,210593.6,(((((9)*(x))*((x)*((2)*(0))))+(((5)*(1))*((x)-((6)*(0)))))*((((0)+(1))*((9)*(4)))*(((x)*(x))+((x)*((x)-(x)))))),((((9)-(8))-((1)+(x)))+((5)+((x)*((x)*(6))))),MutateTerminalR|AddTreeWithMult|MultXD|MutateTerminalR|DeleteTerminalR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|AddToLeafR|SkipD|MultXD|DeleteMaliciousR|AddXD|MultXD|ReplaceBranchXR|SubXD|AddRandomSubTreeR|SkipD|AddToLeafR,SubXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR|AddXD|DivXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|AddXD|AddTreeWithSub|ReplaceBranchR|SkipD|AddRandomSubTreeR|MutateTerminalR|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd,AddToLeafR,AddRandomSubTreeR,13,11,14,14,0
14,x*x*x*x*3*x+1,25,-10,-0.0384556377704846,-0.019993939483316937,-0.03839984172527028,0.00004396775706830692,8157.251799999999,6664.735642857143,8451.964,8441.83857142857,-0.9599912153738531,0.00018166974701062534,0.0000051815584086712715,1.1547212927399058,211286.87,122018.80428571429,211324.6,211239.81714285715,(((x)-(8))-((x)*(8))),((((x)-(4))-((1)/((1)+(1))))+((8)+((4)+((6)*(x))))),MutateTerminalR|ReplaceBranchR|MultXD|MutateTerminalR|DeleteTerminalR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|AddToLeafR|SkipD|MultXD|DeleteMaliciousR|AddXD|MultXD|ReplaceBranchXR|SubXD|AddRandomSubTreeR|SkipD|AddToLeafR,SubXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR|AddXD|DivXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|AddXD|AddTreeWithSub|ReplaceBranchR|SkipD|AddRandomSubTreeR|MutateTerminalR|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd,AddToLeafR,AddRandomSubTreeR,14,11,15,15,0
15,x*x*x*x*3*x+1,25,-10,-0.03359031974200833,-0.02497571721477242,-0.019145696025732597,0.00007737316951575769,389854.50790000014,6214.6088,1534146.9560000002,8434.7808,0.9654278983520603,-0.00012304535357082348,0.9623290715933667,1.1545164494391151,38356724.96000001,122056.3,152780847.8,211304.2,(((((1)-(0))*((x)*((1)*(1))))*(((2)-(7))*((x)*((6)*(6)))))*((((x)+(x))+((7)*(5)))-(((0)*(x))+((x)*((x)-(x)))))),((((0)+(0))+((3)-(9)))+((2)+((0)+((x)*(x))))),MutateTerminalR|AddTreeWithMult|MultXD|MutateTerminalR|DeleteTerminalR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|AddToLeafR|SkipD|MultXD|DeleteMaliciousR|AddXD|MultXD|ReplaceBranchXR|SubXD|AddRandomSubTreeR|SkipD|AddToLeafR,SubXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR|AddXD|DivXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|DeleteMaliciousR|AddXD|AddTreeWithSub|ReplaceBranchR|SkipD|AddRandomSubTreeR|MutateTerminalR|MultXD|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd,AddToLeafR,ReplaceBranchR,15,13,16,16,0
16,x*x*x*x*3*x+1,25,-10,-0.029932292538731843,-0.01498775448564307,-0.004395260494583807,0.00003428181421462539,1798824976.1668,7109.7068500000005,7195275258.587999,8443.885,0.9999926590501167,0.0017582504962651636,0.979999113854544,1.1552856505228901,179879979303.3,121915.57,719519283466.84,210906.72,(((((0)+(5))*((8)*((x)*(x))))*(((x)*(x))*((x)*((8)*(9)))))*((((6)+(1))*((1)*(4)))*(((x)+(x))*((x)-((3)-(1)))))),(((7)*(9))*((9)+(x))),MutateTerminalR|AddTreeWithMult|MultXD|MutateTerminalR|DeleteTerminalR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|AddToLeafR|SkipD|MultXD|DeleteMaliciousR|AddXD|MultXD|ReplaceBranchXR|SubXD|AddRandomSubTreeR|SkipD|AddToLeafR,SubXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR|AddXD|DivXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|DeleteMaliciousR|AddXD|AddTreeWithSub|ReplaceBranchR|SkipD|AddRandomSubTreeR|MutateTerminalR|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd,AddToLeafR,ReplaceBranchR,14,16,17,17,0
