gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x*3*x+1,25,-10,-0.04619509969793381,-0.01999958254093418,-0.0383804047554362,-0.01999909503204779,6892.424675,6665.9278,8554.629200000001,6665.824799999999,-0.9580513805967678,-2,0.0009742026814904087,0,213852.18,32767,221570.72,32767,((((0)+((6)+(9)))*(((7)*(5))-((x)*(0))))+(((9)-((7)+(1)))*((3)*((7)-((x)-(x)))))),(((4)+((0)/(x)))*((0)/(x))),AddTreeWithAdd|SubXD|DeleteNonTerminalR|AddRandomSubTreeR|MutateNonTerminalR|SkipD|SubXD|DeleteMaliciousR|DeleteMaliciousR|DeleteTerminalR|AddTreeWithSub|AddTreeWithMult|DeleteNonTerminalR|AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithSub|AddTreeWithMult|DeleteNonTerminalR|AddRandomSubTreeR|AddToLeafR,AddToLeafR|MultXD|FellTreeD|AddTreeWithDiv|MutateTerminalR|AddRandomSubTreeR|DeleteMaliciousR|DivXD|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|MutateNonTerminalR|DivXD|AddRandomSubTreeR|ReplaceBranchR|DeleteTerminalR|AddRandomSubTreeR|MutateNonTerminalR|ReplaceBranchR|DeleteTerminalR,AddRandomSubTreeR,AddRandomSubTreeR,0,0,1,1,1
1,x*x*x*x*3*x+1,25,-10,-0.05139972836176144,0.000001122699543151348,-0.038398749240169054,0.000003298021281895209,5811.58528095238,8450.8908,8457.734457142857,8450.431199999999,-0.9599944490250296,0.000209013518668767,0.00000848472171815715,0.00009045275416916248,211266.85,211262.65999999997,211307.52,211234.04,((((0)*(9))-((4)-(8)))-((9)+((6)-((4)*(x))))),((x)*(7)),AddTreeWithAdd|SubXD|DeleteNonTerminalR|AddRandomSubTreeR|MutateNonTerminalR|SkipD|SubXD|DeleteMaliciousR|DeleteMaliciousR|DeleteTerminalR|AddTreeWithSub|AddTreeWithMult|DeleteNonTerminalR|AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithSub|AddTreeWithMult|DeleteNonTerminalR|AddRandomSubTreeR|AddToLeafR,DivXD|DeleteNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|DeleteTerminalR|FellTreeD|SubXD|DeleteNonTerminalR|SubXD|SubXD|FellTreeD|AddTreeWithSub|AddTreeWithSub|AddToLeafR|DivXD|DeleteTerminalR|FellTreeD|SkipD|MutateTerminalR|ReplaceBranchXR,AddRandomSubTreeR,SubXD,0,1,2,2,1
2,x*x*x*x*3*x+1,25,-10,-0.038400915551154824,0.0000009773951541069196,-0.03839998152199328,0.0000033283130961956884,8446.292099999999,8450.921499999999,8451.2256,8450.4248,-0.9599984399715635,0.0001499444807842083,0.0000007747733569374675,0.00005977566066561954,211283.85,211264.61,211286.44,211246.52,((((0)*(0))*((0)*((6)*(2))))*((2)-((8)-((5)*(6))))),((x)*(5)),AddTreeWithAdd|SubXD|DeleteNonTerminalR|AddRandomSubTreeR|MutateNonTerminalR|SkipD|SubXD|DeleteMaliciousR|DeleteMaliciousR|DeleteTerminalR|AddTreeWithSub|AddTreeWithMult|DeleteNonTerminalR|AddRandomSubTreeR|DeleteMaliciousR|MutateNonTerminalR|AddTreeWithMult|DeleteNonTerminalR|AddRandomSubTreeR|AddToLeafR,DivXD|DeleteNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|DeleteTerminalR|FellTreeD|SubXD|DeleteNonTerminalR|SubXD|SubXD|FellTreeD|AddTreeWithSub|AddTreeWithSub|AddToLeafR|DivXD|DeleteTerminalR|FellTreeD|SkipD|MutateTerminalR|ReplaceBranchXR,DeleteNonTerminalR,FellTreeD,2,1,3,3,1
3,x*x*x*x*3*x+1,25,-10,-0.0383918836112765,0.0000024910284165639576,-0.038367284840556196,0.000005702434041942783,8493.9984,8450.601700000001,8623.928,8449.923200000001,-0.9567284840556195,0.000209013518668767,0.001635710015776272,0.000052103024743728414,215598.58000000002,211262.41,228558.2,211234.04,((((7)*(6))+((8)*((9)*(2))))*((x)*((0)-((3)+(0))))),((x)*(7)),AddTreeWithAdd|SubXD|DeleteNonTerminalR|AddRandomSubTreeR|AddTreeWithDiv|MultXD|MultXD|MultXD|AddToLeafR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|DeleteNonTerminalR|AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithSub|AddTreeWithMult|DeleteNonTerminalR|AddRandomSubTreeR|AddToLeafR,DivXD|DeleteNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|DeleteTerminalR|FellTreeD|SubXD|DeleteNonTerminalR|DeleteTerminalR|MutateNonTerminalR|SubXD|SubXD|AddTreeWithSub|AddTreeWithSub|DivXD|DeleteTerminalR|FellTreeD|SkipD|MutateTerminalR|ReplaceBranchXR,AddRandomSubTreeR,DeleteNonTerminalR,2,2,4,4,1
4,x*x*x*x*3*x+1,25,-10,-0.03841826764900496,0.0000015931601083336765,-0.038399985459929134,0.0000022075159671013416,8354.6391,8450.7914,8451.2048,8450.6616,-0.96,0.00012040996184179118,0,0.00005110981051850373,211278.2,211262.22999999998,211278.2,211252.76,(((((5)*(x))*((0)*(5)))-(((7)-(0))*((0)+(7))))+(((8)*((x)*(5)))-((9)+((0)+((7)+(8)))))),((x)*(4)),AddTreeWithAdd|SubXD|DeleteNonTerminalR|AddRandomSubTreeR|AddTreeWithDiv|MultXD|MultXD|MultXD|AddToLeafR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|DeleteNonTerminalR|AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithSub|AddTreeWithMult|DeleteNonTerminalR|AddRandomSubTreeR|AddToLeafR,DivXD|DeleteNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|DeleteTerminalR|FellTreeD|SubXD|DeleteNonTerminalR|DeleteTerminalR|MutateNonTerminalR|SubXD|DeleteNonTerminalR|AddTreeWithSub|AddTreeWithSub|DivXD|DeleteTerminalR|FellTreeD|SkipD|MutateTerminalR|ReplaceBranchXR,AddRandomSubTreeR,DeleteNonTerminalR,2,4,5,5,1
5,x*x*x*x*3*x+1,25,-10,-0.04099182728743429,0.0000035966796385080638,-0.03836730755941692,0.000007466932224908557,7966.1004,8450.3681,8623.808,8449.5504,-0.9577947559189731,0.00026808255655346347,0.0011026220405134235,0.00011448895128531344,214190.2,211253.03,222926.2,211221.56,((((0)*((1)*(7)))*((0)-((7)*(8))))*(((0)-(8))*((x)-((8)*(x))))),((x)*(9)),AddTreeWithAdd|SubXD|DeleteNonTerminalR|AddRandomSubTreeR|AddTreeWithDiv|MultXD|MultXD|MultXD|AddToLeafR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|DeleteNonTerminalR|AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithSub|AddTreeWithMult|DeleteNonTerminalR|AddRandomSubTreeR|AddToLeafR,DivXD|DeleteNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|DeleteTerminalR|FellTreeD|SubXD|DeleteNonTerminalR|DeleteTerminalR|MutateNonTerminalR|SubXD|DeleteTerminalR|AddTreeWithSub|AddTreeWithSub|DivXD|DeleteTerminalR|FellTreeD|SkipD|MutateTerminalR|ReplaceBranchXR,AddRandomSubTreeR,DeleteTerminalR,4,4,6,6,1
6,x*x*x*x*3*x+1,25,-10,-0.034594370929040524,0.000003248797083657961,-0.02314553948339222,0.00000865588593617485,38267.3265,8450.441599999998,127884.64999999998,8449.2992,0.5654346543656475,0.00026808255655346347,0.7627173562124805,0.00011376387170133948,3197100.97,211254.78999999998,12154570.2,211221.56,(((((6)-(0))/((2)*(x)))*(((9)-(x))*((7)+((3)*(3)))))-((((6)-(5))*((6)*(x)))*(((0)+(3))+((x)*((4)*(x)))))),((x)*(9)),AddTreeWithAdd|SubXD|DeleteNonTerminalR|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|MultXD|MutateNonTerminalR|AddToLeafR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|DeleteNonTerminalR|AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithSub|AddTreeWithMult|DeleteTerminalR|AddRandomSubTreeR|AddToLeafR,DivXD|DeleteNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|DeleteTerminalR|FellTreeD|SubXD|DeleteNonTerminalR|DeleteTerminalR|MutateNonTerminalR|SubXD|DeleteTerminalR|AddTreeWithSub|AddTreeWithSub|DivXD|DeleteTerminalR|FellTreeD|SkipD|MutateTerminalR|ReplaceBranchXR,AddRandomSubTreeR,DeleteTerminalR,6,4,7,7,1
7,x*x*x*x*3*x+1,25,-10,-0.0384024113041478,0.0000025729109770936512,-0.03839236282777873,0.000005441167143607341,8438.3916,8450.5844,8491.4672,8449.9784,-0.9593616000136312,0.00026808255655346347,0.0003380402228349983,0.00011393629405289793,211987.16,211254.83000000002,214650.2,211221.56,(((((0)-(2))*((6)*(x)))*(((6)-(6))*((1)*((2)-(2)))))+((((5)*(1))/((6)*(0)))*(((0)-(x))*((x)*((6)*(x)))))),((x)*(9)),AddTreeWithAdd|SubXD|DeleteNonTerminalR|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|MultXD|MutateNonTerminalR|AddToLeafR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|DeleteNonTerminalR|AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithSub|AddTreeWithMult|DeleteTerminalR|AddRandomSubTreeR|AddToLeafR,DivXD|DeleteNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|DeleteTerminalR|FellTreeD|SubXD|DeleteNonTerminalR|DeleteTerminalR|MutateNonTerminalR|SubXD|DeleteTerminalR|AddTreeWithSub|AddTreeWithSub|DivXD|DeleteTerminalR|FellTreeD|SkipD|MutateTerminalR|ReplaceBranchXR,AddRandomSubTreeR,DeleteTerminalR,6,7,8,8,1
8,x*x*x*x*3*x+1,25,-10,-0.0384133404392881,0.0000032521102508480234,-0.03838604259218414,0.0000074593592713348155,8380.6644,8450.4409,8524.850400000001,8449.552,-0.9586041531970644,0.00023854803761118413,0.0006910472666781442,0.00009347256236618207,213178.24,211254.76,218651,211227.8,(((0)-((8)*(9)))*((x)*((4)*(4)))),((x)*(8)),AddTreeWithAdd|SubXD|DeleteNonTerminalR|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|MultXD|MutateNonTerminalR|AddToLeafR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|DeleteNonTerminalR|AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithSub|AddTreeWithMult|DeleteTerminalR|AddRandomSubTreeR|AddToLeafR,DivXD|DeleteNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|DeleteTerminalR|FellTreeD|SubXD|DeleteNonTerminalR|DeleteTerminalR|MutateNonTerminalR|SubXD|DeleteTerminalR|AddTreeWithSub|AddTreeWithSub|DivXD|DeleteTerminalR|FellTreeD|SkipD|MutateTerminalR|ReplaceBranchXR,AddRandomSubTreeR,DeleteTerminalR,6,7,9,9,1
9,x*x*x*x*3*x+1,25,-10,-0.04100019121707777,0.000003555501703444468,-0.038370333105829185,0.000006597935802181786,7921.9225,8450.3768,8607.827200000002,8449.733999999999,-0.9570937578983539,0.00026808255655346347,0.0014531387219075206,0.00010763827582618047,215115.72,211246.5,226628.84,211221.56,((((7)+(7))*((4)-((1)-(7))))*(((7)+(9))*((6)*((3)-(5))))),((x)*(9)),AddTreeWithAdd|SubXD|DeleteNonTerminalR|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|MultXD|MultXD|AddToLeafR|AddRandomSubTreeR|AddTreeWithSub|AddRandomSubTreeR|DeleteNonTerminalR|AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithSub|AddTreeWithMult|DeleteNonTerminalR|AddRandomSubTreeR|AddToLeafR,DivXD|DeleteNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|DeleteTerminalR|FellTreeD|SubXD|DeleteNonTerminalR|DeleteTerminalR|MutateNonTerminalR|SubXD|DeleteTerminalR|AddTreeWithSub|AddTreeWithSub|DivXD|DeleteTerminalR|FellTreeD|SkipD|MutateTerminalR|ReplaceBranchXR,AddRandomSubTreeR,DeleteTerminalR,9,7,10,10,1
10,x*x*x*x*3*x+1,25,-10,-0.03840011260035347,0.000002335782868277785,-0.038399611090969156,0.000005079558610403969,8450.53325,8450.6345,8453.1822,8450.0548,-0.9599747517727811,0.00026808255655346347,0.000012787764989446426,0.0001144595185441797,211310.26,211254.95,211411.56,211221.56,(((0)-((7)-(0)))*((2)*((4)*(7)))),((x)*(9)),AddTreeWithAdd|SubXD|DeleteNonTerminalR|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|MultXD|MultXD|AddToLeafR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|DeleteNonTerminalR|AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithSub|AddTreeWithMult|DeleteNonTerminalR|AddRandomSubTreeR|AddToLeafR,DivXD|DeleteNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|DeleteTerminalR|FellTreeD|SubXD|DeleteNonTerminalR|DeleteTerminalR|MutateNonTerminalR|SubXD|DeleteTerminalR|AddTreeWithSub|AddTreeWithSub|DivXD|DeleteTerminalR|FellTreeD|SkipD|MutateTerminalR|ReplaceBranchXR,AddRandomSubTreeR,DeleteTerminalR,10,9,11,11,1
