gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x*3*x+1,25,-10,-0.05400004594889581,-0.03499860799526525,-0.038400144870601886,-0.019995810263434655,NaN,NaN,8450.3628,6665.130800000001,-0.96,0.0003566861133804393,0,0.00018150384492318875,211278.2,211260.24,211278.2,211202.84,(0),((4)*((3)*(x))),ReplaceBranchXR|DeleteTerminalR|MutateNonTerminalR|AddXD|AddTreeWithAdd|AddTreeWithSub|MutateNonTerminalR|ReplaceBranchXR|MutateTerminalR|DeleteMaliciousR|AddTreeWithSub|MutateTerminalR|MutateTerminalR|DeleteTerminalR|DivXD|MutateNonTerminalR|SubXD|SubXD|SkipD|FellTreeD,AddToLeafR|AddXD|DeleteTerminalR|AddTreeWithAdd|DeleteTerminalR|DeleteTerminalR|SkipD|AddTreeWithAdd|MultXD|SubXD|MultXD|AddTreeWithSub|DeleteMaliciousR|AddRandomSubTreeR|DeleteTerminalR|DeleteMaliciousR|AddTreeWithSub|MutateTerminalR|DeleteNonTerminalR|AddRandomSubTreeR,MutateTerminalR,DeleteTerminalR,0,0,1,1,2
1,x*x*x*x*3*x+1,25,-10,-0.041000027024625754,0.000002559658308338224,-0.038400017644981826,0.000008479814765558477,7922.7897571428575,8450.5872,8451.0348,8449.336399999998,-0.96,0.00026808255655346347,0,0.00011635849688178623,211278.2,211258.34999999998,211278.2,211221.56,(0),(((0)+(x))*((8)+(x))),ReplaceBranchXR|DeleteTerminalR|MutateNonTerminalR|AddXD|AddTreeWithAdd|AddTreeWithSub|MutateNonTerminalR|ReplaceBranchXR|MutateTerminalR|DeleteMaliciousR|AddTreeWithSub|MutateTerminalR|MutateTerminalR|DeleteTerminalR|DivXD|MutateNonTerminalR|SubXD|SubXD|SkipD|FellTreeD,DeleteNonTerminalR|MultXD|MultXD|AddTreeWithMult|DeleteMaliciousR|AddTreeWithSub|SkipD|MutateNonTerminalR|MultXD|DeleteTerminalR|MultXD|AddTreeWithSub|AddToLeafR|AddTreeWithMult|DeleteNonTerminalR|AddTreeWithMult|DeleteNonTerminalR|FellTreeD|AddRandomSubTreeR|AddXD,MutateTerminalR,MultXD,0,0,2,2,2
2,x*x*x*x*3*x+1,25,-10,-0.0384,0.0000013394661635726657,-0.0384,0.000001739886083847667,8451.128,8450.845,8451.128,8450.7604,-0.96,0.00006228754315401917,0,0.000014872368716306904,211278.2,211269.23,211278.2,211265.04,(0),(((0)+(3))+((x)+(x))),ReplaceBranchXR|DeleteTerminalR|MutateNonTerminalR|AddXD|AddTreeWithAdd|AddTreeWithSub|MutateNonTerminalR|ReplaceBranchXR|MutateTerminalR|DeleteMaliciousR|AddTreeWithSub|MutateTerminalR|MutateTerminalR|DeleteTerminalR|DivXD|MutateNonTerminalR|SubXD|SubXD|SkipD|FellTreeD,DeleteNonTerminalR|MultXD|MultXD|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|SkipD|MutateNonTerminalR|MultXD|DeleteTerminalR|MultXD|AddTreeWithSub|AddToLeafR|MultXD|DeleteNonTerminalR|AddTreeWithMult|DeleteNonTerminalR|FellTreeD|AddRandomSubTreeR|AddXD,MutateNonTerminalR,MultXD,0,1,3,3,2
3,x*x*x*x*3*x+1,25,-10,-0.0384,0.000001977487502262753,-0.0384,0.000006164384210015462,8451.128,8450.7102,8451.128,8449.8256,-0.96,0.00026808255655346347,0,0.00011754285339874476,211278.2,211258.81,211278.2,211221.56,(0),(((0)+(x))*((8)+(x))),ReplaceBranchXR|DeleteTerminalR|MutateNonTerminalR|AddXD|AddTreeWithAdd|AddTreeWithSub|SubXD|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithAdd|DeleteTerminalR|DivXD|MutateNonTerminalR|SubXD|SubXD|SkipD|FellTreeD,DeleteNonTerminalR|MultXD|MultXD|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|SkipD|MutateNonTerminalR|MultXD|DeleteTerminalR|MultXD|AddTreeWithSub|AddToLeafR|MultXD|DeleteNonTerminalR|AddTreeWithMult|DeleteNonTerminalR|FellTreeD|AddRandomSubTreeR|AddXD,AddTreeWithAdd,MultXD,2,1,4,4,2
4,x*x*x*x*3*x+1,25,-10,-0.0384,0.0000011231636770883796,-0.0384,0.0000017720711365436489,8451.128,8450.8907,8451.128,8450.753600000002,-0.96,0.00006342348619035605,0,0.000016201943634118882,211278.2,211269.89,211278.2,211264.8,(0),(((0)+(x))+((9)+(x))),ReplaceBranchXR|DeleteTerminalR|MutateNonTerminalR|AddXD|AddTreeWithAdd|AddTreeWithSub|MutateNonTerminalR|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithAdd|DeleteTerminalR|DivXD|MutateNonTerminalR|SubXD|SubXD|SkipD|FellTreeD,DeleteNonTerminalR|MultXD|MultXD|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|SkipD|MutateNonTerminalR|MultXD|DeleteTerminalR|MultXD|AddTreeWithSub|AddToLeafR|MultXD|DeleteNonTerminalR|AddTreeWithMult|DeleteNonTerminalR|FellTreeD|AddRandomSubTreeR|AddXD,AddTreeWithAdd,MultXD,3,1,5,5,2
5,x*x*x*x*3*x+1,25,-10,-0.0384,0.0000014009964113699997,-0.0384,0.000001995473267003491,8451.128,8450.832,8451.128,8450.706400000001,-0.96,0.00006058362859972047,0,0.000013957310748984408,211278.2,211269.72999999998,211278.2,211265.4,(0),(((0)+(x))+((0)+(x))),ReplaceBranchXR|DeleteTerminalR|MutateNonTerminalR|AddXD|AddTreeWithAdd|AddTreeWithSub|MutateNonTerminalR|ReplaceBranchXR|DeleteMaliciousR|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithAdd|DeleteTerminalR|DivXD|MutateNonTerminalR|SubXD|SubXD|SkipD|FellTreeD,DeleteNonTerminalR|MultXD|MultXD|AddTreeWithMult|DeleteMaliciousR|AddTreeWithSub|ReplaceBranchXR|MutateNonTerminalR|MultXD|DeleteTerminalR|MultXD|AddTreeWithSub|AddTreeWithDiv|MultXD|DeleteNonTerminalR|AddTreeWithMult|DeleteNonTerminalR|FellTreeD|AddRandomSubTreeR|AddXD,AddTreeWithAdd,MultXD,4,4,6,6,2
6,x*x*x*x*3*x+1,25,-10,-0.0384,0.000001286455488548203,-0.0384,0.0000016660497864919686,8451.128,8450.856200000002,8451.128,8450.775999999998,-0.96,0.0000632341623509436,0,0.000016537051745268228,211278.2,211269.5,211278.2,211264.84,(0),(((0)+(8))+((x)+(x))),ReplaceBranchXR|DeleteTerminalR|MutateNonTerminalR|AddXD|AddTreeWithAdd|AddTreeWithSub|MutateNonTerminalR|ReplaceBranchXR|MutateTerminalR|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithAdd|DeleteTerminalR|DivXD|MutateNonTerminalR|SubXD|SubXD|SkipD|FellTreeD,DeleteNonTerminalR|MultXD|MultXD|AddTreeWithMult|DeleteMaliciousR|AddTreeWithSub|SkipD|MutateNonTerminalR|ReplaceBranchXR|DeleteTerminalR|MultXD|AddTreeWithSub|AddTreeWithDiv|MultXD|DeleteNonTerminalR|AddTreeWithMult|DeleteNonTerminalR|FellTreeD|ReplaceBranchXR|AddXD,AddTreeWithAdd,MultXD,5,6,7,7,2
7,x*x*x*x*3*x+1,25,-10,-0.0384,0.000001439334488842409,-0.0384,0.0000017285266534856756,8451.128,8450.823900000001,8451.128,8450.7628,-0.96,0.00006266619083284405,0,0.000013668953942413528,211278.2,211269.24,211278.2,211264.96,(0),(((0)+(x))+((5)+(x))),ReplaceBranchXR|DeleteTerminalR|MutateNonTerminalR|AddXD|AddTreeWithAdd|AddTreeWithSub|MutateNonTerminalR|ReplaceBranchXR|DeleteMaliciousR|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithAdd|DeleteTerminalR|DivXD|MutateNonTerminalR|SubXD|SubXD|SkipD|FellTreeD,DeleteNonTerminalR|MultXD|MultXD|AddTreeWithMult|DeleteMaliciousR|AddTreeWithSub|SkipD|MutateNonTerminalR|ReplaceBranchXR|DeleteTerminalR|MultXD|AddTreeWithSub|AddTreeWithDiv|MultXD|DeleteNonTerminalR|AddTreeWithMult|DeleteNonTerminalR|FellTreeD|ReplaceBranchXR|AddXD,AddTreeWithAdd,MultXD,4,6,8,8,2
8,x*x*x*x*3*x+1,25,-10,-0.0384,0.0000013214803988319278,-0.0384,0.0000025880568842445796,8451.128,8450.8488,8451.128,8450.5812,-0.96,0.0000904967952208247,0,0.00003580740655549658,211278.2,211268.88,211278.2,211259.08,(0),(((0)+(x))+((x)+(x))),ReplaceBranchXR|DeleteTerminalR|MutateNonTerminalR|AddXD|AddTreeWithAdd|AddTreeWithSub|MutateNonTerminalR|ReplaceBranchXR|DeleteMaliciousR|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithAdd|DeleteTerminalR|DivXD|MutateNonTerminalR|SubXD|SubXD|SkipD|FellTreeD,DeleteNonTerminalR|MultXD|MultXD|AddTreeWithMult|DeleteMaliciousR|AddTreeWithSub|SkipD|MutateNonTerminalR|MultXD|DeleteTerminalR|MultXD|AddTreeWithSub|AddToLeafR|MultXD|DeleteNonTerminalR|AddTreeWithMult|DeleteNonTerminalR|FellTreeD|AddRandomSubTreeR|AddXD,AddTreeWithAdd,MultXD,7,7,9,9,2
9,x*x*x*x*3*x+1,25,-10,-0.0384,0.000001785323805299076,-0.0384,0.000002271886072490551,8451.128,8450.7508,8451.128,8450.648,-0.96,0.00006342348619035605,0,0.000006349879425281984,211278.2,211265.67,211278.2,211264.8,(0),((x)+((9)+(x))),ReplaceBranchXR|DeleteTerminalR|MutateNonTerminalR|AddXD|AddTreeWithAdd|AddTreeWithSub|MutateNonTerminalR|ReplaceBranchXR|DeleteMaliciousR|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithAdd|DeleteTerminalR|DivXD|MutateNonTerminalR|SubXD|SubXD|SkipD|FellTreeD,DeleteNonTerminalR|MultXD|MultXD|AddTreeWithMult|DeleteMaliciousR|AddTreeWithSub|SkipD|MutateNonTerminalR|ReplaceBranchXR|DeleteTerminalR|MultXD|AddTreeWithSub|AddTreeWithDiv|MultXD|DeleteNonTerminalR|AddTreeWithMult|DeleteNonTerminalR|FellTreeD|ReplaceBranchXR|AddXD,AddTreeWithAdd,MultXD,7,6,10,10,2
10,x*x*x*x*3*x+1,25,-10,-0.0384,0.000003142775733609036,-0.0384,0.0000045702774824864455,8451.128,8450.464,8451.128,8450.162400000001,-0.96,0.00026808255655346347,0,0.00008906600127037034,211278.2,211241.94999999998,211278.2,211221.56,(0),((x)*((8)+(x))),ReplaceBranchXR|DeleteTerminalR|MutateNonTerminalR|AddXD|AddTreeWithAdd|AddTreeWithSub|MutateNonTerminalR|ReplaceBranchXR|DeleteMaliciousR|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithAdd|DeleteTerminalR|DivXD|MutateNonTerminalR|SubXD|SubXD|SkipD|FellTreeD,DeleteNonTerminalR|MultXD|MultXD|AddTreeWithMult|DeleteMaliciousR|AddTreeWithSub|SkipD|MutateNonTerminalR|ReplaceBranchXR|DeleteTerminalR|MultXD|AddTreeWithSub|AddTreeWithDiv|MultXD|DeleteNonTerminalR|AddTreeWithMult|DeleteNonTerminalR|FellTreeD|ReplaceBranchXR|AddXD,AddTreeWithAdd,MultXD,7,6,11,11,2
