gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x*3*x+1,25,-10,-0.03840085779960051,-0.010001631994880937,-0.03839996364140844,0.0000011984199032382938,8446.59714111111,7558.9171,8451.320044444445,8450.874800000001,-0.9599969548312235,0.00002934519510300467,0.0000007736840562913983,1.1547096108449697,211290.1341111111,122020.94,211294.28444444446,211272,(((5)*((1)/(9)))-((9)*((4)-(x)))),((x)-((1)-(0))),DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR|DivXD|FellTreeD|AddTreeWithSub|DeleteNonTerminalR|AddTreeWithDiv|AddTreeWithMult|MutateTerminalR|AddTreeWithMult|DeleteNonTerminalR|DeleteTerminalR|SubXD|AddTreeWithSub|ReplaceBranchR|AddTreeWithDiv|SkipD|SubXD|AddTreeWithMult,DeleteMaliciousR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchXR|SubXD|AddTreeWithSub|DivXD|DeleteMaliciousR|AddTreeWithSub|DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|DeleteMaliciousR|AddRandomSubTreeR|DeleteMaliciousR|ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR,DeleteNonTerminalR,DeleteMaliciousR,0,0,1,1,3
1,x*x*x*x*3*x+1,25,-10,-0.061799977070444795,0.00000017654448021697238,-0.03839990158602604,0.00000033888967248076686,3697.489612878788,8451.0907,8451.647818181817,8451.0564,-0.9599973191744344,0.00003029181429992911,0.6004453997992236,0.000016709460076644515,105644.2225,211274.85,211292.36,211271.8,(((8)-((4)/(7)))-((x)-((9)*(4)))),((x)-(0)),DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR|DivXD|FellTreeD|AddTreeWithSub|DeleteNonTerminalR|AddTreeWithDiv|AddTreeWithMult|MutateTerminalR|AddTreeWithMult|DeleteNonTerminalR|DeleteTerminalR|SubXD|AddTreeWithSub|ReplaceBranchR|AddTreeWithDiv|SkipD|SubXD|AddTreeWithMult,AddRandomSubTreeR|DeleteTerminalR|ReplaceBranchR|AddTreeWithDiv|DivXD|ReplaceBranchXR|MutateNonTerminalR|AddRandomSubTreeR|SubXD|FellTreeD|AddTreeWithMult|DeleteMaliciousR|SkipD|ReplaceBranchR|ReplaceBranchXR|AddRandomSubTreeR|MultXD|FellTreeD|ReplaceBranchR|DeleteTerminalR,DeleteNonTerminalR,AddRandomSubTreeR,1,0,2,2,3
2,x*x*x*x*3*x+1,25,-10,-0.05399995653590204,0.00000005632384221452475,-0.03839991943166245,0.0000001173807804136717,5282.184575409545,8451.1161,8451.553558333333,8451.103200000001,-0.9599975774437053,0.000003597152948147576,0.5200011609576575,0.0000017030378295654173,158467.84818910257,211277.75,211290.99583333335,211277.44,((((1)*(2))/((2)/(6)))*((2)*((4)-((x)-(x))))),((9)+(0)),DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR|DivXD|FellTreeD|AddTreeWithSub|DeleteNonTerminalR|AddTreeWithDiv|AddTreeWithMult|MutateTerminalR|MutateNonTerminalR|DeleteNonTerminalR|DeleteTerminalR|SubXD|AddTreeWithSub|ReplaceBranchR|AddTreeWithDiv|SkipD|SubXD|AddTreeWithMult,DeleteMaliciousR|MutateTerminalR|AddTreeWithAdd|AddTreeWithAdd|AddXD|FellTreeD|MutateTerminalR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|MultXD|SkipD|AddToLeafR|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|MultXD|FellTreeD|ReplaceBranchR|DeleteTerminalR,DeleteNonTerminalR,AddRandomSubTreeR,2,1,3,3,3
3,x*x*x*x*3*x+1,25,-10,-0.04359995392909549,0.0000001311067587676297,-0.03839984301267239,0.0000004051530162627227,7394.980344444444,8451.1003,8451.957199999999,8451.0424,-0.9599916848969747,0.00003029181429992911,0.000003603100107700098,0.000013797170990525999,211293.58000000002,211276.16999999998,211322.12,211271.8,((((5)*(4))/((3)-(1)))*((6)*((x)-(x)))),((x)-(0)),DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR|DivXD|FellTreeD|AddTreeWithSub|DeleteNonTerminalR|AddTreeWithDiv|AddTreeWithMult|MutateTerminalR|MutateNonTerminalR|DeleteNonTerminalR|DeleteTerminalR|SubXD|AddTreeWithSub|ReplaceBranchR|AddTreeWithDiv|SkipD|SubXD|AddTreeWithMult,AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|AddTreeWithAdd|AddXD|FellTreeD|MutateTerminalR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|MultXD|SkipD|AddToLeafR|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|MultXD|FellTreeD|AddToLeafR|DeleteTerminalR,DeleteNonTerminalR,AddToLeafR,2,3,4,4,3
4,x*x*x*x*3*x+1,25,-10,-0.048799957262637535,0.00000017086476503666547,-0.03839992011110965,0.00000040136653947585146,6338.571736825397,8451.0919,8451.54996952381,8451.0432,-0.959997576654856,0.00003029181429992911,0.0000006677217384999747,0.00001360532536567492,211286.15166666667,211276.11,211291,211271.8,(((0)*((x)/(4)))*((2)-((x)-(x)))),((x)+(0)),DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR|DivXD|FellTreeD|AddTreeWithSub|DeleteNonTerminalR|AddTreeWithDiv|AddTreeWithMult|MutateTerminalR|MutateNonTerminalR|DeleteNonTerminalR|DeleteTerminalR|SubXD|AddTreeWithSub|ReplaceBranchR|AddTreeWithDiv|SkipD|SubXD|AddTreeWithMult,AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|AddTreeWithAdd|AddXD|FellTreeD|MutateTerminalR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|MultXD|SkipD|AddToLeafR|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|MultXD|FellTreeD|AddToLeafR|DeleteTerminalR,DeleteNonTerminalR,AddRandomSubTreeR,2,3,5,5,3
5,x*x*x*x*3*x+1,25,-10,-0.048800317789792574,0.0000000956085388850294,-0.03839990233023538,0.000000136313164350783,6336.667448616134,8451.1078,8451.643887301587,8451.099199999999,-0.9599975398418873,0.0000034078291087351373,0.0000006492169543687744,0.0000002839857590421293,211288.09373066103,211277.53000000003,211291.19444444444,211277.48,((((5)*(8))/((8)-(8)))/((4)*((9)-((x)-(x))))),((8)-(0)),DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR|DivXD|FellTreeD|AddTreeWithSub|DeleteNonTerminalR|AddTreeWithDiv|AddTreeWithMult|MutateTerminalR|AddTreeWithMult|DeleteNonTerminalR|DeleteTerminalR|SubXD|AddTreeWithSub|ReplaceBranchR|AddTreeWithDiv|AddToLeafR|SubXD|AddTreeWithMult,DeleteMaliciousR|MutateTerminalR|AddTreeWithAdd|AddTreeWithAdd|AddXD|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddRandomSubTreeR|AddToLeafR|MultXD|SkipD|AddToLeafR|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|MultXD|FellTreeD|ReplaceBranchR|DeleteTerminalR,DeleteNonTerminalR,AddRandomSubTreeR,5,4,6,6,3
6,x*x*x*x*3*x+1,25,-10,-0.04879995460179273,0.00000011927401880641856,-0.03839990197155822,0.0000006645266762054181,6338.58579128788,8451.1028,8451.64578181818,8450.9876,-0.9599949832624818,0.00003029181429992911,0.0000017715841714106583,0.000014538439662115529,211291.95787878789,211276.39,211304.6981818182,211271.8,((((2)+(2))-((3)/((3)/(7))))-((2)-((8)*((9)-(x))))),((x)-(0)),DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR|DivXD|FellTreeD|AddTreeWithSub|DeleteNonTerminalR|AddTreeWithDiv|AddTreeWithMult|MutateTerminalR|AddTreeWithMult|DeleteNonTerminalR|DeleteTerminalR|SubXD|AddTreeWithSub|ReplaceBranchR|AddTreeWithDiv|AddToLeafR|SubXD|AddTreeWithMult,DeleteMaliciousR|MutateTerminalR|AddTreeWithAdd|AddTreeWithAdd|AddXD|FellTreeD|MutateTerminalR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|MultXD|SkipD|AddToLeafR|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|MultXD|FellTreeD|ReplaceBranchR|DeleteTerminalR,DeleteNonTerminalR,AddRandomSubTreeR,5,5,7,7,3
7,x*x*x*x*3*x+1,25,-10,-0.038399943127118655,0.0000002163024864860081,-0.038399873531675295,0.0000006777793449615337,8451.4284,8451.0823,8451.796,8450.9848,-0.9599958348755337,0.00003029181429992911,0.0000017251824298264002,0.000014538439662115529,211287.52000000002,211276.39,211300.2,211271.8,(((6)-((8)*(5)))-((0)-((x)-(x)))),((x)+(0)),DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR|DivXD|FellTreeD|AddTreeWithSub|DeleteNonTerminalR|AddTreeWithDiv|AddTreeWithMult|MutateTerminalR|MutateNonTerminalR|DeleteNonTerminalR|DeleteTerminalR|SubXD|AddTreeWithSub|ReplaceBranchR|DeleteTerminalR|SkipD|SubXD|AddTreeWithMult,DeleteMaliciousR|MutateTerminalR|AddTreeWithAdd|AddTreeWithAdd|AddXD|FellTreeD|MutateTerminalR|MutateNonTerminalR|DivXD|AddToLeafR|MultXD|SkipD|AddToLeafR|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|MultXD|FellTreeD|ReplaceBranchR|DeleteTerminalR,DeleteNonTerminalR,FellTreeD,7,7,8,8,3
8,x*x*x*x*3*x+1,25,-10,-0.03839993339587331,0.00000022434874965931484,-0.038399858840145365,0.0000006720996297805381,8451.479800000001,8451.080600000001,8451.873599999999,8450.986,-0.9599950927260834,0.00003029181429992911,0.0000018590431372049021,0.000014299799743618406,211289.92,211276.31,211304.12,211271.8,(((0)-((6)*(8)))+((x)-(x))),((x)+(0)),DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR|DivXD|FellTreeD|AddTreeWithSub|DeleteNonTerminalR|AddTreeWithAdd|AddTreeWithMult|MutateTerminalR|MutateNonTerminalR|DeleteNonTerminalR|DeleteTerminalR|SubXD|AddTreeWithSub|ReplaceBranchR|DeleteTerminalR|SkipD|SubXD|AddTreeWithMult,DeleteMaliciousR|MutateTerminalR|AddTreeWithAdd|AddTreeWithAdd|AddXD|FellTreeD|MutateTerminalR|MutateNonTerminalR|DivXD|AddToLeafR|MultXD|SkipD|AddToLeafR|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|MultXD|FellTreeD|ReplaceBranchR|DeleteTerminalR,DeleteNonTerminalR,MultXD,8,7,9,9,3
9,x*x*x*x*3*x+1,25,-10,-0.038399921274414495,0.00000020352312732842355,-0.038399889188756815,0.0000009409394816924778,8451.543825,8451.085,8451.713300000001,8450.929199999999,-0.9599955168114837,0.00003029181429992911,0.000001419646043553829,0.000014235318947766401,211291.33000000002,211276.29,211301.88,211271.8,(((2)-((6)*(7)))-((x)-(x))),((x)+(0)),DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR|DivXD|FellTreeD|AddTreeWithSub|DeleteNonTerminalR|AddTreeWithDiv|AddTreeWithMult|MutateTerminalR|MutateNonTerminalR|DeleteNonTerminalR|DeleteTerminalR|SubXD|AddTreeWithSub|ReplaceBranchR|DeleteTerminalR|SkipD|SubXD|AddTreeWithMult,DeleteMaliciousR|MutateTerminalR|AddTreeWithAdd|AddTreeWithAdd|AddXD|FellTreeD|MutateTerminalR|DeleteNonTerminalR|AddRandomSubTreeR|AddToLeafR|MultXD|SkipD|AddToLeafR|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|MultXD|FellTreeD|ReplaceBranchR|DeleteTerminalR,DeleteNonTerminalR,AddRandomSubTreeR,9,9,10,10,3
10,x*x*x*x*3*x+1,25,-10,-0.03840003254476799,0.00000012874021077531863,-0.03839987868128372,0.000000408939493049594,8450.9561,8451.1008,8451.7688,8451.041599999999,-0.9599959711886981,0.00003029181429992911,0.0000016460028437785264,0.000014468933271852443,211286.71000000002,211276.36,211299.48,211271.8,(((0)-((0)+(9)))*((6)-(x))),((x)-(0)),DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR|DivXD|FellTreeD|AddTreeWithSub|DeleteNonTerminalR|AddTreeWithDiv|AddTreeWithMult|MutateTerminalR|MutateNonTerminalR|DeleteNonTerminalR|DeleteTerminalR|SubXD|AddTreeWithSub|ReplaceBranchR|DeleteTerminalR|SkipD|SubXD|AddTreeWithMult,DeleteMaliciousR|MutateTerminalR|AddTreeWithAdd|AddTreeWithAdd|AddXD|FellTreeD|MutateTerminalR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|MultXD|SkipD|AddToLeafR|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|MultXD|FellTreeD|ReplaceBranchR|DeleteTerminalR,DeleteNonTerminalR,AddRandomSubTreeR,9,10,11,11,3
