gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x*3*x+1,25,-10,-0.03821792809669904,-0.019164016391086086,-0.037256851752807435,-0.01666862553732472,9412.823600000002,6489.390899999999,14489.185599999999,5962.1692,-0.9349865343419245,-2,0.01249544942964953,0,261816.60000000003,32767,343398.2,32767,((((x)*(5))*((7)+((8)*(1))))-(((2)*(x))*((3)*((x)+(1))))),((((1)*(x))*((x)-(5)))/((x)*((x)-(x)))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR,DeleteNonTerminalR|AddTreeWithMult|MutateTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|AddTreeWithAdd|MutateTerminalR|AddTreeWithSub|ReplaceBranchR|DeleteMaliciousR|MutateTerminalR|DivXD|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv|MutateTerminalR|MultXD|SubXD|ReplaceBranchXR,ReplaceBranchXR,MutateTerminalR,0,0,1,1,0
1,x*x*x*x*3*x+1,25,-10,-0.035903826632373806,0.0000004941371308158078,-0.03292790067314091,0.0000017171672231236842,21635.803400000004,8451.0236,37354.5104,8450.7652,-0.44881315346306433,0.0001499444807842083,0.2833096869381422,0.00007812952069373945,1536473.7000000002,211270.21000000002,2911344.12,211246.52,((((x)*(x))*((x)*((7)+(3))))*(((x)*(3))*((x)+((x)+(1))))),((x)*(5)),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR,DivXD|DeleteTerminalR|AddRandomSubTreeR|SubXD|SkipD|DivXD|FellTreeD|DivXD|DeleteMaliciousR|ReplaceBranchXR|MultXD|AddToLeafR|MutateNonTerminalR|AddTreeWithMult|FellTreeD|AddToLeafR|DivXD|DeleteNonTerminalR|DeleteNonTerminalR|ReplaceBranchR,AddTreeWithMult,DivXD,0,1,2,2,0
2,x*x*x*x*3*x+1,25,-10,-0.03350022508829454,0.000000481355949964492,-0.018200235788637196,0.000001503231284631709,540141.936,8451.0263,2138387.0431999997,8450.8104,0.9751737600003944,0.0000904967952208247,0.968039643237806,0.00004075185564297763,53344112.279999994,211271.34,212756945.88,211259.08,((((x)*(x))*((1)+((7)*(x))))*(((9)*(x))*((7)*((x)*(6))))),((x)*(3)),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR,DivXD|DeleteTerminalR|AddRandomSubTreeR|SubXD|SkipD|DivXD|FellTreeD|DivXD|AddTreeWithAdd|AddToLeafR|MultXD|AddToLeafR|MutateNonTerminalR|AddTreeWithMult|FellTreeD|AddToLeafR|DivXD|DeleteNonTerminalR|DeleteNonTerminalR|ReplaceBranchR,AddRandomSubTreeR,DivXD,2,2,3,3,0
3,x*x*x*x*3*x+1,25,-10,-0.037990041130604106,0.00000018648417220186458,-0.03669496192224281,0.0000006304483851180668,10616.5123,8451.0886,17457.0624,8450.9948,-0.7897471901975689,0.000025369394476169968,0.08381576671591862,0.00001179025515117047,447127.17,211276.55,1110545.88,211272.84,((((x)*((x)*(x)))*((7)*((3)*(7))))+(((0)*(7))+((9)+((8)*(0))))),((x)-(4)),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR,DivXD|DeleteTerminalR|AddRandomSubTreeR|SubXD|SkipD|DivXD|FellTreeD|DivXD|AddTreeWithAdd|AddToLeafR|MultXD|AddToLeafR|MutateNonTerminalR|AddTreeWithMult|FellTreeD|AddToLeafR|DivXD|DeleteNonTerminalR|DeleteNonTerminalR|ReplaceBranchR,AddTreeWithAdd,DivXD,3,2,4,4,0
4,x*x*x*x*3*x+1,25,-10,-0.028865106138524475,0.0000005457315029716653,-0.006079024523238116,0.000002576697453879834,87596.9686,8451.0127,294300.9072,8450.5836,0.6621618397650681,0.00017947899972648766,0.7695524853483078,0.00009162887998708195,4892195.08,211268.28000000003,15634571.88,211240.28,((((x)*(x))*((x)*((x)*(9))))+(((8)*(0))*((x)*((5)*(5))))),((6)*(x)),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR,DivXD|DeleteTerminalR|AddRandomSubTreeR|SubXD|SkipD|DivXD|FellTreeD|DivXD|AddTreeWithAdd|AddToLeafR|MultXD|AddToLeafR|MutateNonTerminalR|AddTreeWithMult|FellTreeD|AddToLeafR|DivXD|DeleteNonTerminalR|DeleteNonTerminalR|ReplaceBranchR,AddTreeWithMult,DivXD,4,4,5,5,0
5,x*x*x*x*3*x+1,25,-10,-0.037611472040182094,0.0000015122259232867857,-0.0348140297295225,0.000006308270327941366,12616.0972,8450.808500000001,27392.0616,8449.795199999999,-0.6031774068503045,0.00023854803761118413,0.1767074581524213,0.00012354825530495677,697270.68,211266.71000000002,2095999.08,211227.8,((((7)*(8))-((3)*((x)*(x))))*(((x)*(8))+((2)*((x)+(1))))),((8)*(x)),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR,DivXD|DeleteTerminalR|AddRandomSubTreeR|SubXD|SkipD|DivXD|FellTreeD|DivXD|DeleteMaliciousR|ReplaceBranchXR|MultXD|AddToLeafR|MutateNonTerminalR|AddTreeWithMult|FellTreeD|AddToLeafR|DivXD|DeleteNonTerminalR|DeleteNonTerminalR|ReplaceBranchR,AddToLeafR,DivXD,0,1,6,6,0
6,x*x*x*x*3*x+1,25,-10,-0.03531205537917922,0.0000004165124466240253,-0.025992023461262025,0.0000019784341214591266,25264.870500000005,8451.04,76002.9336,8450.71,0.17710960655041041,0.0000904967952208247,0.5693828261188785,0.000044141967303198765,1757063.12,211273.06,6418783.16,211259.08,((((x)*((x)*(8)))*((5)*((x)*(3))))*(((8)+(2))*((x)-((2)*(1))))),((x)*(3)),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR,DivXD|DeleteTerminalR|AddRandomSubTreeR|SubXD|SkipD|DivXD|FellTreeD|DivXD|DeleteMaliciousR|ReplaceBranchXR|MultXD|AddToLeafR|MutateNonTerminalR|AddTreeWithMult|FellTreeD|AddToLeafR|DivXD|DeleteNonTerminalR|DeleteNonTerminalR|ReplaceBranchR,AddTreeWithMult,DivXD,0,1,7,7,0
7,x*x*x*x*3*x+1,25,-10,-0.03588560201667754,0.0000009376263403978953,-0.029026573683418357,0.0000034381209230314846,21732.065,8450.929900000001,57961.14399999999,8450.4016,-0.6400003635017716,0.000209013518668767,0.14881137808311068,0.00010293153698194087,735746.4199999999,211266.66000000003,1901501.88,211234.04,((((x)*(x))*((x)*(x)))*((3)*((x)*((5)*(2))))),((x)*(7)),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR,DivXD|DeleteTerminalR|AddRandomSubTreeR|SubXD|SkipD|DivXD|FellTreeD|DivXD|DeleteMaliciousR|ReplaceBranchXR|MultXD|AddToLeafR|MutateNonTerminalR|AddTreeWithMult|FellTreeD|AddToLeafR|DivXD|DeleteNonTerminalR|DeleteNonTerminalR|ReplaceBranchR,AddTreeWithMult,DivXD,0,7,8,8,0
8,x*x*x*x*3*x+1,25,-10,-0.034231043752866806,0.00000007573144885107522,-0.021973601824077305,0.00000043923130735145157,37258.7901,8451.112,122364.3152,8451.0352,0.5046122047102969,0.0000240441276005584,0.7362666549759475,0.00001089928290778907,2792929.14,211276.44999999998,10662263.08,211273.12,((((x)*(6))*((5)*((4)*(x))))*(((x)*(7))+((7)*((x)+(1))))),((x)-(5)),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR,DivXD|DeleteTerminalR|MutateNonTerminalR|SubXD|SkipD|DivXD|FellTreeD|DivXD|DeleteMaliciousR|ReplaceBranchXR|MultXD|AddToLeafR|MutateNonTerminalR|AddTreeWithMult|FellTreeD|AddToLeafR|DivXD|DeleteNonTerminalR|DeleteNonTerminalR|ReplaceBranchR,AddTreeWithMult,DivXD,8,8,9,9,0
9,x*x*x*x*3*x+1,25,-10,-0.03773010447836076,0.0000011728613659317157,-0.035830693597351734,0.0000039530817661286275,11989.486,8450.8802,22022.088799999998,8450.292800000001,-0.8193945007104377,0.0001499444807842083,0.07062261226541286,0.0000716305516116701,394454.44,211268.61000000002,953950.12,211246.52,((((x)+((7)*(4)))*((4)*((x)*(x))))*(((8)+(8))*((4)+((1)+(1))))),((x)*(5)),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR,DivXD|DeleteTerminalR|AddRandomSubTreeR|SubXD|SkipD|DivXD|FellTreeD|DivXD|DeleteMaliciousR|ReplaceBranchXR|MultXD|AddToLeafR|MutateNonTerminalR|AddTreeWithMult|FellTreeD|AddToLeafR|DivXD|DeleteNonTerminalR|DeleteNonTerminalR|ReplaceBranchR,ReplaceBranchXR,DivXD,7,9,10,10,0
10,x*x*x*x*3*x+1,25,-10,-0.035852639922150036,0.00000040278662356039795,-0.029526379607550616,0.0000026126689833599316,21906.169299999998,8451.0429,55321.1916,8450.576000000001,-0.08960250513304266,0.00012040996184179118,0.4144817869634002,0.00005832239614228943,1588816.72,211271.24,4808678.6,211252.76,((((x)*(x))*((x)*((x)*(x))))-(((5)*(6))*((x)+((9)+(1))))),((4)*(x)),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR,DivXD|DeleteTerminalR|AddRandomSubTreeR|SubXD|SkipD|DivXD|FellTreeD|SubXD|DeleteMaliciousR|ReplaceBranchXR|MultXD|AddToLeafR|MutateNonTerminalR|AddTreeWithMult|FellTreeD|AddToLeafR|DivXD|DeleteNonTerminalR|DeleteNonTerminalR|ReplaceBranchR,AddTreeWithMult,DivXD,7,8,11,11,0
