gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x*3*x+1,25,-10,-0.03840023905921198,-0.03000022256261568,-0.03839995637978741,-0.019996103715385682,8449.8653,5773.5073,8451.3584,6665.192800000001,-0.959997576654856,-2,0.0000006058362860827948,0,211286.2,32767,211291,32767,((0)-((x)*(2))),(((2)/((4)*(x)))/((0)-((0)/(x)))),MutateNonTerminalR|AddTreeWithMult|SubXD|AddTreeWithMult|DeleteNonTerminalR,SkipD|DeleteMaliciousR|AddTreeWithMult|DeleteNonTerminalR|AddTreeWithDiv|SubXD|MultXD|AddRandomSubTreeR|SkipD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddTreeWithSub|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|AddTreeWithSub|DeleteNonTerminalR|AddTreeWithMult|DivXD,AddTreeWithMult,AddTreeWithDiv,0,0,1,1,1
1,x*x*x*x*3*x+1,25,-10,-0.03838555165653626,-0.014997649544482558,-0.038297126575292675,0.000006143558587682849,8527.4435,7111.7973999999995,8994.500800000002,8449.83,-0.9508116445520646,0.00004543772144975591,0.005670042646291341,1.1547147483065017,217497.16,122020,259810.68,211268.6,((((3)+(5))*((x)*((x)*(8))))*((7)*((4)*((4)*(1))))),((8)*((9)+(x))),MutateTerminalR|AddTreeWithMult|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchR,SkipD|DeleteMaliciousR|ReplaceBranchR|AddRandomSubTreeR|FellTreeD|AddTreeWithDiv|DeleteMaliciousR|AddTreeWithMult|MutateNonTerminalR|ReplaceBranchXR|MutateNonTerminalR|DeleteNonTerminalR|DeleteMaliciousR|DeleteMaliciousR|AddTreeWithDiv|SkipD|AddXD|AddTreeWithDiv|DeleteTerminalR|ReplaceBranchR,AddTreeWithSub,DeleteMaliciousR,0,1,2,2,1
2,x*x*x*x*3*x+1,25,-10,-0.038394221268450796,0.0000016840355512327064,-0.03835765969229196,0.000004829651142430518,8481.651000000002,8450.772200000001,8674.7676,8450.1076,-0.9559867738365814,0.0001499444807842083,0.002006714074746388,0.00005946235534606107,216576.82,211265.36,232475.88,211246.52,((((x)*(x))*((2)-(8)))*((x)*((x)-(1)))),((x)*(5)),DeleteTerminalR|AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR,ReplaceBranchR|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithAdd|FellTreeD|AddTreeWithDiv|MultXD|AddXD|MutateNonTerminalR|DivXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithAdd|MutateTerminalR|DeleteNonTerminalR|SubXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,DeleteTerminalR,ReplaceBranchXR,1,1,3,3,1
3,x*x*x*x*3*x+1,25,-10,-0.038469898948400735,0.000002897601361620207,-0.03838221264664314,0.000006285551467216006,8081.9249,8450.515800000001,8545.080000000002,8449.8,-0.96,0.00026808255655346347,0.00014162180480525866,0.00010568199615863198,210904.18,211252.94,211278.2,211221.56,(((5)*((7)*(0)))*((9)-(4))),((x)*(9)),DeleteTerminalR|DivXD|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR,ReplaceBranchR|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithAdd|FellTreeD|AddTreeWithDiv|MultXD|AddXD|MutateNonTerminalR|DivXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithAdd|MutateTerminalR|DeleteNonTerminalR|SubXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,DeleteTerminalR,ReplaceBranchXR,3,1,4,4,1
4,x*x*x*x*3*x+1,25,-10,-0.03840438629257538,0.0000015339964085296875,-0.03839970276157218,0.000002767914531649204,8427.9598,8450.8039,8452.698,8450.5432,-0.9599703140219862,0.00011927401880559206,0.00001425348428380912,0.00004603058530505408,211323.84,211267.53,211435,211253,(((x)*(8))*((x)-(7))),((x)*(x)),DeleteTerminalR|DivXD|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR,ReplaceBranchR|ReplaceBranchXR|SubXD|AddTreeWithAdd|FellTreeD|AddTreeWithDiv|MultXD|MultXD|MutateNonTerminalR|DivXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithAdd|MutateTerminalR|DeleteNonTerminalR|SubXD|ReplaceBranchR|MutateTerminalR|MutateTerminalR,DeleteTerminalR,MutateTerminalR,3,4,5,5,1
5,x*x*x*x*3*x+1,25,-10,-0.054006201737803516,0.000001313909303513867,-0.04879989072227991,0.0000030253949531963974,5249.197700000001,8450.850400000001,6338.923200000001,8450.4888,-0.9599998712597893,0.00017947899972648766,0.00000015062057012783496,0.0000669207328945739,211277.91,211257.68,211278.88,211240.28,((4)-((7)-(0))),((x)*(6)),DeleteTerminalR|AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR,ReplaceBranchR|ReplaceBranchXR|SubXD|AddTreeWithAdd|FellTreeD|AddTreeWithDiv|MultXD|MultXD|MutateNonTerminalR|DivXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithAdd|MutateTerminalR|DeleteNonTerminalR|SubXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,DeleteTerminalR,MultXD,5,5,6,6,1
6,x*x*x*x*3*x+1,25,-10,-0.0383635462437677,0.0000018321814555433231,-0.03824848655469424,0.000003960654719703747,8643.675099999999,8450.740899999999,9251.4152,8450.2912,-0.9449520111398148,0.00017947899972648766,0.00754489181430783,0.00007812111254979417,230983.62,211263.76,290761,211240.28,((((x)-(9))*((x)*((6)*(5))))*((3)*((0)+((x)*(8))))),((x)*(6)),ReplaceBranchXR|AddTreeWithAdd|DeleteNonTerminalR|AddRandomSubTreeR|ReplaceBranchR,ReplaceBranchR|ReplaceBranchXR|SubXD|AddTreeWithAdd|FellTreeD|AddTreeWithDiv|MultXD|MultXD|MutateNonTerminalR|DivXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithSub|MutateTerminalR|DeleteNonTerminalR|SubXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,ReplaceBranchXR,MultXD,6,6,7,7,1
7,x*x*x*x*3*x+1,25,-10,-0.038421977127786965,0.000001883772201772537,-0.03839643775836788,0.000004227601333221562,8335.0458,8450.73,8469.9436,8450.2348,-0.9599864292671937,0.000209013518668767,0.000010902756478057116,0.00009617651040191634,211278.56,211264.2,211349.88,211234.04,(((8)*((6)*(3)))*((0)+(8))),((x)*(7)),ReplaceBranchXR|AddTreeWithAdd|DeleteNonTerminalR|AddRandomSubTreeR|ReplaceBranchR,ReplaceBranchR|ReplaceBranchXR|SubXD|AddTreeWithAdd|FellTreeD|AddTreeWithDiv|MultXD|ReplaceBranchR|MutateNonTerminalR|DivXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithAdd|MutateTerminalR|DeleteNonTerminalR|SubXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,AddRandomSubTreeR,ReplaceBranchR,6,7,8,8,1
8,x*x*x*x*3*x+1,25,-10,-0.03839327546334643,0.0000010583202621027056,-0.038372512980515736,0.0000013271601140125792,8486.6467,8450.9044,8596.3132,8450.847600000001,-0.9575127239819348,0.00003256370037232737,0.001243426070937834,0.000004945122738295094,214564.3,211272.15,224415.88,211271.32,((((0)-(9))*((x)*(x)))*((3)*((x)-(3)))),((x)+(4)),DeleteMaliciousR|AddTreeWithAdd|ReplaceBranchXR|AddToLeafR|MutateTerminalR,ReplaceBranchR|ReplaceBranchXR|SubXD|AddTreeWithAdd|FellTreeD|AddTreeWithDiv|MultXD|MultXD|MutateNonTerminalR|DivXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithAdd|MutateTerminalR|DeleteNonTerminalR|SubXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,DeleteMaliciousR,MultXD,7,8,9,9,1
9,x*x*x*x*3*x+1,25,-10,-0.03842458733556041,0.000003824814864952872,-0.03839990071857863,0.000009541921504444609,8321.2588,8450.3199,8451.652399999999,8449.112,-0.96,0.00026808255655346347,0.0000005637104733044307,0.00012585136381954666,211276.22999999998,211250.39,211278.2,211221.56,((((2)+(8))+((7)*(2)))*((0)*((3)*((x)+(3))))),((x)*(9)),ReplaceBranchXR|AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR,ReplaceBranchR|ReplaceBranchXR|SubXD|AddTreeWithAdd|FellTreeD|AddTreeWithDiv|MultXD|MultXD|MutateNonTerminalR|DivXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithAdd|MutateTerminalR|DeleteNonTerminalR|SubXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,ReplaceBranchXR,MultXD,9,9,10,10,1
10,x*x*x*x*3*x+1,25,-10,-0.038413456854516935,0.0000016021529907040458,-0.03839877545340693,0.0000036312312391922244,8380.0495,8450.789499999999,8457.596000000001,8450.3608,-0.9599915940215319,0.000209013518668767,0.00012054031728714066,0.00009290008458302866,210897.22999999998,211263.44,211322.6,211234.04,(((0)-((x)*(9)))-((6)+(x))),((x)*(7)),ReplaceBranchXR|AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR,ReplaceBranchR|ReplaceBranchXR|SubXD|AddTreeWithAdd|FellTreeD|AddTreeWithDiv|MultXD|MultXD|MutateNonTerminalR|DivXD|MultXD|FellTreeD|DeleteMaliciousR|AddTreeWithAdd|MutateTerminalR|DeleteNonTerminalR|SubXD|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR,ReplaceBranchXR,MultXD,10,10,11,11,1
