gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x*3*x+1,25,-10,-0.0436000986566527,-0.019999922315418944,-0.03839998788327428,-0.019998135160182166,NaN,NaN,8451.192,6665.621999999999,-0.9600000378647678,0.00004998149359469018,0.000000032129321002276516,0.00002472702944696744,211277.76,211272.69,211278,211267.64,(1),(((x)+(x))-((8)-(0))),ReplaceBranchR|DeleteMaliciousR|FellTreeD|MutateTerminalR|DeleteTerminalR,AddTreeWithDiv|DivXD|SubXD|AddXD|MutateTerminalR|AddTreeWithMult|AddTreeWithDiv|ReplaceBranchXR|FellTreeD|DeleteNonTerminalR|AddTreeWithMult|ReplaceBranchR|FellTreeD|AddTreeWithAdd|ReplaceBranchXR|DeleteMaliciousR|SubXD|AddTreeWithMult|DeleteMaliciousR|ReplaceBranchXR,ReplaceBranchR,AddTreeWithMult,0,0,1,1,3
1,x*x*x*x*3*x+1,25,-10,-0.0384000064938077,-0.009998195731213752,-0.03840000219615654,0.000007434747172213953,8451.093700000001,7558.1908,8451.1164,8449.5572,-0.9600000378647678,0.00002934519510300467,0.00000004683613130804272,1.154708080584473,211277.79,122021.22,211278,211272,(1),(((x)+(5))-((9)-(3))),ReplaceBranchR|DeleteMaliciousR|FellTreeD|MutateTerminalR|DeleteTerminalR,FellTreeD|SubXD|AddTreeWithMult|SkipD|MutateTerminalR|AddRandomSubTreeR|MutateTerminalR|DivXD|MutateTerminalR|ReplaceBranchR|AddTreeWithMult|MutateTerminalR|DeleteMaliciousR|SkipD|ReplaceBranchR|SkipD|MutateTerminalR|ReplaceBranchXR|SubXD|AddToLeafR,ReplaceBranchR,MutateTerminalR,1,0,2,2,3
2,x*x*x*x*3*x+1,25,-10,-0.038400007288967815,-0.009998101002973698,-0.03840000340782911,0.000008814917961250994,8451.0895,7558.170800000001,8451.11,8449.265599999999,-0.9600000378647678,0.0003566861133804393,0.00000005543450298340792,1.1547945528122352,211277.75,122005.4,211278,211202.84,(1),(((x)*(8))+((5)-(x))),ReplaceBranchR|DeleteMaliciousR|FellTreeD|MutateTerminalR|DeleteTerminalR,FellTreeD|SubXD|AddTreeWithMult|SkipD|MutateTerminalR|AddRandomSubTreeR|MutateTerminalR|DivXD|MutateTerminalR|ReplaceBranchR|AddTreeWithMult|MutateTerminalR|DeleteMaliciousR|SkipD|ReplaceBranchR|SkipD|MutateTerminalR|ReplaceBranchXR|SubXD|AddToLeafR,MutateTerminalR,MutateTerminalR,0,0,3,3,3
3,x*x*x*x*3*x+1,25,-10,-0.038400004316583546,0.0000014412490251620242,-0.03840000287772236,0.000005501750772208302,8451.1052,8450.8235,8451.1128,8449.965600000001,-0.9600000378647678,0.00026902917575038793,0.000000051501652374476557,0.00014895346129992484,211277.71000000002,211251.7,211278,211221.36,(1),(((x)*(9))-((7)-(8))),ReplaceBranchR|DeleteMaliciousR|FellTreeD|MutateTerminalR|DeleteTerminalR,DeleteTerminalR|SubXD|AddTreeWithMult|MutateNonTerminalR|MutateTerminalR|AddRandomSubTreeR|MutateTerminalR|DivXD|AddXD|ReplaceBranchR|AddTreeWithMult|MutateTerminalR|FellTreeD|DeleteNonTerminalR|ReplaceBranchXR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|SubXD|AddToLeafR,MutateTerminalR,MutateTerminalR,3,3,4,4,3
4,x*x*x*x*3*x+1,25,-10,-0.03840001232498195,0.0000011695595766658686,-0.03840000151459071,0.000005887971404528403,8451.0629,8450.8809,8451.12,8449.884,-0.9600000378647678,0.00024006262832607038,0.000000043006109333697053,0.00012701704363210202,211277.67,211267.52,211278,211227.48,(1),(((x)*(8))-((0)-(2))),ReplaceBranchR|DeleteMaliciousR|FellTreeD|MutateTerminalR|DeleteTerminalR,FellTreeD|SubXD|AddTreeWithMult|SkipD|MutateTerminalR|AddRandomSubTreeR|MutateTerminalR|DivXD|AddXD|ReplaceBranchR|AddTreeWithMult|ReplaceBranchR|FellTreeD|AddTreeWithAdd|ReplaceBranchXR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|SubXD|AddToLeafR,ReplaceBranchR,MutateTerminalR,4,4,5,5,3
5,x*x*x*x*3*x+1,25,-10,-0.03840000393793586,-0.0000003587449151173429,-0.03840000272626329,0.0000008387046084276685,8451.1072,8451.203800000001,8451.1136,8450.9508,-0.9600000378647678,0.000031806405014815366,0.00000004809471471503912,0.00003153447939065415,211277.78,211279.14,211278,211271.48,(1),(((x)+(5))-((9)-(6))),ReplaceBranchR|DeleteMaliciousR|FellTreeD|MutateTerminalR|DeleteTerminalR,FellTreeD|SubXD|AddTreeWithMult|SkipD|MutateTerminalR|AddRandomSubTreeR|MutateTerminalR|DivXD|AddXD|ReplaceBranchR|AddTreeWithMult|MutateTerminalR|FellTreeD|DeleteNonTerminalR|ReplaceBranchXR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|SubXD|AddToLeafR,MutateTerminalR,MutateTerminalR,5,5,6,6,3
6,x*x*x*x*3*x+1,25,-10,-0.03840000692925252,0.0000007800276366021228,-0.03840000265053375,0.000004608142250363423,8451.0914,8450.9632,8451.114,8450.1544,-0.9600000378647678,0.0002987530185320797,0.00000004724252610757475,0.00015992541422528298,211277.72999999998,211265.53999999998,211278,211215.08,(1),(((x)*(7))+((x)-(x))),ReplaceBranchR|DeleteMaliciousR|FellTreeD|MutateTerminalR|DeleteTerminalR,FellTreeD|SubXD|AddTreeWithMult|SkipD|MutateTerminalR|AddRandomSubTreeR|MutateTerminalR|DivXD|AddXD|ReplaceBranchR|AddTreeWithMult|MutateTerminalR|FellTreeD|DeleteNonTerminalR|ReplaceBranchXR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|SubXD|AddToLeafR,FellTreeD,MutateTerminalR,6,5,7,7,3
7,x*x*x*x*3*x+1,25,-10,-0.03840000940939482,0.000000033151982996449757,-0.038400002650533754,0.0000021734384018390087,8451.0783,8451.121,8451.114,8450.6688,-0.9600000833024893,0.00020825622331125502,0.000000015612043790290688,0.00011093513073010534,211277.69,211268.41999999998,211277.76,211234.2,(3),(((x)*(8))-((3)*(8))),ReplaceBranchR|DeleteMaliciousR|FellTreeD|MutateTerminalR|DeleteTerminalR,FellTreeD|SubXD|AddTreeWithMult|DeleteNonTerminalR|MutateTerminalR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithSub|AddXD|ReplaceBranchR|AddTreeWithMult|MutateTerminalR|FellTreeD|DeleteNonTerminalR|ReplaceBranchXR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|SubXD|AddToLeafR,DeleteMaliciousR,MutateTerminalR,7,7,8,8,3
8,x*x*x*x*3*x+1,25,-10,-0.038400006948184906,0.0000005353378341244374,-0.03840000325637004,0.000003076512389828113,8451.0913,8451.0149,8451.1108,8450.478,-0.9600000605836286,0.0002540725924398358,0.00000002858727286000548,0.00012341356285728168,211277.75,211259.02000000002,211277.88,211224.52,(2),(((x)*(9))-((4)+(8))),ReplaceBranchR|DeleteMaliciousR|FellTreeD|MutateTerminalR|DeleteTerminalR,FellTreeD|SubXD|AddTreeWithMult|SkipD|MutateTerminalR|AddRandomSubTreeR|MutateTerminalR|DivXD|AddXD|ReplaceBranchR|AddTreeWithMult|MutateTerminalR|FellTreeD|DeleteNonTerminalR|ReplaceBranchXR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|SubXD|AddToLeafR,ReplaceBranchR,MutateTerminalR,6,8,9,9,3
9,x*x*x*x*3*x+1,25,-10,-0.03840000691032014,0.00000077814554366679,-0.038400002423345146,0.000004719843315593344,8451.091499999999,8450.9636,8451.1152,8450.1308,-0.9600000605836286,0.00032828753747435904,0.000000037292471497034866,0.00018071185408534345,211277.71,211265.55,211277.88,211208.84,(2),(((x)*(8))+((x)-(x))),ReplaceBranchR|DeleteMaliciousR|FellTreeD|MutateTerminalR|DeleteTerminalR,FellTreeD|FellTreeD|AddTreeWithMult|SkipD|MutateTerminalR|AddRandomSubTreeR|MutateTerminalR|DivXD|AddXD|ReplaceBranchR|AddTreeWithMult|MutateTerminalR|FellTreeD|DeleteNonTerminalR|ReplaceBranchXR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|SubXD|AddTreeWithAdd,ReplaceBranchR,MutateTerminalR,9,9,10,10,3
10,x*x*x*x*3*x+1,25,-10,-0.03840001012882541,0.0000016575942318601376,-0.038400003710747255,0.00001014586455204769,8451.0745,8450.7778,8451.1084,8448.984400000001,-0.9600001060213501,0.0003566861133804393,0.000000012933280368648233,0.00017854237821428342,211277.55000000002,211249.02000000002,211277.64,211202.84,(4),(((x)*(7))+((6)-(x))),ReplaceBranchR|DeleteMaliciousR|FellTreeD|MutateTerminalR|DeleteTerminalR,FellTreeD|FellTreeD|AddTreeWithMult|SkipD|MutateTerminalR|AddRandomSubTreeR|MutateTerminalR|DivXD|AddXD|ReplaceBranchR|AddTreeWithMult|MutateTerminalR|FellTreeD|DeleteNonTerminalR|ReplaceBranchXR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|SubXD|AddTreeWithAdd,ReplaceBranchR,MutateTerminalR,10,9,11,11,3
