gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x*3*x+1,25,-10,-0.03835790013356797,-0.034366059645304155,-0.03821016604647332,-0.017462946327007078,8673.4976,5193.244431372549,9453.8224,6129.991866666667,-0.9410152718075031,-2,0.009492364096248429,0,236347.32,32767,311554.68,32767,((((x)*(x))*((7)-((8)*(8))))+(((0)*(3))*((x)*((1)*(x))))),(((7)-(0))-((6)/(x))),AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|MultXD,DeleteTerminalR|AddTreeWithMult|AddTreeWithSub|FellTreeD|AddTreeWithSub|DeleteNonTerminalR|MultXD|AddTreeWithDiv|DivXD|DeleteTerminalR|MutateTerminalR|MutateTerminalR|AddXD|DeleteNonTerminalR|DeleteTerminalR|MutateTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|DivXD,AddRandomSubTreeR,MutateTerminalR,0,0,1,1,4
1,x*x*x*x*3*x+1,25,-10,-0.03503142830637519,-0.019988267145524437,-0.027645215909639517,0.000050192454444293045,26243.772100000006,6663.5371047619055,65257.4136,8440.523428571429,-0.46678306043879586,0.00003635017715988738,0.23748192607068885,1.1547200495324157,981876.48,122019.03,2816427.88,211270.52,((((3)*(9))*((x)*((6)+(0))))*(((x)*(3))*((x)*((1)*(x))))),(((x)+((9)/(3)))*((8)+((x)-(x)))),AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|MultXD,DeleteTerminalR|DeleteMaliciousR|AddTreeWithSub|DivXD|AddRandomSubTreeR|ReplaceBranchR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddXD|MutateTerminalR|AddTreeWithSub|AddRandomSubTreeR|MultXD|AddTreeWithMult|ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,AddTreeWithAdd,AddRandomSubTreeR,0,1,2,2,4
2,x*x*x*x*3*x+1,25,-10,-0.0351496943839923,-0.030004153188185785,-0.026972481363434556,0.00022670251829105267,25619.096,5774.448049999999,68810.7672,8403.2307,-0.10252791627342525,0.00005097544375150217,0.4076134957997684,1.1546584301362581,1563923.58,122030.3075,4740407.16,211267.43,((((x)*(x))*((x)*((x)*(3))))*(((x)*(3))-((x)+((1)*(x))))),((((x)-(9))/((4)+(3)))-((8)+((1)*(x)))),AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|MultXD,DeleteTerminalR|DeleteMaliciousR|AddTreeWithSub|DivXD|AddRandomSubTreeR|ReplaceBranchR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddXD|MutateTerminalR|AddTreeWithSub|AddRandomSubTreeR|MultXD|AddTreeWithMult|ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,AddRandomSubTreeR,AddRandomSubTreeR,2,2,3,3,4
3,x*x*x*x*3*x+1,25,-10,-0.03593247254094365,-0.04016405426109387,-0.03266519430778945,-0.00008971989988915575,21484.497000000003,4917.7539,38742.1136,8470.184,-0.6545108241172065,-0.004856312424273098,0.1790733935477762,0.9975718437878636,1001977.6200000001,77652.56,1824858.28,212309.24,((((x)*(3))*((3)*((x)*(x))))*(((3)*(8))+((4)*((1)*(x))))),((((x)-((3)*(8)))/(((3)*(0))+((6)+(0))))-(((4)*((x)+(8)))/((6)-((4)+((x)*(x)))))),AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|MultXD,DeleteTerminalR|DeleteMaliciousR|AddTreeWithSub|DivXD|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddXD|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR|MultXD|AddTreeWithMult|ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,SkipD,AddRandomSubTreeR,0,0,4,4,4
4,x*x*x*x*3*x+1,25,-10,-0.032866113215824916,-0.019942828770548697,-0.017707565725866667,0.00024052836497092577,40069.503600000004,6653.9376785714285,127302.1732,8400.3096,0.344377289780582,0.0011164426807877227,0.6439929877122735,1.1547349708493473,2241131.58,122016.3,8056394.2,211042.32,((((4)*(x))*((x)*((x)*(x))))*(((3)*(x))+((2)-((5)*(x))))),(((x)+((1)/(6)))*((9)*(x))),AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|MultXD,DeleteTerminalR|DeleteMaliciousR|AddTreeWithSub|DivXD|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddXD|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR|MultXD|AddTreeWithMult|ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,AddRandomSubTreeR,AddRandomSubTreeR,4,3,5,5,4
5,x*x*x*x*3*x+1,25,-10,-0.02661337106032435,-0.032197490839030785,0.005942467333450971,0.0000010082013332183545,157425.41619999998,9569.40495707283,589537.4232000001,8450.915004761904,0.8015494799950185,0.00011927401880559206,0.8598565826643776,1.1547349708493473,7028021,122016.3,26615979.64,211253,((((4)*(6))*((5)*((x)*(x))))*(((x)*(3))*((x)+((1)*(x))))),((((x)*((2)*(x)))+((0)*((8)/(2))))+(((3)*(0))*((7)*((1)+((x)*(x)))))),AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithAdd|MutateNonTerminalR|MultXD,DeleteTerminalR|DeleteMaliciousR|AddTreeWithSub|DivXD|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddXD|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR|MultXD|AddTreeWithMult|ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,AddTreeWithAdd,AddRandomSubTreeR,5,5,6,6,4
6,x*x*x*x*3*x+1,25,-10,-0.03825500764395001,-0.034973347623478195,-0.03687632704178661,0.0001916897952226008,9216.9711,5321.588318571428,16499.1,8410.62816,-0.8677350715786105,-0.0000908671853036646,0.05000308345989639,0.9999545664073483,310899.5,77399.6,698617.4,211297.4,((((x)*(x))+((3)*(x)))*((x)*((3)+((8)*(x))))),((((9)-(9))/((3)+(3)))+((2)-((0)-((5)*(x))))),AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|MultXD,DeleteTerminalR|DeleteMaliciousR|AddTreeWithSub|DivXD|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddXD|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR|MultXD|AddTreeWithMult|ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,AddRandomSubTreeR,AddRandomSubTreeR,6,6,7,7,4
7,x*x*x*x*3*x+1,25,-10,-0.03458699354689694,-0.04500138272938058,-0.028172721501792425,-0.000008078374961056714,28591.2565,4434.918994444444,62471.152799999996,8452.8382,-0.5212975120007649,0.0002976170754957428,0.19157075710746635,1.000148808537748,1325124.52,77379.08,2528485,211215.32,((((x)*(x))*((x)*((2)-(x))))+(((1)*(3))*((x)*((1)*(x))))),((((2)-(0))-((1)-(9)))+((0)/((2)*(x)))),AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|MultXD,DeleteTerminalR|DeleteMaliciousR|AddTreeWithSub|DivXD|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddXD|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR|MultXD|AddTreeWithMult|ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,AddRandomSubTreeR,AddRandomSubTreeR,7,3,8,8,4
8,x*x*x*x*3*x+1,25,-10,-0.029891384144725416,-0.04993537980308006,-0.01250014567723742,-0.01977317068732652,75623.8652,3974.6951611111117,234175.4376,6618.091911111111,0.7048744383355676,-2,0.79222239136572,0,5191302.14,32767,17897314.52,32767,((((x)*(x))*((7)*((6)+(7))))*(((x)*(3))*((x)-((1)*(x))))),(((((9)-(0))*((0)*(5)))-(((8)/(0))*((6)*((5)+(3)))))*((((x)+(3))-((0)*(5)))-(((x)+(3))/((x)+((x)*(x)))))),AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|MultXD,DeleteTerminalR|DeleteMaliciousR|AddTreeWithSub|DivXD|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddXD|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR|MultXD|AddTreeWithMult|ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,AddTreeWithAdd,AddRandomSubTreeR,7,8,9,9,4
9,x*x*x*x*3*x+1,25,-10,-0.02841523523287781,-0.03499147846120443,-0.015261879517246802,0.00003144319438461678,947398.1418000001,5325.382704761905,3566175.26,8444.48921904762,0.9850807432944936,-0.001455199561785931,1.0688994149281998,0.999272400219107,93584069.06,77471.775,354036069.24,211586.1,((((x)*(x))*((x)*((x)*(4))))*(((x)*(8))*((x)+((1)*(x))))),((((1)-(3))*((x)+((0)/(8))))*(((9)+(6))-((9)*((6)*(x))))),AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|MultXD,DeleteTerminalR|ReplaceBranchR|AddTreeWithSub|DivXD|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddXD|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR|MultXD|AddTreeWithMult|ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,AddTreeWithAdd,AddRandomSubTreeR,9,9,10,10,4
10,x*x*x*x*3*x+1,25,-10,-0.033787090597552444,-0.045002320462596154,-0.019251385607938817,0.00008211621147238356,35787.395200000006,4435.157546666666,121477.5968,8433.779066666666,0.3749993994878701,0.008607040385614845,0.6677095291850219,1.0043035201928074,2269578.24,76940.18,8451119.88,209459.72,((((x)*(x))*((x)*((x)*(3))))*(((5)-(4))+((8)*((5)*(x))))),(((((x)+(0))*((0)+(4)))*(((3)*(0))*((2)-(4))))+(((8)*((1)*(3)))/(((5)/(9))*((6)+((x)*(x)))))),AddRandomSubTreeR|SkipD|AddTreeWithAdd|MutateNonTerminalR|MultXD,DeleteTerminalR|DeleteMaliciousR|AddTreeWithSub|DivXD|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddXD|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR|MultXD|AddTreeWithMult|ReplaceBranchXR|AddRandomSubTreeR|SkipD|AddTreeWithDiv|MutateNonTerminalR,SkipD,AddRandomSubTreeR,9,9,11,11,4
