gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x*3*x+1,25,-10,-0.05660027654533217,0.0000004103151180567642,-0.04880003937935859,0.00004928288862741256,4752.2988000000005,8451.0473,6338.138000000001,8440.715600000001,-0.9599992048398746,0.00441257072428674,0.000009802465157600008,0.003156616570562966,211247.94,211268.22,211282.4,210345.92,((((2)-(4))*((3)+((3)-(2))))*((1)-((x)+((6)*(8))))),((((6)+((2)+(x)))+(((3)+(x))*((9)+(x))))+(((5)*((8)+(0)))+((5)*((8)-((8)-(x)))))),MutateTerminalR|DeleteNonTerminalR|MultXD|AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|AddTreeWithMult|AddXD|AddXD|DeleteMaliciousR|ReplaceBranchR|AddXD|AddToLeafR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult,DeleteMaliciousR|AddTreeWithAdd|AddRandomSubTreeR|SubXD|AddRandomSubTreeR,AddTreeWithMult,AddRandomSubTreeR,0,0,1,1,1
1,x*x*x*x*3*x+1,25,-10,-0.03839943691303693,-0.015001619669459914,-0.03839711485614702,0.0000008481770456137178,8454.1022,7112.6364,8466.3672,8450.948800000002,-0.959732712603572,-0.000024990122275526868,0.00013285014240760706,0.9999875049388621,211637.46,77396.12,212690,211283.48,((((1)-(5))*((x)*((5)*(9))))+((x)+((8)*((2)+(0))))),((4)*((4)-(x))),MutateTerminalR|DeleteNonTerminalR|MultXD|AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|AddTreeWithMult|AddXD|AddXD|DeleteMaliciousR|ReplaceBranchR|AddXD|AddToLeafR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult,DivXD|MultXD|AddRandomSubTreeR|SubXD|AddRandomSubTreeR,AddTreeWithMult,AddRandomSubTreeR,0,1,2,2,1
2,x*x*x*x*3*x+1,25,-10,-0.03840025837024359,-0.02499916460855876,-0.0383991630371709,0.000005952341509914856,8449.7633,6219.5615,8455.5488,8449.8704,-0.9599243916315078,0.0002976170754957428,0.000039105055293906226,1.000148808537748,211370.7,77379.08,211677.56,211215.32,((((5)*(4))-((x)*(8)))*((7)-((0)*(8)))),((9)*((x)+(x))),MutateTerminalR|DeleteNonTerminalR|MultXD|AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|AddTreeWithMult|AddXD|AddXD|DeleteTerminalR|MultXD|DeleteTerminalR|FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|DeleteMaliciousR|AddTreeWithSub|AddTreeWithMult,DivXD|MultXD|DivXD|AddXD|ReplaceBranchR,AddTreeWithMult,DivXD,2,0,3,3,1
3,x*x*x*x*3*x+1,25,-10,-0.0383993371204412,-0.04,-0.03839729925756656,-0.04,8454.629299999999,4880.904,8465.393199999999,4880.904,-0.9598255948791687,-2,0.00008797917427311474,0,211502.35,32767,212199.4,32767,((((2)*(6))+((9)*(9)))-((5)*((9)*(9)))),((((3)*(x))+((1)+(7)))/((x)*((x)/((x)+(x))))),MutateTerminalR|DeleteNonTerminalR|MultXD|AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|AddTreeWithMult|AddXD|AddXD|DeleteMaliciousR|ReplaceBranchR|AddXD|AddToLeafR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult,DivXD|MultXD|DivXD|AddXD|ReplaceBranchR,AddTreeWithMult,DivXD,0,0,4,4,1
4,x*x*x*x*3*x+1,25,-10,-0.03839693374896227,0,-0.03838791833705513,0,8467.323799999998,8451.128,8514.9428,8451.128,-0.9590289277360371,0,0.0004872756051259667,0,212546.84999999998,211278.2,216407.36,211278.2,(((9)*((5)*(9)))-((6)*((9)*(7)))),(0),MutateTerminalR|DeleteNonTerminalR|MultXD|AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|AddTreeWithMult|AddXD|AddXD|DeleteMaliciousR|ReplaceBranchR|AddXD|AddToLeafR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult,DivXD|MultXD|DivXD|AddXD|FellTreeD,AddTreeWithMult,DivXD,0,2,5,5,1
5,x*x*x*x*3*x+1,25,-10,-0.03839708499977754,0,-0.03838769728254027,0,8466.5249,8451.128,8516.1104,8451.128,-0.9588125608794471,0,0.0005906614021059471,0,212871.32,211278.2,217550.2,211278.2,((((1)-(1))-((4)*(7)))*((x)*((7)*((5)+(0))))),(0),MutateTerminalR|DeleteNonTerminalR|MultXD|AddTreeWithDiv|SkipD|ReplaceBranchR|DeleteTerminalR|FellTreeD|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchR|AddXD|AddToLeafR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult,DivXD|MultXD|DivXD|AddXD|FellTreeD,AddTreeWithMult,DivXD,3,4,6,6,1
6,x*x*x*x*3*x+1,25,-10,-0.03839998833765149,0,-0.03839853221013811,0,8451.1896,8451.128,8458.8808,8451.128,-0.9599402115315258,0,0.000025996670060707803,0,211440.13,211278.2,211594,211278.2,((((0)+(3))*((x)-(4)))*((x)*((5)-(7)))),(0),MutateTerminalR|DeleteNonTerminalR|MultXD|AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|DeleteTerminalR|FellTreeD|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchR|AddXD|SkipD|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult|AddTreeWithMult|AddTreeWithSub|AddTreeWithSub|AddTreeWithMult,DivXD|MultXD|DivXD|AddXD|FellTreeD,AddTreeWithMult,DivXD,6,5,7,7,1
7,x*x*x*x*3*x+1,25,-10,-0.03840007682761402,-0.02,-0.03839876977369175,-0.02,8450.7222,6666.0160000000005,8457.626,6666.0160000000005,-0.9598850425647322,-2,0.00005592124405375028,0,211447.78,32767,211885.4,32767,((((6)+(8))*((2)*(1)))-((7)*((x)+(x)))),(((0)+((2)*(x)))*((x)/((x)+(x)))),MutateTerminalR|DeleteNonTerminalR|MultXD|AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|DeleteTerminalR|MultXD|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchR|AddXD|AddToLeafR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult|MutateTerminalR|SkipD|AddTreeWithSub|AddTreeWithMult,ReplaceBranchR|MultXD|DivXD|AddXD|AddTreeWithMult,AddToLeafR,DivXD,7,7,8,8,1
8,x*x*x*x*3*x+1,25,-10,-0.038398389952205195,0,-0.03839353027430184,0,8459.6322,8451.128,8485.3008,8451.128,-0.9595274476969228,0,0.00023597517725816827,0,211904.64,211278.2,213774.2,211278.2,(((5)*((2)*(x)))*((9)-((6)*(8)))),(0),MutateTerminalR|DeleteNonTerminalR|MultXD|AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|DeleteTerminalR|FellTreeD|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchR|AddXD|AddToLeafR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult|AddTreeWithMult|SkipD|AddTreeWithSub|AddTreeWithMult,DivXD|MultXD|DivXD|AddXD|FellTreeD,AddTreeWithMult,DivXD,8,5,9,9,1
9,x*x*x*x*3*x+1,25,-10,-0.03839988674647929,0,-0.038399156827348964,0,8451.726200000001,8451.128,8455.5816,8451.128,-0.9599520480579633,0,0.00002412491386105439,0,211340.35,211278.2,211531.48,211278.2,(((5)*((3)-(x)))*((8)+(7))),(0),MutateTerminalR|DeleteNonTerminalR|MultXD|AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR|DeleteTerminalR|MultXD|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchR|AddXD|AddToLeafR|DeleteNonTerminalR|AddToLeafR|AddTreeWithMult|MutateTerminalR|SkipD|AddTreeWithSub|AddTreeWithMult,DivXD|MultXD|DivXD|AddXD|FellTreeD,DeleteNonTerminalR,DivXD,7,8,10,10,1
