A,P,AFinal,PFinal,AGen,PGen,count,run
ReplaceBranchXR,DeleteMaliciousR,ReplaceBranchXR,SkipD,0,0,0,3
ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,0,0,1,3
AddTreeWithDiv,MutateTerminalR,AddTreeWithDiv,AddRandomSubTreeR,0,0,2,3
AddRandomSubTreeR,ReplaceBranchXR,AddRandomSubTreeR,ReplaceBranchXR,0,0,3,3
SkipD,MultXD,SkipD,MultXD,0,0,4,3
DeleteTerminalR,,DeleteTerminalR,,0,0,5,3
MutateNonTerminalR,,MutateNonTerminalR,,0,0,6,3
AddTreeWithDiv,,AddTreeWithDiv,,0,0,7,3
MutateTerminalR,,MutateTerminalR,,0,0,8,3
AddTreeWithSub,,AddTreeWithSub,,0,0,9,3
AddXD,,AddXD,,0,0,10,3
MutateTerminalR,,MutateTerminalR,,0,0,11,3
AddRandomSubTreeR,,AddRandomSubTreeR,,0,0,12,3
AddToLeafR,,AddToLeafR,,0,0,13,3
DeleteNonTerminalR,,DeleteNonTerminalR,,0,0,14,3
DeleteMaliciousR,,DeleteMaliciousR,,0,0,15,3
AddToLeafR,,AddToLeafR,,0,0,16,3
DivXD,,DivXD,,0,0,17,3
FellTreeD,,FellTreeD,,0,0,18,3
MultXD,,MultXD,,0,0,19,3
