gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x*3*x+1,25,-10,-0.06180477681085886,-0.03499772626302828,-0.05919995229039248,-0.019790239441015052,NaN,NaN,NaN,NaN,-0.96,0.019874191153338758,0.0000017432219760970174,1.0000863363173569,211272.86,166687.26416666666,211278.2,207079.21666666667,((9)*(0)),((((5)/((6)*(x)))*(((x)*(x))-((3)*(x))))+(((8)/(9))+((7)-((0)-((x)*(x)))))),AddToLeafR|FellTreeD|ReplaceBranchR|DeleteNonTerminalR|AddTreeWithMult,MutateNonTerminalR|MutateTerminalR|MultXD|AddTreeWithDiv|AddTreeWithAdd,AddTreeWithMult,MutateNonTerminalR,0,0,1,1,1
1,x*x*x*x*3*x+1,25,-10,-0.05150217669404604,-0.024962991209091713,-0.03842638606349354,-0.019853411284268797,NaN,NaN,8311.758,NaN,-0.9599952290392477,0.014598287944520486,0.5200007951795801,1.0024505451197216,158464.95,165881.285,211303.4,208193.90000000002,((((x)*(0))*((x)+((x)*(3))))*(((x)+(5))/((6)-((x)*(x))))),((((x)*(6))+((7)-((2)*(0))))*(((x)*(x))*((5)+((5)/(6))))),ReplaceBranchR|MutateNonTerminalR|MultXD|DeleteTerminalR|AddTreeWithDiv,MutateNonTerminalR|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithDiv|AddTreeWithAdd,ReplaceBranchR,AddTreeWithAdd,1,1,2,2,1
2,x*x*x*x*3*x+1,25,-10,-0.0463686904213091,0.0000012116725719971644,-0.0383794390776395,0.0000012116725719971644,5975.526285714286,8450.872,8559.729866666668,8450.872,-0.9599952290392477,0.00003029181429992911,0.013994163935457432,0,168952.09999999998,211271.8,211303.4,211271.8,((((x)-(x))*((0)*((x)*(x))))/(((1)*(x))+((1)-((x)*(x))))),((0)+(x)),SubXD|DeleteMaliciousR|ReplaceBranchXR|SkipD|AddTreeWithAdd,AddToLeafR|ReplaceBranchXR|AddTreeWithAdd|FellTreeD|AddXD,SubXD,AddTreeWithAdd,1,0,3,3,1
3,x*x*x*x*3*x+1,25,-10,-0.04700385852439528,0.0000018970248705296857,-0.03397261906244941,0.000003589579994532509,15825.484447777779,8450.7272,31836.354880000003,8450.3696,-0.5572678510134979,0.00026808255655346347,0.6575299716150762,0.00012559730756900395,1071962.9270000001,211257.32,2338491.288,211221.56,((((x)*(x))*((x)*((x)*(3))))*(((x)-(1))/((5)-((x)*(x))))),((9)*(x)),SubXD|MutateNonTerminalR|MultXD|DeleteTerminalR|AddTreeWithDiv,AddToLeafR|ReplaceBranchXR|AddTreeWithAdd|FellTreeD|AddToLeafR,MutateNonTerminalR,AddToLeafR,3,3,4,4,1
4,x*x*x*x*3*x+1,25,-10,-0.04100944807683266,0.00000005443263753517231,-0.038394629236081466,0.0000005130676047057725,7873.028183333332,8451.116499999998,8479.496133333332,8451.0196,-0.9600000126215892,0.00003275302421173981,0.0000006001482826364954,0.000017734136844837867,211273.37976190477,211276.75,211278.13333333336,211271.28,((2)/((6)-(0))),((5)+(x)),SubXD|MutateNonTerminalR|ReplaceBranchXR|DeleteTerminalR|AddTreeWithDiv,AddToLeafR|ReplaceBranchXR|AddTreeWithAdd|FellTreeD|AddToLeafR,SubXD,AddToLeafR,4,4,5,5,1
5,x*x*x*x*3*x+1,25,-10,-0.043562511910836044,0.0000005869039043013442,-0.03824331861971562,0.0000018799857249839438,7592.747400000001,8451.003999999999,9278.712000000001,8450.7308,-0.9443401013450512,0.0001499444807842083,0.007896350657755577,0.00007253226245425592,231447.55000000002,211269.49,293993.08,211246.52,((((x)*(x))*((x)*(x)))*((0)-((x)+((3)-(x))))),((5)*(x)),SubXD|DeleteMaliciousR|ReplaceBranchXR|SkipD|AddTreeWithAdd,AddToLeafR|ReplaceBranchXR|AddTreeWithAdd|FellTreeD|AddToLeafR,DeleteMaliciousR,AddToLeafR,1,5,6,6,1
6,x*x*x*x*3*x+1,25,-10,-0.03846700664810662,0.00000015524597114939931,-0.038400894971653485,0.0000007516156423158545,8097.201899999999,8451.0952,8446.400800000001,8450.9692,-0.9599896099076951,0.00003256370037232737,0.000005132583834446568,0.000017841009631510674,211292.5,211276.74,211333.08,211271.32,((((x)*(x))*((x)*(0)))-((x)*((8)-((8)+(8))))),((4)+(x)),SubXD|MutateNonTerminalR|ReplaceBranchXR|DeleteTerminalR|AddTreeWithAdd,AddToLeafR|ReplaceBranchXR|AddTreeWithAdd|FellTreeD|AddToLeafR,SubXD,AddToLeafR,6,5,7,7,1
7,x*x*x*x*3*x+1,25,-10,-0.038494290750299844,0.0000013176962159599152,-0.038399954940926226,0.000006982263196110517,7953.0885,8450.849600000001,8451.366,8449.6528,-0.9599987883274281,0.00023854803761118413,0.00003240722788611069,0.00011272142764589578,211137.01,211263.44,211284.6,211227.8,((((3)+(5))*((0)*(0)))*((x)*((x)+((6)-(x))))),((x)*(8)),SubXD|DeleteMaliciousR|ReplaceBranchXR|SkipD|AddTreeWithAdd,AddToLeafR|ReplaceBranchXR|AddTreeWithAdd|FellTreeD|AddToLeafR,ReplaceBranchXR,AddToLeafR,1,5,8,8,1
8,x*x*x*x*3*x+1,25,-10,-0.03843755692731195,0.0000007989469991232809,-0.03839958045837195,0.000002762234816465453,8252.754,8450.959200000001,8453.344000000001,8450.5444,-0.9599616808549108,0.000209013518668767,0.00002255047930830737,0.00010313880665228368,211310.51,211266.63999999998,211480.6,211234.04,((((x)-(7))*((2)+(8)))*((x)+((0)-(x)))),((7)*(x)),SubXD|DeleteMaliciousR|ReplaceBranchXR|SkipD|AddTreeWithAdd,AddToLeafR|FellTreeD|AddTreeWithAdd|FellTreeD|AddToLeafR,SubXD,AddToLeafR,1,7,9,9,1
9,x*x*x*x*3*x+1,25,-10,-0.03847637759125172,0.0000011274238002210558,-0.038399951533097124,0.000004343088875238355,8047.704999999999,8450.889799999999,8451.384,8450.2104,-0.9599987883274281,0.000209013518668767,0.0000004964185151800024,0.00010419398562750628,211283.06,211267.01,211284.6,211234.04,((((x)*(x))*((3)+(6)))*((0)*((x)-((1)-(x))))),((7)*(x)),SubXD|DeleteMaliciousR|ReplaceBranchXR|SkipD|AddTreeWithAdd,AddToLeafR|FellTreeD|AddTreeWithAdd|FellTreeD|AddToLeafR,SubXD,AddToLeafR,1,7,10,10,1
10,x*x*x*x*3*x+1,25,-10,-0.03856782700723502,0.0000002962941025378135,-0.03839997455487599,0.0000015846405355625277,7564.6732999999995,8451.0654,8451.2624,8450.7932,-0.9599992351316888,0.00006058362859972047,0.00005015813513471338,0.000027521016567682233,211147.63,211273.97,211282.24,211265.4,((((0)*(x))*((x)-((2)*(x))))-(((8)*(x))+((1)-((7)+(8))))),((x)+(x)),SubXD|DeleteMaliciousR|ReplaceBranchXR|AddTreeWithSub|AddTreeWithAdd,AddToLeafR|FellTreeD|AddTreeWithAdd|FellTreeD|AddToLeafR,ReplaceBranchXR,AddToLeafR,10,7,11,11,1
