gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x*3*x+1,25,-10,-0.048943646396078726,-0.015092827336796153,-0.04848591849040743,0.000000034393830820394193,NaN,NaN,NaN,8451.120733333333,-0.9183354269394571,0,0.025886218900704982,1,240102.4,166650.40000000002,431348.6,211278.2,((((x)-((9)-(7)))+((8)*((x)*(x))))*(((x)*(3))*((x)-((3)+(1))))),(0),AddTreeWithSub|AddToLeafR|DeleteTerminalR|AddTreeWithSub|ReplaceBranchR,DivXD|AddToLeafR|ReplaceBranchR|ReplaceBranchR|DeleteNonTerminalR,AddTreeWithSub,ReplaceBranchR,0,0,1,1,2
1,x*x*x*x*3*x+1,25,-10,-0.03831908764841806,-0.009994328050972221,-0.03799873296913738,0.0000346907537076736,8878.503400000001,7557.373641666668,10570.6024,8443.798599999998,-0.9198790826502686,0.001695584305432457,0.021120159211917896,1.0003707992364648,257093,166532.96666666665,423195.08,210919.96,((((x)*((x)*(x)))*((x)*((6)-(1))))*(((9)+(9))+((8)-((2)-(5))))),((((0)+(x))*((x)/((2)*(9))))+(((9)+(8))-((2)-((5)-(x))))),AddTreeWithSub|AddToLeafR|DeleteTerminalR|AddTreeWithSub|ReplaceBranchR,SubXD|DeleteNonTerminalR|ReplaceBranchR|AddTreeWithDiv|MutateTerminalR,AddTreeWithSub,DeleteNonTerminalR,0,0,2,2,2
2,x*x*x*x*3*x+1,25,-10,-0.03737756429200931,-0.015190098885522061,-0.035456080485350594,0.00006329096867834825,13851.587400000002,7156.037655555556,24000.778400000003,8437.756,-0.7356017989551218,-0.000030290896733572532,0.10758361845139579,0.9999789862125709,656449.92,166657.06,1396539.4,211284.6,((((2)*((8)+(8)))*((x)*((x)*(x))))*(((4)-(9))*((x)+((7)-(2))))),((((0)/(8))-((6)*(x)))*((2)-((x)*((0)-(x))))),AddTreeWithSub|AddToLeafR|DeleteTerminalR|AddTreeWithSub|ReplaceBranchR,SubXD|DeleteNonTerminalR|ReplaceBranchR|AddTreeWithDiv|MutateTerminalR,AddTreeWithSub,MutateTerminalR,0,0,3,3,2
3,x*x*x*x*3*x+1,25,-10,-0.03818902775582147,-0.014975369820448621,-0.03760135533150131,0.00011839337896669081,9565.4739,7107.09269531746,12669.533199999998,8426.11406,-0.8916268616449781,0.00006134092395723248,0.0330617313033031,1.0000114481512474,310980.16000000003,166646.772,572422.04,211265.24,((((x)*(x))*((x)*((x)*(3))))*((4)*((x)+((1)-(6))))),((((x)*((x)*(2)))-((5)-((9)-(x))))-(((0)*(4))/((4)*((x)+((1)-(x)))))),AddTreeWithSub|AddToLeafR|AddTreeWithSub|AddTreeWithSub|ReplaceBranchR,SubXD|DeleteNonTerminalR|ReplaceBranchR|AddTreeWithDiv|MutateTerminalR,AddTreeWithSub,SubXD,3,3,4,4,2
4,x*x*x*x*3*x+1,25,-10,-0.038412540867917275,-0.009993557975952255,-0.03798818929733404,0.000018482424280140626,8384.8877,7557.21096984127,10626.293599999999,8447.223066666666,-0.9188189297334037,0.0018413636617502806,0.021392664014417268,1.0004796304597565,260058.82,166498.48666666666,428794.76,210889.16,((((x)*(2))-((4)*((4)*(x))))*((x)*((3)*((x)+(1))))),((((x)*(2))-((4)*((0)*(7))))*(((2)/(4))*((x)+((5)-(x))))),AddTreeWithSub|AddToLeafR|DeleteTerminalR|AddTreeWithSub|MutateNonTerminalR,SubXD|DeleteNonTerminalR|ReplaceBranchR|AddTreeWithDiv|MutateTerminalR,AddTreeWithSub,DeleteNonTerminalR,4,4,5,5,2
5,x*x*x*x*3*x+1,25,-10,-0.0382506567549326,-0.029999045190459553,-0.0374361145447093,0.000011519995009069317,9239.9523,5773.258389880953,13542.3276,8448.694076190475,-0.9002735994532327,0.00003092289376463724,0.029863016002728397,1.1547106674693077,290147.7,122020.74666666666,526750.36,211271.66666666663,((((x)*(x))*((x)*((x)*(1))))*((x)*((x)+((0)-(3))))),((x)+((2)/(3))),AddTreeWithSub|AddToLeafR|DeleteTerminalR|AddTreeWithSub|ReplaceBranchR,AddTreeWithAdd|DeleteNonTerminalR|ReplaceBranchR|AddTreeWithDiv|MutateTerminalR,AddTreeWithSub,MutateTerminalR,0,2,6,6,2
6,x*x*x*x*3*x+1,25,-10,-0.03845410538332871,-0.015000115995854227,-0.038366703237721636,0.00000008899016190186539,8165.345799999999,7112.318509047618,8627,8451.109199999999,-0.9571547353205395,-0.000028208456327212845,0.0015063631655145328,1.154683651070946,214476.91999999998,122025.69,226306.76,211284.16,((((x)*(x))*((x)-((7)*(2))))-(((4)*(3))*((x)+((6)+(0))))),(((0)+(6))/((2)-(x))),AddTreeWithSub|AddToLeafR|DeleteTerminalR|AddTreeWithSub|ReplaceBranchR,SubXD|DeleteNonTerminalR|ReplaceBranchR|AddTreeWithDiv|MutateTerminalR,AddTreeWithSub,DeleteNonTerminalR,0,5,7,7,2
7,x*x*x*x*3*x+1,25,-10,-0.03832647555687241,-0.005000121938931742,-0.03779153771662197,0.0000003821636929084499,8839.480800000001,8004.8757642857145,11664.998399999999,8451.047257142858,-0.9265672577672471,0.00000416512446624714,0.017051328855270265,1.0000004102051747,252848.43000000002,166650.27000000002,387868.44,211277.32,((((x)*(5))+((9)*((x)*(x))))*(((x)-(7))*((x)+((8)-(8))))),((8)*((6)/(4))),AddTreeWithSub|AddToLeafR|DeleteTerminalR|AddTreeWithSub|ReplaceBranchR,SubXD|DeleteNonTerminalR|ReplaceBranchR|AddTreeWithDiv|MutateTerminalR,AddTreeWithSub,SubXD,0,7,8,8,2
8,x*x*x*x*3*x+1,25,-10,-0.03842883195710679,-0.009980263146845659,-0.0383333808788602,0.00007870549624827377,8298.838899999999,7554.402034166665,8803.0072,8434.499244444443,-0.9533297424911799,0.000030081454478405653,0.003550563824313498,1.0000094627764693,221231.96000000002,166647.4011111111,246510.2,211271.84444444443,((((4)+(8))-((8)*((0)-(5))))*(((x)*(x))*((3)*((x)+(1))))),((((x)*(2))-((2)*((x)*(5))))*((0)-((2)/((9)+(x))))),AddTreeWithSub|AddToLeafR|DeleteTerminalR|AddTreeWithSub|ReplaceBranchR,SubXD|DeleteNonTerminalR|AddXD|AddTreeWithDiv|MutateTerminalR,AddTreeWithSub,AddTreeWithDiv,8,8,9,9,2
9,x*x*x*x*3*x+1,25,-10,-0.036618861482159544,-0.020000875026869744,-0.031158302105943725,0.0000026273941708707065,17859.0215,6666.200966984126,46701.4504,8450.572888888888,-0.4459244200300836,0.00011580308175052386,0.25687615805556235,1.0000024612099119,891445.1599999999,77394.54000000001,2926602.28,211253.7333333333,((((x)*(9))*((x)*(x)))*((8)-((1)*((x)*(8))))),((((1)*(x))-((1)/((9)*(x))))+(((7)-(1))*((6)-((0)-(x))))),AddTreeWithSub|AddToLeafR|DeleteTerminalR|AddTreeWithSub|ReplaceBranchR,SubXD|DeleteNonTerminalR|ReplaceBranchR|AddTreeWithDiv|MutateTerminalR,AddTreeWithSub,MutateTerminalR,9,6,10,10,2
10,x*x*x*x*3*x+1,25,-10,-0.03831980456100061,-0.014998562366689332,-0.03781761109286239,0.000006952392101449502,8874.716699999999,7111.990262222223,11527.28,8449.659111111112,-0.9132517789341257,0.0006849736508546606,0.025618468844922238,1.0001091683258356,259099.9,166615.82,458200.2,211133.48,((((x)*(x))*((1)-((2)*(x))))*((7)-((0)*((x)*(7))))),((((3)*(3))/((9)*(x)))*((3)*((x)+((x)-(x))))),AddTreeWithSub|AddToLeafR|DeleteTerminalR|AddTreeWithSub|ReplaceBranchR,SubXD|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithDiv|MutateTerminalR,AddTreeWithSub,SubXD,9,10,11,11,2
