gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x*3*x+1,25,-10,-0.05399998853711768,-0.03999962056332615,-0.04879998911387924,-0.01999850055519216,NaN,NaN,6338.403500000001,NaN,-0.9599987883274281,0.0001499444807842083,0,0.00007342991272689429,211284.6,211269.78,211284.6,211246.52,(((5)+((9)*(0)))*((x)*((0)-(x)))),((5)*(x)),AddTreeWithAdd|DeleteNonTerminalR|ReplaceBranchR|DeleteNonTerminalR|SubXD,MutateTerminalR|AddRandomSubTreeR|MutateTerminalR|DivXD|AddTreeWithMult,DeleteNonTerminalR,MutateTerminalR,0,0,1,1,4
1,x*x*x*x*3*x+1,25,-10,-0.03839997538790088,-0.024993716910309226,-0.038399975009253205,-0.019971324774633634,8451.258,6218.410943690476,8451.26,6659.95755,-0.9599987883274281,-2,0,0,211284.6,32767,211284.6,32767,(((8)+((9)*(3)))*((0)-(x))),((((8)+(0))*((2)*(3)))+((7)*((1)-((x)/(x))))),AddTreeWithAdd|DeleteNonTerminalR|ReplaceBranchR|DeleteNonTerminalR|SubXD,MutateTerminalR|AddRandomSubTreeR|MutateTerminalR|DivXD|AddTreeWithMult,DeleteNonTerminalR,MutateTerminalR,0,0,2,2,4
2,x*x*x*x*3*x+1,25,-10,-0.038463169508259724,-0.00039676024393664423,-0.03839997576654856,0.00001756672797603944,8117.469500000001,8550.827858333334,8451.256,8447.416533333333,-0.9599987883274281,0.001718808029728895,0,0.000812779692647596,211284.6,211164.05708333332,211284.6,210915.05333333334,((((0)*(0))*((x)*(8)))+((3)*((x)+((1)-(x))))),((((7)+((5)*(4)))+((0)*((2)+(9))))*(((1)/(9))*((x)+((0)-(0))))),SkipD|DeleteMaliciousR|AddTreeWithAdd|DeleteNonTerminalR|SubXD,AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchR|AddTreeWithDiv,SkipD,AddTreeWithAdd,1,2,3,3,4
3,x*x*x*x*3*x+1,25,-10,-0.03850095250716827,-0.0049083985441086934,-0.0384,0.0003694529771647068,7917.9014,7985.496645714286,8451.128,8373.07064,-0.96,0,0.00000006815658215586495,0.9999897775577853,211278.02000000002,166653.64,211278.2,211278.2,((((x)*(8))+((4)*(0)))*((3)*((0)+(1)))),((((1)/(5))+((5)*(x)))+((6)*((2)*((1)*(0))))),SkipD|DeleteMaliciousR|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithAdd,DeleteTerminalR|DeleteNonTerminalR|AddToLeafR|ReplaceBranchR|AddTreeWithDiv,AddTreeWithAdd,DeleteTerminalR,3,3,4,4,4
4,x*x*x*x*3*x+1,25,-10,-0.03840000068156582,-0.0049019419502662025,-0.0384,0.0005618544648714367,8451.1244,7984.290729166666,8451.128,8332.420399999999,-0.96,0.00003029181429992911,0,1.0000047082542545,211278.2,166648.90791666665,211278.2,211271.8,((((x)*(0))*((5)+(2)))*((x)*((3)*((x)+(1))))),((2)/((2)*(x))),SkipD|DeleteMaliciousR|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithAdd,DeleteTerminalR|DeleteNonTerminalR|AddToLeafR|ReplaceBranchR|AddTreeWithDiv,AddTreeWithAdd,DeleteTerminalR,3,4,5,5,4
5,x*x*x*x*3*x+1,25,-10,-0.03845112923150614,-0.014907171766381469,-0.0384,0.000857659170299096,8181.065700000001,7092.702963571429,8451.128,8269.923314285714,-0.96,0.0009136227562928194,0,1.154965267456205,211278.2,121974.17285714285,211278.2,211085.17142857143,(((0)*((0)*(x)))+((9)+((5)+(4)))),((((x)*(2))+((6)/((7)+(1))))+((4)*((0)*((1)+(7))))),SkipD|DeleteMaliciousR|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithAdd,DeleteTerminalR|AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchR|AddTreeWithDiv,AddTreeWithAdd,AddTreeWithAdd,5,5,6,6,4
6,x*x*x*x*3*x+1,25,-10,-0.03840011096270226,-0.01996906825016366,-0.0384,0.00011333871644116648,8450.5419,6659.4807959523805,8451.128,8427.182,-0.96,0.008380230426044891,0,1.1573070563325254,211278.2,121546.47,211278.2,209507.64,((((x)*(x))*((x)+(2)))*((8)+((6)*(0)))),((((8)*(6))*((x)+((2)*(5))))/((4)+((5)+((6)*(0))))),SkipD|DeleteMaliciousR|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithAdd,DeleteTerminalR|AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchR|AddTreeWithDiv,AddTreeWithAdd,AddTreeWithAdd,6,6,7,7,4
7,x*x*x*x*3*x+1,25,-10,-0.03840020111871457,-0.025000388662924686,-0.0384,0.00000150634160485112,8450.065700000001,6219.82014702381,8451.128,8450.809742857142,-0.96,0.000012968682997203641,0,1.1547043732155904,211278.2,122021.89833333335,211278.2,211275.46,((((0)*(0))*((4)+(0)))*((x)*((3)*((x)+(1))))),(((6)+((5)+(8)))+((x)/(4))),SkipD|DeleteMaliciousR|AddTreeWithAdd|ReplaceBranchR|AddTreeWithAdd,AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchR|AddTreeWithDiv,AddTreeWithAdd,AddTreeWithAdd,7,7,8,8,4
8,x*x*x*x*3*x+1,25,-10,-0.038259452172538386,-0.028164190886443428,-0.037795531995255545,0.00801314475416773,9193.4953,5385.59356,11643.900799999998,6758.1252,-0.9021055877984572,0.000010034163486930725,0.028950230233952403,1.154700210529209,287703.17000000004,122022.66,517073.88,211276.08,((((x)*(x))*((8)+((4)*(x))))*((6)+((6)*((0)+(9))))),(((2)*((4)+(7)))/((1)*(5))),SkipD|DeleteMaliciousR|AddTreeWithAdd|ReplaceBranchR|AddTreeWithAdd,AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchR|AddTreeWithDiv,AddTreeWithAdd,AddTreeWithAdd,7,8,9,9,4
9,x*x*x*x*3*x+1,25,-10,-0.03844714084084397,-0.015011297053301322,-0.03840000249907468,0.0013279628470897636,8202.1322,7117.452783333333,8451.1148,8170.5584,-0.96,0.0028769650631254224,0,1.1555324076058702,211278.2,121870.5,211278.2,210670.36,((((x)*(x))*((0)*(0)))+((0)*((x)-(8)))),((((x)/(1))*((4)*(4)))+((1)*((2)+((2)+(1))))),SkipD|DeleteMaliciousR|DeleteNonTerminalR|DeleteNonTerminalR|ReplaceBranchXR,AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchR|AddTreeWithDiv,DeleteNonTerminalR,AddTreeWithAdd,8,9,10,10,4
