gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x*3*x+1,25,-10,-0.048799976523843915,-0.011429883623086709,-0.0487999394163714,-0.011427605876990623,NaN,NaN,NaN,NaN,-0.95999394163714,0.2857994814420039,0.0000028753897405348933,0.00013202205916400505,211290.59999999998,211280,211310.2,211253,(((0)-((3)*(x)))-((x)-(x))),((x)+((0)*(x))),FellTreeD|AddTreeWithMult|AddTreeWithAdd|MutateTerminalR|DeleteNonTerminalR|AddToLeafR|SkipD|DeleteNonTerminalR|ReplaceBranchR|MutateTerminalR|SkipD|DeleteNonTerminalR|MutateTerminalR|DeleteMaliciousR|SubXD|SubXD|SubXD|MutateTerminalR|AddRandomSubTreeR|MutateTerminalR,MutateTerminalR|ReplaceBranchR|DeleteMaliciousR|MultXD|SkipD,MutateTerminalR,DeleteMaliciousR,0,0,1,1,4
1,x*x*x*x*3*x+1,25,-10,-0.038400019651814526,0.011431389987230105,-0.03839995486519669,0.011452336979665401,8451.024200000002,8450.294300000001,8451.3664,8444.098399999999,-0.96,0.2873037945771431,0,0.0010020418647839707,211278.2,211180.74,211278.2,210808.04,(0),(((0)+((9)*(9)))-((x)*(x))),FellTreeD|FellTreeD|AddTreeWithMult|AddRandomSubTreeR|MultXD|ReplaceBranchXR|SkipD|ReplaceBranchXR|MutateTerminalR|MutateTerminalR|AddToLeafR|AddTreeWithAdd|MutateNonTerminalR|ReplaceBranchR|AddRandomSubTreeR|SubXD|MutateTerminalR|AddTreeWithDiv|AddTreeWithSub|FellTreeD,SubXD|AddTreeWithMult|AddTreeWithAdd|MultXD|SkipD,FellTreeD,SubXD,1,1,2,2,4
2,x*x*x*x*3*x+1,25,-10,-0.0384,0.011440221606258611,-0.0384,0.01144861270928229,8451.128,8447.682,8451.128,8445.2,-0.96,0.28720886219482855,0,0.0003368505350181548,211278.2,210911.08,211278.2,210836.12,(0),(((8)*(5))+((4)*(x))),MutateTerminalR|SubXD|AddToLeafR|SubXD|SubXD|AddTreeWithMult|AddTreeWithSub|DeleteNonTerminalR|ReplaceBranchR|MutateTerminalR|SkipD|AddTreeWithAdd|SkipD|MultXD|MutateNonTerminalR|MultXD|MultXD|SubXD|AddTreeWithSub|FellTreeD,MutateTerminalR|AddTreeWithMult|AddTreeWithAdd|MultXD|SkipD,SubXD,MultXD,2,2,3,3,4
3,x*x*x*x*3*x+1,25,-10,-0.0384,0.011437055841201653,-0.0384,0.01144396751365194,8451.128,8448.6184,8451.128,8446.573999999999,-0.96,0.28688863444365903,0,0.0003386731756629604,211278.2,211045.52000000002,211278.2,210930.84,(0),(((0)+(8))*((7)*(x))),MutateTerminalR|SubXD|AddToLeafR|SubXD|SubXD|AddTreeWithMult|AddTreeWithSub|SubXD|MultXD|DeleteMaliciousR|AddXD|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR|MutateNonTerminalR|MultXD|MultXD|SubXD|AddTreeWithSub|FellTreeD,MutateTerminalR|AddTreeWithMult|AddTreeWithAdd|DivXD|AddToLeafR,SubXD,AddTreeWithAdd,3,3,4,4,4
4,x*x*x*x*3*x+1,25,-10,-0.0384,0.011447184666608155,-0.0384,0.011491337690576418,8451.128,8445.6224,8451.128,8432.5624,-0.96,0.29000571622763593,0,0.0021697339387459057,211278.2,210915.34000000003,211278.2,210008.84,(0),(((8)*((3)*(9)))-((x)*(x))),MutateTerminalR|SubXD|AddToLeafR|SubXD|SubXD|AddTreeWithMult|AddTreeWithSub|SubXD|MultXD|DeleteMaliciousR|AddXD|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR|MutateNonTerminalR|MultXD|MultXD|SubXD|AddTreeWithSub|FellTreeD,SubXD|AddTreeWithMult|AddTreeWithMult|MultXD|SkipD,SubXD,AddTreeWithMult,4,4,5,5,4
5,x*x*x*x*3*x+1,25,-10,-0.0384,0.011481736267293884,-0.0384,0.01156270736876781,8451.128,8435.402399999999,8451.128,8411.452000000001,-0.96,0.2941072819763569,0,0.0030204674495079315,211278.2,210071.44,211278.2,208795.64,(0),(((9)*(8))*((6)*(x))),DeleteNonTerminalR|SubXD|AddToLeafR|SubXD|SubXD|AddTreeWithMult|AddTreeWithSub|DeleteNonTerminalR|AddTreeWithSub|ReplaceBranchXR|AddXD|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR|MutateNonTerminalR|MultXD|MultXD|SubXD|AddTreeWithSub|FellTreeD,MutateTerminalR|AddTreeWithMult|AddTreeWithMult|MultXD|AddToLeafR,SubXD,AddTreeWithMult,5,5,6,6,4
6,x*x*x*x*3*x+1,25,-10,-0.0384,0.011494800964523821,-0.0384,0.01158597526862686,8451.128,8431.538,8451.128,8404.5696,-0.96,0.29087038524831915,0,0.0013124012102758238,211278.2,210253.38,211278.2,209753.08,(0),(((4)*(8))*((8)*(x))),DeleteNonTerminalR|SubXD|AddToLeafR|SubXD|SubXD|AddTreeWithMult|AddTreeWithSub|DeleteNonTerminalR|AddTreeWithSub|ReplaceBranchXR|AddXD|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR|MutateNonTerminalR|MultXD|MultXD|SubXD|AddTreeWithSub|FellTreeD,MutateTerminalR|AddTreeWithMult|AddTreeWithMult|ReplaceBranchR|SkipD,SubXD,AddTreeWithMult,6,6,7,7,4
7,x*x*x*x*3*x+1,25,-10,-0.0384,0.011503985199203162,-0.0384,0.011652782242289345,8451.128,8428.821399999999,8451.128,8384.8088,-0.96,0.2925329190206494,0,0.003102268663722498,211278.2,210545.98,211278.2,209261.32,(0),(((x)*(9))*((9)*(x))),MutateTerminalR|SubXD|AddToLeafR|SubXD|SubXD|AddTreeWithMult|AddTreeWithSub|SubXD|MultXD|DeleteMaliciousR|AddXD|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR|MutateNonTerminalR|MultXD|MultXD|SubXD|AddTreeWithSub|FellTreeD,MutateTerminalR|AddTreeWithMult|AddTreeWithMult|MultXD|SkipD,SubXD,AddTreeWithMult,7,7,8,8,4
8,x*x*x*x*3*x+1,25,-10,-0.0384,0.01149379687201857,-0.0384,0.011642764306560192,8451.128,8431.835,8451.128,8387.772,-0.96,0.2914589119261442,0,0.0022664343566873766,211278.2,210309.56,211278.2,209579,(0),(((4)*(9))*((8)*(x))),MutateTerminalR|SubXD|AddToLeafR|SubXD|SubXD|AddTreeWithMult|AddTreeWithSub|SubXD|MultXD|DeleteMaliciousR|AddXD|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR|MutateNonTerminalR|MultXD|MultXD|SubXD|AddTreeWithSub|FellTreeD,FellTreeD|AddTreeWithMult|AddTreeWithMult|MultXD|SkipD,SubXD,AddTreeWithMult,8,8,9,9,4
9,x*x*x*x*3*x+1,25,-10,-0.0384,0.011503108224132919,-0.0384,0.011677461957064867,8451.128,8429.0808,8451.128,8377.5088,-0.96,0.29543146700146333,0,0.0044664132168299965,211278.2,210375.72,211278.2,208403.96,(0),(((7)*(8))*((9)*(x))),DeleteNonTerminalR|SubXD|AddToLeafR|SubXD|SubXD|AddTreeWithMult|AddTreeWithSub|DeleteNonTerminalR|AddTreeWithSub|DeleteMaliciousR|AddXD|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR|MutateNonTerminalR|MultXD|MultXD|SubXD|AddTreeWithSub|FellTreeD,MutateTerminalR|AddTreeWithMult|AddTreeWithMult|MultXD|SkipD,SubXD,AddTreeWithMult,9,9,10,10,4
10,x*x*x*x*3*x+1,25,-10,-0.0384,0.011501100039122416,-0.0384,0.011638407153628315,8451.128,8429.6748,8451.128,8389.0608,-0.96,0.29510042074518666,0,0.004058345651477157,211278.2,210270.38,211278.2,208501.88,(0),(((9)*(6))*((9)*(x))),MutateTerminalR|SubXD|AddToLeafR|SubXD|SubXD|AddTreeWithMult|AddTreeWithSub|DeleteNonTerminalR|AddTreeWithSub|ReplaceBranchXR|AddXD|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR|MutateNonTerminalR|MultXD|MultXD|SubXD|AddTreeWithSub|FellTreeD,MutateTerminalR|AddTreeWithMult|AddTreeWithMult|MultXD|SkipD,SubXD,AddTreeWithMult,10,10,11,11,4
