gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x*3*x+1,25,-10,-0.03840280184373021,-0.01713823047109947,-0.038400001524056905,-0.011416715361208927,8436.328787499999,6218.369479166667,8451.11995,6662.5091,-0.9599989473594531,-2,0.0000005407640355434752,0,211279.62,32767,211283.76,32767,((9)-(x)),((((x)*((4)*(x)))*(((x)*(x))-((9)-(6))))+(((9)*(9))/((3)*((1)*((6)/(x)))))),MultXD|FellTreeD|AddTreeWithMult|ReplaceBranchR|MutateTerminalR,AddTreeWithMult|MutateNonTerminalR|AddTreeWithMult|AddRandomSubTreeR|DivXD,ReplaceBranchR,AddTreeWithMult,0,0,1,1,1
1,x*x*x*x*3*x+1,25,-10,-0.03839063130980858,0.011456178225134981,-0.03833380004184057,0.011575313631843836,8500.613000000001,8442.9622,8800.7932,8407.7232,-0.9533798602979389,0.2911513959184755,0.004020436284572629,0.0025634528036787983,216229.95,210735.64,246245.48,209669.96,((((0)-(4))*((8)*((2)*(x))))*(((3)*(x))+((x)*((5)+(x))))),((((0)-((4)*(4)))+((5)*((3)*(x))))+(((x)*(5))+((x)*((0)*(x))))),AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithMult|ReplaceBranchR|AddXD,MultXD|DeleteTerminalR|ReplaceBranchR|MultXD|DeleteTerminalR,AddRandomSubTreeR,MultXD,1,1,2,2,1
2,x*x*x*x*3*x+1,25,-10,-0.03840003014035523,0.011428179933917862,-0.03840001454007086,0.011449835200359389,8450.9688,8451.2438,8451.051200000002,8444.8384,-0.9600000378647678,0.2864796949506115,0.00000003572155062363471,0.0003760460022649253,211277.83000000002,211218.4,211278,211051.8,((1)-(0)),(((9)+((0)*(7)))*((x)*(x))),MultXD|FellTreeD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR,MultXD|DeleteTerminalR|ReplaceBranchR|MultXD|DeleteTerminalR,MultXD,MultXD,2,2,3,3,1
3,x*x*x*x*3*x+1,25,-10,-0.03840000206362984,0.01142931993389352,-0.0384,0.011431135414281804,8451.117100000001,8450.906599999998,8451.128,8450.3696,-0.96,0.2858424849998045,0.00000006815658215586495,0.000049423113908774934,211278.02000000002,211265.54,211278.2,211240.28,((0)-(0)),((6)-((0)*(x))),MultXD|FellTreeD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR,MultXD|DeleteTerminalR|ReplaceBranchR|MultXD|DeleteTerminalR,FellTreeD,MultXD,3,3,4,4,1
4,x*x*x*x*3*x+1,25,-10,-0.038399976012669555,0.011443097300147387,-0.0383998913281162,0.01147694366953145,8451.2547,8446.831400000001,8451.702,8436.82,-0.95998913281162,0.2897660863395141,0.0000055502995107029045,0.001926663422619887,211291.77000000002,210916.06,211335.6,210079.72,((1)-((9)*(x))),(((8)*((6)-(0)))*((x)*(x))),MultXD|FellTreeD|AddTreeWithMult|ReplaceBranchR|AddTreeWithMult,MultXD|DeleteTerminalR|AddTreeWithMult|SkipD|DeleteTerminalR,AddTreeWithMult,DeleteTerminalR,4,4,5,5,1
5,x*x*x*x*3*x+1,25,-10,-0.03840001501338046,-0.005713540251668183,-0.03839995713708277,0.011434535129511703,8451.048700000001,7112.073500000001,8451.3544,8449.364,-0.96,0.2860124707612995,0.00000005154802940850523,1.1430062353806496,211277.98,77372.75,211278.2,211190,((2)*(0)),(((7)*((0)*(4)))+((x)/((2)*(x)))),MultXD|FellTreeD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR,AddTreeWithDiv|DeleteTerminalR|AddTreeWithMult|MultXD|DeleteTerminalR,MultXD,DeleteTerminalR,5,5,6,6,1
6,x*x*x*x*3*x+1,25,-10,-0.03840000533893227,0.005716593436656365,-0.0384,0.011437802318054042,8451.0998,8004.167400000001,8451.128,8448.3976,-0.96,0.285757559734714,0.00000004642617913693596,1.142864355375942,211277.89,166647.2,211278.2,211265.4,((7)*(0)),(((2)-((0)*(9)))/((8)*(x))),MultXD|FellTreeD|AddTreeWithSub|ReplaceBranchR|DeleteTerminalR,MultXD|DeleteTerminalR|AddTreeWithMult|AddTreeWithDiv|DeleteTerminalR,FellTreeD,DeleteTerminalR,6,6,7,7,1
7,x*x*x*x*3*x+1,25,-10,-0.038400002820925205,0.011439932887403565,-0.0384,0.011469327441936067,8451.1131,8447.7674,8451.128,8439.0728,-0.96,0.2876142856737162,0.000000028587272872259865,0.000949999979715288,211277.99,211137.7,211278.2,210716.2,((5)*(0)),(((x)+(0))*((x)*(x))),MultXD|FellTreeD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR,MultXD|DeleteTerminalR|ReplaceBranchR|MultXD|DeleteTerminalR,MultXD,MultXD,7,7,8,8,1
8,x*x*x*x*3*x+1,25,-10,-0.038400008405978465,0.01142900146414943,-0.0384,0.01143029157088345,8451.0836,8451.000800000002,8451.128,8450.6192,-0.96,0.2858002928298869,0.00000006978494870988364,0.000043003557800624925,211277.79,211271.84000000003,211278.2,211252.76,((x)*(0)),((4)+((0)*(x))),SubXD|FellTreeD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR,MultXD|DeleteTerminalR|ReplaceBranchR|MultXD|DeleteTerminalR,SubXD,MultXD,8,8,9,9,1
9,x*x*x*x*3*x+1,25,-10,-0.03840000581224187,0.011440893705888387,-0.03840000113594304,0.011504571426948648,8451.0973,8447.4832,8451.122,8428.648000000001,-0.96,0.2876142856737162,0.000000053548868319682056,0.0009016647037856884,211278,211106.22,211278.2,210716.2,((3)*(0)),(((x)+(0))*((x)*(x))),MultXD|FellTreeD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR,MultXD|DeleteTerminalR|ReplaceBranchR|MultXD|DeleteTerminalR,DeleteTerminalR,MultXD,9,9,10,10,1
10,x*x*x*x*3*x+1,25,-10,-0.03840000473309599,0.011429802033527357,-0.0384,0.011432628367986579,8451.103000000001,8450.764,8451.128,8449.928,-0.96,0.28592686933963973,0.00000007194305895463769,0.00010319097416633459,211278.01,211260.88,211278.2,211215.32,((4)*(0)),(((2)+(8))+((0)*(x))),MultXD|FellTreeD|ReplaceBranchXR|ReplaceBranchR|AddTreeWithSub,MutateTerminalR|DeleteTerminalR|ReplaceBranchR|MultXD|DeleteTerminalR,MultXD,DeleteTerminalR,10,10,11,11,1
11,x*x*x*x*3*x+1,25,-10,-0.03840000136313164,0.011436464880360177,-0.03839998409679749,0.011469979256868768,8451.120799999999,8448.7932,8451.212,8438.88,-0.9599984096797494,0.2876142856737162,0.0000012133516576368468,0.000949999979715288,211278.18,211137.7,211286.6,210716.2,((1)-((x)+(9))),(((x)+(0))*((x)*(x))),MultXD|FellTreeD|AddTreeWithMult|ReplaceBranchR|AddTreeWithAdd,MultXD|DeleteTerminalR|ReplaceBranchR|MultXD|DeleteTerminalR,MultXD,MultXD,11,11,12,12,1
12,x*x*x*x*3*x+1,25,-10,-0.03840000524427035,0.011426804631456127,-0.03839999666790042,0.011434746090361294,8451.1003,8451.6506,8451.1456,8449.301599999999,-0.96,0.285905773254681,0.00000006815658215586495,0.00009282504340746503,211278.02000000002,211256.12,211278.2,211221.56,((8)*(0)),((9)-((0)*(x))),AddTreeWithMult|FellTreeD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR,MultXD|DeleteTerminalR|ReplaceBranchR|MultXD|DeleteTerminalR,AddTreeWithMult,MultXD,12,12,13,13,1
13,x*x*x*x*3*x+1,25,-10,-0.038400001703914555,0.011432138154473916,-0.0384,0.011441339969224055,8451.119,8450.073,8451.128,8447.351200000001,-0.96,0.28639476968552086,0,0.0003285069237129919,211278.2,211221.58000000002,211278.2,211076.92,((0)-(0)),(((8)+(0))*((x)*(x))),AddTreeWithMult|FellTreeD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR,MultXD|DeleteTerminalR|ReplaceBranchR|MultXD|DeleteTerminalR,AddTreeWithMult,MultXD,13,13,14,14,1
14,x*x*x*x*3*x+1,25,-10,-0.0384000062476867,0.01142953224705625,-0.0384,0.011432414702510716,8451.095,8450.8438,8451.128,8449.991199999999,-0.96,0.2858846771697222,0,0.00008519572771828467,211278.2,211265.6,211278.2,211227.8,(0),((8)-((0)*(x))),AddTreeWithMult|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|DeleteTerminalR,MultXD|DeleteTerminalR|ReplaceBranchR|MultXD|DeleteTerminalR,AddTreeWithMult,MultXD,14,14,15,15,1
15,x*x*x*x*3*x+1,25,-10,-0.038400000359715296,0.011429482887626699,-0.0384,0.011431148937413189,8451.126100000001,8450.8584,8451.128,8450.3656,-0.96,0.2858424849998045,0,0.00006405469254310595,211278.2,211262.41999999998,211278.2,211240.28,(0),((6)+((0)*(x))),AddTreeWithMult|FellTreeD|AddTreeWithMult|FellTreeD|DeleteTerminalR,MultXD|DeleteTerminalR|ReplaceBranchR|MultXD|DeleteTerminalR,FellTreeD,MultXD,15,15,16,16,1
16,x*x*x*x*3*x+1,25,-10,-0.0384,0.011430818296850854,-0.0384,0.011435176125939299,8451.128,8450.4634,8451.128,8449.1744,-0.96,0.285905773254681,0,0.00008383876133026548,211278.2,211257.64,211278.2,211221.56,(0),((9)-((0)*(x))),AddTreeWithMult|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|DeleteTerminalR,MultXD|DeleteTerminalR|ReplaceBranchR|MultXD|DeleteTerminalR,AddTreeWithMult,MultXD,16,16,17,17,1
17,x*x*x*x*3*x+1,25,-10,-0.0384,0.011429322638519798,-0.0384,0.011431143528160633,8451.128,8450.9058,8451.128,8450.3672,-0.96,0.2857994814420039,0,0.000036826228860438755,211278.2,211268.7,211278.2,211253,(0),((x)-((0)*(x))),AddTreeWithMult|FellTreeD|AddTreeWithMult|FellTreeD|DeleteTerminalR,MultXD|DeleteTerminalR|ReplaceBranchR|MultXD|DeleteTerminalR,AddTreeWithMult,MultXD,17,17,18,18,1
18,x*x*x*x*3*x+1,25,-10,-0.0384,0.011430120503271446,-0.0384,0.011434105093933698,8451.128,8450.6698,8451.128,8449.491199999999,-0.96,0.2858846771697222,0,0.00008416951670950225,211278.2,211257.68,211278.2,211227.8,(0),((8)+((0)*(x))),AddTreeWithMult|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|MutateNonTerminalR,MultXD|DeleteTerminalR|ReplaceBranchR|MultXD|DeleteTerminalR,AddTreeWithMult,MultXD,18,18,19,19,1
19,x*x*x*x*3*x+1,25,-10,-0.0384,0.011430178652736399,-0.0384,0.01143200089469037,8451.128,8450.6526,8451.128,8450.1136,-0.96,0.2858424849998045,0,0.00006152375833259561,211278.2,211256.03999999998,211278.2,211240.28,(0),((6)+((0)*(x))),AddTreeWithMult|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|MutateNonTerminalR,MultXD|DeleteTerminalR|ReplaceBranchR|MultXD|DeleteTerminalR,AddTreeWithMult,MultXD,19,19,20,20,1
20,x*x*x*x*3*x+1,25,-10,-0.0384,0.011430444382268088,-0.0384,0.011433488439142592,8451.128,8450.574,8451.128,8449.673600000002,-0.96,0.2858424849998045,0,0.00002123476137692958,211278.2,211249.7,211278.2,211240.28,(0),((6)+((0)*(x))),AddTreeWithMult|FellTreeD|AddTreeWithMult|FellTreeD|DeleteTerminalR,MultXD|DeleteTerminalR|ReplaceBranchR|MultXD|DeleteTerminalR,AddTreeWithMult,MultXD,20,20,21,21,1
21,x*x*x*x*3*x+1,25,-10,-0.0384,0.011430444382268088,-0.0384,0.011434121321691358,8451.128,8450.573999999999,8451.128,8449.4864,-0.96,0.28586358108476334,0,0.00007267396735050421,211278.2,211260.8,211278.2,211234.04,(0),((7)-((0)*(x))),DivXD|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|MutateNonTerminalR,MultXD|DeleteTerminalR|ReplaceBranchR|MultXD|DeleteTerminalR,MutateNonTerminalR,MultXD,21,21,22,22,1
22,x*x*x*x*3*x+1,25,-10,-0.0384,0.01142985747836603,-0.0384,0.01143412132169136,8451.128,8450.7476,8451.128,8449.4864,-0.96,0.2858846771697222,0,0.00008222464227499493,211278.2,211264,211278.2,211227.8,(0),((8)-((0)*(x))),AddTreeWithMult|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|AddRandomSubTreeR,AddTreeWithMult|DeleteTerminalR|ReplaceBranchR|MultXD|DeleteTerminalR,AddTreeWithMult,DeleteTerminalR,22,22,23,23,1
23,x*x*x*x*3*x+1,25,-10,-0.0384,0.011430440325328674,-0.0384,0.011433472211384934,8451.128,8450.5752,8451.128,8449.6784,-0.96,0.285905773254681,0,0.00007844908268315619,211278.2,211248.19999999998,211278.2,211221.56,(0),((9)+((0)*(x))),AddTreeWithMult|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|MutateNonTerminalR,MultXD|DeleteTerminalR|ReplaceBranchR|MultXD|DeleteTerminalR,AddTreeWithMult,MultXD,23,23,24,24,1
24,x*x*x*x*3*x+1,25,-10,-0.0384,0.011431823741669242,-0.0384,0.011435809008488063,8451.128,8450.166,8451.128,8448.9872,-0.96,0.2858846771697222,0,0.00006344813444407818,211278.2,211248.16,211278.2,211227.8,(0),((8)-((0)*(x))),AddTreeWithMult|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|MutateNonTerminalR,MultXD|DeleteTerminalR|ReplaceBranchR|MultXD|DeleteTerminalR,AddTreeWithMult,MultXD,24,24,25,25,1
25,x*x*x*x*3*x+1,25,-10,-0.0384,0.011430326054868482,-0.0384,0.011437074773585592,8451.128,8450.609,8451.128,8448.612799999999,-0.96,0.2858846771697222,0,0.00008416951670950227,211278.2,211257.68,211278.2,211227.8,(0),((8)-((0)*(x))),AddTreeWithMult|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|MutateNonTerminalR,MultXD|DeleteTerminalR|ReplaceBranchR|MultXD|DeleteTerminalR,AddTreeWithMult,MultXD,25,25,26,26,1
26,x*x*x*x*3*x+1,25,-10,-0.0384,0.011428495699035677,-0.0384,0.011433485734516316,8451.128,8451.1504,8451.128,8449.6744,-0.96,0.2858002928298869,0,0.00004300355780062493,211278.2,211271.84000000003,211278.2,211252.76,(0),((4)+((0)*(x))),AddTreeWithMult|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|DeleteTerminalR,MultXD|DeleteTerminalR|ReplaceBranchR|MultXD|DeleteTerminalR,AddTreeWithMult,MultXD,26,26,27,27,1
27,x*x*x*x*3*x+1,25,-10,-0.0384,0.011430917691866525,-0.0384,0.01143389413308411,8451.128,8450.434,8451.128,8449.5536,-0.96,0.285905773254681,0,0.00008236919233226806,211278.2,211249.78,211278.2,211221.56,(0),((9)-((0)*(x))),AddTreeWithMult|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|DeleteNonTerminalR,MultXD|DeleteTerminalR|ReplaceBranchR|MultXD|DeleteTerminalR,AddTreeWithMult,MultXD,27,27,28,28,1
28,x*x*x*x*3*x+1,25,-10,-0.0384,0.011430916339553385,-0.0384,0.011435387086788889,8451.128,8450.4344,8451.128,8449.112,-0.96,0.285905773254681,0,0.00010481988409706995,211278.2,211251.44,211278.2,211221.56,(0),((9)+((0)*(x))),AddTreeWithMult|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|DeleteNonTerminalR,AddTreeWithSub|ReplaceBranchR|ReplaceBranchR|MultXD|DeleteTerminalR,AddTreeWithMult,ReplaceBranchR,28,28,29,29,1
29,x*x*x*x*3*x+1,25,-10,-0.0384,0.011429694524632857,-0.0384,0.011433699399992184,8451.128,8450.7958,8451.128,8449.6112,-0.96,0.28586358108476334,0,0.00007077043694152703,211278.2,211262.38,211278.2,211234.04,(0),((7)-((0)*(x))),AddTreeWithMult|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|DeleteNonTerminalR,AddTreeWithSub|ReplaceBranchR|ReplaceBranchR|MultXD|DeleteTerminalR,AddTreeWithMult,ReplaceBranchR,29,29,30,30,1
30,x*x*x*x*3*x+1,25,-10,-0.0384,0.011430814916068005,-0.0384,0.011435809008488063,8451.128,8450.464399999999,8451.128,8448.9872,-0.96,0.285905773254681,0,0.00009583426365072319,211278.2,211254.56,211278.2,211221.56,(0),((9)-((0)*(x))),AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|DeleteNonTerminalR|DeleteNonTerminalR,AddTreeWithSub|ReplaceBranchR|ReplaceBranchR|MultXD|DeleteTerminalR,AddTreeWithMult,ReplaceBranchR,30,30,31,31,1
31,x*x*x*x*3*x+1,25,-10,-0.0384,0.011429963634947393,-0.0384,0.01143496516508971,8451.128,8450.7162,8451.128,8449.236799999999,-0.96,0.285905773254681,0,0.00009094665292363209,211278.2,211257.68,211278.2,211221.56,(0),((9)-((0)*(x))),AddTreeWithMult|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|DeleteNonTerminalR,AddTreeWithSub|ReplaceBranchR|ReplaceBranchR|MultXD|DeleteTerminalR,AddTreeWithMult,ReplaceBranchR,31,31,32,32,1
32,x*x*x*x*3*x+1,25,-10,-0.0384,0.011432823101078507,-0.0384,0.011438129577833531,8451.128,8449.8704,8451.128,8448.3008,-0.96,0.286222214529063,0,0.0002746888538116436,211278.2,211215.63999999998,211278.2,211127.96,(0),(((8)*(4))-((8)*(x))),AddTreeWithMult|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|DeleteNonTerminalR,AddTreeWithSub|DeleteTerminalR|ReplaceBranchR|MultXD|AddTreeWithMult,AddTreeWithMult,AddTreeWithSub,32,32,33,33,1
33,x*x*x*x*3*x+1,25,-10,-0.0384,0.011447003794725897,-0.0384,0.011490988793786714,8451.128,8445.6759,8451.128,8432.6656,-0.96,0.29026914682699323,0,0.0022744377004638846,211278.2,210940.05000000002,211278.2,209930.92,(0),(((9)*(6))*((x)*(x))),AddTreeWithMult|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|DeleteNonTerminalR,AddTreeWithSub|DeleteTerminalR|ReplaceBranchR|MultXD|AddTreeWithMult,AddTreeWithMult,DeleteTerminalR,33,33,34,34,1
34,x*x*x*x*3*x+1,25,-10,-0.0384,0.011452767691399976,-0.0384,0.011495862530337454,8451.128,8443.971000000001,8451.128,8431.224,-0.96,0.2891302287018456,0,0.0013364003632074125,211278.2,210816.8,211278.2,210267.8,(0),(((7)*(4))*((6)*(x))),AddTreeWithMult|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|DeleteNonTerminalR,AddTreeWithSub|DeleteTerminalR|ReplaceBranchR|AddTreeWithAdd|AddTreeWithMult,AddTreeWithMult,AddTreeWithSub,34,34,35,35,1
35,x*x*x*x*3*x+1,25,-10,-0.0384,0.011434867798543746,-0.0384,0.011483139968331528,8451.128,8449.265599999999,8451.128,8434.9872,-0.96,0.2902510258309389,0,0.0026551743830199696,211278.2,211081.44,211278.2,209936.28,(0),(((4)*(8))*((7)*(x))),AddTreeWithMult|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|DeleteNonTerminalR,AddTreeWithSub|DeleteTerminalR|ReplaceBranchR|ReplaceBranchR|AddTreeWithMult,DeleteNonTerminalR,ReplaceBranchR,35,35,36,36,1
36,x*x*x*x*3*x+1,25,-10,-0.0384,0.01145837798784009,-0.0384,0.011594970855623396,8451.128,8442.311533333334,8451.128,8401.9088,-0.96,0.2914589119261442,0,0.0027284140653945728,211278.2,210773.96000000002,211278.2,209579,(0),(((6)*(8))*((6)*(x))),AddTreeWithMult|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|DeleteNonTerminalR,DeleteNonTerminalR|DeleteTerminalR|ReplaceBranchR|MultXD|AddTreeWithMult,AddTreeWithMult,AddTreeWithMult,36,36,37,37,1
37,x*x*x*x*3*x+1,25,-10,-0.0384,0.011451247353354147,-0.0384,0.011499450217093588,8451.128,8444.4207,8451.128,8430.162799999998,-0.96,0.29087038524831915,0,0.0024200469015907603,211278.2,210779.78,211278.2,209753.08,(0),(((8)*(4))*((8)*(x))),AddTreeWithMult|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|DeleteNonTerminalR,AddTreeWithSub|DeleteTerminalR|ReplaceBranchR|MultXD|AddTreeWithMult,AddTreeWithMult,MultXD,37,37,38,38,1
38,x*x*x*x*3*x+1,25,-10,-0.0384,0.011456063616596505,-0.0384,0.011607322883829404,8451.128,8442.9961,8451.128,8398.2552,-0.96,0.2921210044386974,0,0.0032627863048666785,211278.2,210823.71999999997,211278.2,209383.16,(0),(((9)*(9))*((4)*(x))),AddTreeWithMult|FellTreeD|DeleteMaliciousR|DeleteNonTerminalR|DeleteNonTerminalR,AddTreeWithSub|DeleteTerminalR|ReplaceBranchR|MultXD|AddTreeWithMult,DeleteNonTerminalR,DeleteTerminalR,38,38,39,39,1
39,x*x*x*x*3*x+1,25,-10,-0.0384,0.011459817299790375,-0.0384,0.01154719633707054,8451.128,8441.8858,8451.128,8416.04,-0.96,0.29057125358210845,0,0.002707882745250277,211278.2,210881.90000000002,211278.2,209841.56,(0),(((5)*(6))*((8)*(x))),AddTreeWithMult|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|DeleteNonTerminalR,AddTreeWithSub|DeleteTerminalR|ReplaceBranchR|MultXD|AddTreeWithMult,AddTreeWithMult,AddTreeWithSub,39,39,40,40,1
40,x*x*x*x*3*x+1,25,-10,-0.0384,0.011440430538638491,-0.0384,0.01151464345520334,8451.128,8447.6202,8451.128,8425.6688,-0.96,0.2891302287018456,0,0.0016861775992684752,211278.2,211015.48,211278.2,210267.8,(0),(((7)*(6))*((4)*(x))),AddTreeWithMult|FellTreeD|DeleteNonTerminalR|DeleteNonTerminalR|DeleteNonTerminalR,AddTreeWithSub|DeleteTerminalR|ReplaceBranchR|MultXD|AddTreeWithMult,DeleteNonTerminalR,AddTreeWithSub,40,40,41,41,1
41,x*x*x*x*3*x+1,25,-10,-0.0384,0.011452609470762787,-0.0384,0.011526489718295592,8451.128,8444.0178,8451.128,8422.1648,-0.96,0.2921210044386974,0,0.0032522655950094482,211278.2,210825.75999999998,211278.2,209383.16,(0),(((4)*(9))*((9)*(x))),AddTreeWithMult|FellTreeD|DeleteNonTerminalR|DeleteNonTerminalR|DeleteNonTerminalR,AddTreeWithAdd|DeleteTerminalR|ReplaceBranchR|MultXD|AddTreeWithMult,DeleteNonTerminalR,AddTreeWithAdd,41,41,42,42,1
