gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x*3*x+1,25,-10,-0.039292277152835384,0.0057407280565443565,-0.020871830829409174,0.011535318520005057,NaN,NaN,257764.56479999996,8419.553333333333,0.789786448226993,0.28571428571428564,0.8772346096319253,0,6421755.079999999,211278.2,25126615.08,211278.2,((((x)*((3)*(x)))*((x)*((x)*(7))))+(((3)*(x))+((0)+((x)*(x))))),(0),AddXD|AddTreeWithMult|MultXD|AddTreeWithAdd|DeleteMaliciousR,SubXD|ReplaceBranchR|AddTreeWithDiv|DivXD|FellTreeD,AddXD,AddTreeWithDiv,0,0,1,1,3
1,x*x*x*x*3*x+1,25,-10,-0.030434210246396115,0.011428598136755907,-0.007771711331886191,0.011429209720372743,71103.9874,8451.1201,252540.03599999996,8450.9392,0.6082095035120586,0.2857462003043515,0.7903795335319406,0.000021242474948137013,3480624.4199999995,211277.41,13481580.2,211268.76,((((x)*((x)*(0)))-((9)*((x)*(3))))*(((x)+(9))*((8)+((x)*(x))))),((2)*((x)-(6))),AddXD|AddTreeWithMult|MultXD|AddRandomSubTreeR|DeleteMaliciousR,FellTreeD|DeleteMaliciousR|SkipD|AddTreeWithMult|AddTreeWithSub,DeleteMaliciousR,SkipD,1,1,2,2,3
2,x*x*x*x*3*x+1,25,-10,-0.02983270120230169,0.011428245859183362,-0.010948565884414714,0.011428628225723238,58235.4372,8451.2243,171577.25759999998,8451.1112,0.43885845456817196,0.28571428571428564,0.6994308176079527,0,2511664.6999999997,211278.2,9412874.6,211278.2,((((x)*((x)*(x)))*((7)*((8)*(3))))*(((0)+(0))-((9)+((x)*(x))))),(0),AddXD|AddTreeWithMult|MultXD|AddRandomSubTreeR|DeleteMaliciousR,AddXD|FellTreeD|SkipD|AddToLeafR|FellTreeD,AddXD,FellTreeD,2,2,3,3,3
3,x*x*x*x*3*x+1,25,-10,-0.032884209491905486,0.01142853863497782,-0.02040865773889984,0.011428578190137118,69179.04819999999,8451.137700000001,229855.63999999996,8451.126,0.7591357861384522,0.28571428571428564,0.8136585169581025,0,6205752.3,211278.2,21929181.24,211278.2,((((x)*((x)*(x)))*((x)*((x)+(x))))*(((x)+(1))+((3)*((0)*(x))))),(0),AddXD|AddTreeWithMult|MultXD|AddTreeWithAdd|DeleteMaliciousR,FellTreeD|DeleteMaliciousR|SkipD|AddToLeafR|FellTreeD,AddXD,FellTreeD,3,3,4,4,3
4,x*x*x*x*3*x+1,25,-10,-0.02983068392002579,0.011428571428571425,-0.004122079407946333,0.011428571428571425,95558.36460000002,8451.128,356883.54079999996,8451.128,0.780125714913675,0.28571428571428564,0.8700694080828844,0,6164060.16,211278.2,24022613.64,211278.2,((((x)*((x)*(x)))*((x)*((x)*(3))))*(((x)+(1))+((x)*((9)+(0))))),(0),AddRandomSubTreeR|AddTreeWithMult|MultXD|AddTreeWithAdd|DeleteMaliciousR,AddXD|FellTreeD|AddTreeWithSub|AddToLeafR|FellTreeD,AddRandomSubTreeR,FellTreeD,4,4,5,5,3
5,x*x*x*x*3*x+1,25,-10,-0.03186631787331919,0.011428571428571425,-0.017408603308863978,0.011428571428571425,44310.8682,8451.128,124723.24160000001,8451.128,0.27261034805728873,0.28571428571428564,0.5618163472139336,0,2653082.46,211278.2,7261520.68,211278.2,((((x)*((6)*(4)))*((x)*((x)*(3))))*(((x)+(1))+((0)*((9)+(7))))),(0),SkipD|AddTreeWithMult|MultXD|AddTreeWithAdd|DeleteMaliciousR,AddTreeWithDiv|DeleteMaliciousR|AddTreeWithSub|AddToLeafR|FellTreeD,AddTreeWithAdd,AddTreeWithDiv,5,5,6,6,3
6,x*x*x*x*3*x+1,25,-10,-0.03323322498488857,0.011428571428571425,-0.018793547218828713,0.011428571428571425,42069.030199999994,8451.128,137320.4456,8451.128,0.49292093741373366,0.28571428571428564,0.726462854187243,0,2762547.96,211278.2,10416432.84,211278.2,((((x)*((x)*(x)))*((3)+((x)*(3))))*(((x)+(4))*((8)+((0)*(x))))),(0),AddXD|AddTreeWithMult|MultXD|AddTreeWithAdd|DeleteMaliciousR,FellTreeD|DeleteMaliciousR|AddTreeWithSub|AddToLeafR|FellTreeD,AddXD,FellTreeD,6,6,7,7,3
7,x*x*x*x*3*x+1,25,-10,-0.020017258911678396,0.011428571428571425,0.0071917933077509785,0.011428571428571425,160819.0534,8451.128,459454.69599999994,8451.128,0.7746694196035626,0.28571428571428564,0.7135873435272723,0,7964676.18,211278.2,23440915.08,211278.2,((((x)*((x)*(x)))*((x)*((7)*(4))))*(((x)+(0))+((4)+((2)*(x))))),(0),AddXD|AddTreeWithMult|MultXD|AddTreeWithAdd|DeleteMaliciousR,AddTreeWithAdd|FellTreeD|AddTreeWithSub|AddTreeWithAdd|FellTreeD,AddXD,AddTreeWithAdd,7,7,8,8,3
8,x*x*x*x*3*x+1,25,-10,-0.027750856620014024,0.011428571428571425,-0.011394005044243025,0.011428571428571425,91951.76779999999,8451.128,260104.95279999997,8451.128,0.7368187403123981,0.28571428571428564,0.806469696729401,0,5651234.859999999,211278.2,20069647.08,211278.2,((((x)*((2)*(x)))*((x)*((x)*(7))))+(((5)*(x))+((0)+((x)*(x))))),(0),AddXD|AddTreeWithMult|MultXD|AddTreeWithAdd|DeleteMaliciousR,FellTreeD|DeleteMaliciousR|AddTreeWithSub|AddToLeafR|FellTreeD,AddXD,FellTreeD,8,8,9,9,3
9,x*x*x*x*3*x+1,25,-10,-0.020047477374738453,0.011428571428571425,0.01763755052295096,0.011428571428571425,203179.75559999997,8451.128,695604.6640000001,8451.128,0.8517947204506371,0.28571428571428564,0.8650301743954908,0,10329480.8,211278.2,35639452.36,211278.2,((((x)*((x)*(x)))*((x)*((3)*(9))))*(((9)+(x))+((0)+((x)*(x))))),(0),AddTreeWithDiv|AddTreeWithMult|MultXD|AddTreeWithAdd|DeleteMaliciousR,AddXD|DeleteMaliciousR|AddTreeWithSub|AddToLeafR|AddXD,AddTreeWithDiv,AddXD,9,9,10,10,3
10,x*x*x*x*3*x+1,25,-10,-0.03275825971087788,0.011428571428571425,-0.015432415665161837,0.011428571428571425,39911.565,8451.128,136408.9496,8451.128,0.2888388973290958,0.28571428571428564,0.6313675807477279,0,1962445.48,211278.2,7427227.08,211278.2,((((x)*((x)*(x)))*((x)*((1)+(8))))*(((x)+(0))*((3)+((x)*(x))))),(0),AddXD|AddTreeWithMult|MultXD|AddTreeWithAdd|DeleteMaliciousR,AddXD|DeleteMaliciousR|AddTreeWithSub|AddToLeafR|FellTreeD,AddTreeWithAdd,AddXD,10,10,11,11,3
