gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x*3*x+1,25,-10,-0.03802482688701437,0.005410053894837422,-0.036799991139644314,0.011507991426875627,10432.7755,27679.843087500005,16902.3028,8427.6364,-0.799999000370128,0.2858424849998045,0.08178402064348135,0.00006457990235417251,409481.43,211268.08,1056396.28,211240.28,((((x)*(x))*((9)+((9)*(x))))*((x)+((0)*((x)+(x))))),(((6)*((x)*(4)))*((0)*((5)+(x)))),MultXD|ReplaceBranchXR|AddTreeWithAdd|SkipD|AddXD,AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithMult|MutateNonTerminalR|AddRandomSubTreeR,SkipD,AddRandomSubTreeR,0,0,1,1,4
1,x*x*x*x*3*x+1,25,-10,-0.0361164358461971,0.011452738954745785,-0.029601734282098197,0.011565352493266495,20512.8111,8443.9795,54923.1716,8410.6696,-0.35095179720387626,0.2991181430793278,0.2967334740500025,0.00659588020008845,1085637.66,210239.05,3428243.4,207313.48,((((x)*(7))*((x)*((x)*(3))))*(((x)+(8))+((x)*((x)+(x))))),((((4)+((3)*(x)))*((x)*((x)+(0))))+(((5)*(5))-((1)+((x)-(x))))),MultXD|ReplaceBranchXR|AddTreeWithAdd|MultXD|AddXD,AddTreeWithMult|AddToLeafR|DeleteMaliciousR|SubXD|AddRandomSubTreeR,MultXD,AddTreeWithMult,1,1,2,2,4
2,x*x*x*x*3*x+1,25,-10,-0.035553751915720605,0.008893531471965133,-0.026570590169738287,0.013293638435011277,23484.8823,12479.238199999998,70933.5384,7899.4608,-0.4799993032882711,0.3181495163384444,0.23981952941201334,0.016223887787665477,846554.79,208882.47999999998,2746620.28,201684.2,((((x)*(4))+((3)*((x)*(x))))*(((3)*(x))*((2)*((x)+(x))))),((((x)+((0)+(4)))*(((9)*(x))*((0)*(3))))*(((x)+((4)*(6)))*((x)+((9)*((8)-(x)))))),MultXD|ReplaceBranchXR|SkipD|SkipD|AddXD,AddTreeWithMult|AddToLeafR|DeleteMaliciousR|SubXD|AddRandomSubTreeR,SkipD,AddTreeWithMult,2,2,3,3,4
3,x*x*x*x*3*x+1,25,-10,-0.03214027159196065,0.011916137184067963,-0.020491344160648496,0.020293808961698027,42070.1164,8310.493400000001,105265.3808,5828.883999999999,0.18512882926760785,0.5733941585752136,0.5449477992160616,0.14104423400575217,2476159.57,188652.44,6481951,126185.52,((((x)*(x))*((x)*((5)+(x))))*(((3)*(x))*((2)*((x)+(x))))),((((x)*((x)*(x)))*(((x)*(3))*((0)*(3))))+(((7)-((0)*(x)))+((0)*((0)-((9)*(5)))))),MultXD|ReplaceBranchXR|AddTreeWithAdd|SkipD|AddXD,AddTreeWithMult|AddTreeWithAdd|DeleteMaliciousR|SubXD|AddRandomSubTreeR,MultXD,DeleteMaliciousR,3,3,4,4,4
4,x*x*x*x*3*x+1,25,-10,-0.03399530671824245,0.011734733770788602,-0.020631595912463704,0.01301745822738523,58960.25800000001,8360.5684,211277.99200000003,7981.152000000001,0.7368419384902519,0.3581095581898314,0.8442692092687024,0.03553830485107193,5209899.94,202681.88999999998,20071416.28,189864.44,((((x)*(x))*((7)+((9)*(x))))*(((3)*(x))*((6)*((x)+(x))))),((((x)*((x)*(7)))+(((6)+(2))*((4)*(x))))*(((7)-((x)*(0)))*((6)*((x)+((x)-(x)))))),MultXD|MultXD|AddTreeWithAdd|SkipD|AddXD,AddTreeWithMult|AddToLeafR|ReplaceBranchXR|SubXD|AddRandomSubTreeR,MultXD,AddRandomSubTreeR,4,4,5,5,4
5,x*x*x*x*3*x+1,25,-10,-0.03180514335909621,0.007049390142039651,-0.015059219468015188,0.018098532780814244,52407.981499999994,116801.04289999999,168228.55040000004,6478.2236,0.5546783271500767,0.29086835677861156,0.7227326257468187,0.0025959870963709487,3495475.14,210905.38,11860987.96,209753.68,((((x)*(6))*((6)+((3)*(x))))*(((3)*(x))+((1)*((x)*(x))))),((((x)-(5))+((2)+(x)))*((8)*((4)*((8)-(x))))),MultXD|ReplaceBranchXR|AddTreeWithAdd|SkipD|MultXD,AddTreeWithMult|AddToLeafR|DeleteMaliciousR|SubXD|AddRandomSubTreeR,MultXD,AddRandomSubTreeR,5,5,6,6,4
6,x*x*x*x*3*x+1,25,-10,-0.028282417579578986,0.010241914895485902,0.0021309599596777227,0.013292459217954607,118330.2075,8816.5718,448287.69239999994,7899.8096,0.7897859964528022,0.37837613426954875,0.8745443924830546,0.04589966271496006,6442865.409999999,204226.46,25126561.08,183869.8,((((x)*(x))*((x)*((x)*(3))))*(((x)+(x))*((5)*((x)+(x))))),((((x)*(1))*((1)*((x)*(x))))*((3)*((x)+((9)-(x))))),MultXD|ReplaceBranchXR|AddTreeWithAdd|SkipD|AddXD,AddTreeWithMult|AddToLeafR|DeleteMaliciousR|SubXD|AddRandomSubTreeR,AddXD,AddTreeWithMult,6,6,7,7,4
7,x*x*x*x*3*x+1,25,-10,-0.030451135743820173,0.011835845547989063,-0.017723838009032402,0.013732524902508364,60824.14690000001,8330.660600000001,159211.5876,7769.6428000000005,0.5769068159232946,0.3768430168645619,0.7470211792523649,0.04726262549898997,4389099.74,205208.27000000002,12484141.08,184323.28,((((x)*(x))*((x)*((7)+(8))))*((x)*((x)*((x)+(x))))),((((x)-((5)*(0)))*(((x)+(3))*((7)*(3))))*(((0)+(1))*((7)*((x)+((x)-(x)))))),MultXD|ReplaceBranchXR|AddTreeWithAdd|SkipD|AddXD,AddTreeWithAdd|AddToLeafR|MutateNonTerminalR|AddToLeafR|AddRandomSubTreeR,AddXD,AddToLeafR,7,7,8,8,4
8,x*x*x*x*3*x+1,25,-10,-0.03348827294060627,0.009916655318698269,-0.023606951289815985,0.021218442251563507,34394.6493,11747.108999999999,86587.3456,5555.3872,-0.039999719800717676,0.700675088241813,0.4040404668969776,0.20751695093698697,2117856.84,180609.15,5070678.28,88537.16,((((x)*(x))*((x)*((5)+(0))))*(((3)*(x))*((5)*((x)+(x))))),((((x)*((x)*(x)))*(((3)*(3))*((0)*(9))))-(((7)+((9)+(3)))*((0)*((0)+((x)-(x)))))),MultXD|ReplaceBranchXR|AddTreeWithAdd|SkipD|AddXD,AddTreeWithMult|AddToLeafR|DeleteMaliciousR|SubXD|AddRandomSubTreeR,MultXD,SubXD,8,8,9,9,4
9,x*x*x*x*3*x+1,25,-10,-0.0340980547004218,0.009213165758366441,-0.02032307167718501,0.0116755254446507,33522.887599999995,9399.284,113328.9624,8378.0816,0.342105154991556,0.28897011482626084,0.651162507620675,0.0016236884949525528,2164730.83,211035.55,8028570.28,210315.16,((((x)*(x))*((9)+((4)*(x))))*(((3)*(x))*((3)*((x)+(x))))),((((6)+(4))*((1)+(7)))+((8)*((x)+(0)))),MultXD|ReplaceBranchXR|AddTreeWithAdd|SkipD|AddXD,AddTreeWithMult|AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|AddRandomSubTreeR,MultXD,AddRandomSubTreeR,9,9,10,10,4
10,x*x*x*x*3*x+1,25,-10,-0.034700844119270234,0.003885236856885454,-0.027931574426514425,0.013100518652657963,27989.9029,25528.897999999997,63744.88079999999,7956.5836,-0.37139315272470136,0.2859072607991332,0.29225606131475107,0.0027014666749484526,1410129.02,211663.34999999998,3320273.08,211221.12,((((x)*(x))*((x)*((x)*(3))))*(((x)*(1))*((x)+((6)+(x))))),((((x)-(1))+((4)-(0)))+((x)*((9)-(x)))),MultXD|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddXD,AddTreeWithMult|AddToLeafR|DeleteMaliciousR|SubXD|AddRandomSubTreeR,MultXD,AddTreeWithMult,10,10,11,11,4
